product_name,product_price,product_url
"DIACUBE （3張）4H T-Hybrid高硬度玻璃硬鍍膜防藍光隱私保護膜, 2張",$460,https://www.tw.coupang.com/products/DIACUBE-%EF%BC%883%E5%BC%B5%EF%BC%894H-T-Hybrid%E9%AB%98%E7%A1%AC%E5%BA%A6%E7%8E%BB%E7%92%83%E7%A1%AC%E9%8D%8D%E8%86%9C%E9%98%B2%E8%97%8D%E5%85%89%E9%9A%B1%E7%A7%81%E4%BF%9D%E8%AD%B7%E8%86%9C-21007690208085?itemId=21008731482145&vendorItemId=21085915224575&sourceType=search&rank=&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
錢包翻蓋日記本手機殼,$236,https://www.tw.coupang.com/products/%E9%8C%A2%E5%8C%85%E7%BF%BB%E8%93%8B%E6%97%A5%E8%A8%98%E6%9C%AC%E6%89%8B%E6%A9%9F%E6%AE%BC-21004529561332?itemId=21005469809128&vendorItemId=21073567439406&sourceType=search&rank=1&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
"DIACUBE （3張）4H T-Hybrid高硬度玻璃硬鍍膜防藍光隱私保護膜, 3張",$451,https://www.tw.coupang.com/products/DIACUBE-%EF%BC%883%E5%BC%B5%EF%BC%894H-T-Hybrid%E9%AB%98%E7%A1%AC%E5%BA%A6%E7%8E%BB%E7%92%83%E7%A1%AC%E9%8D%8D%E8%86%9C%E9%98%B2%E8%97%8D%E5%85%89%E9%9A%B1%E7%A7%81%E4%BF%9D%E8%AD%B7%E8%86%9C-21007690208085?itemId=21008731482147&vendorItemId=21085915225472&sourceType=search&rank=2&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
"ANGELBIRD AV PRO SD MK2 V60記憶卡 CLASS10 AVP1T0SDMK2V60, 1TB","$10,951",https://www.tw.coupang.com/products/ANGELBIRD-AV-PRO-SD-MK2-V60%E8%A8%98%E6%86%B6%E5%8D%A1-CLASS10-AVP1T0SDMK2V60-21007410896194?itemId=21019201393374&vendorItemId=21086318735170&sourceType=search&rank=3&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
"Diacube（3片）4H T-Hybrid高硬度玻璃硬塗層藍光阻擋隱私保護液晶保護膜, 4HT防窺保護貼 2入",$475,https://www.tw.coupang.com/products/Diacube%EF%BC%883%E7%89%87%EF%BC%894H-T-Hybrid%E9%AB%98%E7%A1%AC%E5%BA%A6%E7%8E%BB%E7%92%83%E7%A1%AC%E5%A1%97%E5%B1%A4%E8%97%8D%E5%85%89%E9%98%BB%E6%93%8B%E9%9A%B1%E7%A7%81%E4%BF%9D%E8%AD%B7%E6%B6%B2%E6%99%B6%E4%BF%9D%E8%AD%B7%E8%86%9C-21005542037632?itemId=21008731482194&vendorItemId=21085915216621&sourceType=search&rank=4&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
"hp 惠普 2022 Pro SFF 280 G9 酷睿 i3 英特爾第 12 代, G9-7A0L5PA-超級, 16GB, 512GB, WIN11 Pro, 黑色","$18,861",https://www.tw.coupang.com/products/hp-%E6%83%A0%E6%99%AE-2022-Pro-SFF-280-G9-%E9%85%B7%E7%9D%BF-i3-%E8%8B%B1%E7%89%B9%E7%88%BE%E7%AC%AC-12-%E4%BB%A3-21008238635267?itemId=21023711429965&vendorItemId=21090736392278&sourceType=search&rank=5&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
"科沃斯一次性濕拖把 N10 / N10 Plus / N8 Pro / N8 Pro Plus / T9 Plus, D-MM10-2027, 10個",$359,https://www.tw.coupang.com/products/%E7%A7%91%E6%B2%83%E6%96%AF%E4%B8%80%E6%AC%A1%E6%80%A7%E6%BF%95%E6%8B%96%E6%8A%8A-N10-%2F-N10-Plus-%2F-N8-Pro-%2F-N8-Pro-Plus-%2F-T9-Plus-21007460436981?itemId=21019444322555&vendorItemId=21086555269002&sourceType=search&rank=6&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
"科沃斯 Divot N10 / T9 / N8 / N8 Pro 專屬防塵袋, D-DB03-2014, 3個",$473,https://www.tw.coupang.com/products/%E7%A7%91%E6%B2%83%E6%96%AF-Divot-N10-%2F-T9-%2F-N8-%2F-N8-Pro-%E5%B0%88%E5%B1%AC%E9%98%B2%E5%A1%B5%E8%A2%8B-21007799579893?itemId=21021120733438&vendorItemId=21088182540383&sourceType=search&rank=7&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
"科沃斯多用途濕拖把 N10 / N10 Plus / N8 Pro / N8 Pro Plus / T9 Plus, D-CC3I, 3個",$479,https://www.tw.coupang.com/products/%E7%A7%91%E6%B2%83%E6%96%AF%E5%A4%9A%E7%94%A8%E9%80%94%E6%BF%95%E6%8B%96%E6%8A%8A-N10-%2F-N10-Plus-%2F-N8-Pro-%2F-N8-Pro-Plus-%2F-T9-Plus-21007460436988?itemId=21019444322568&vendorItemId=21086555269035&sourceType=search&rank=8&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
"PHILIPS 飛利浦 Ultinon Pro 3000 T10 LED 車內燈尾燈牌照燈, 白色的, 1個",$232,https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-Ultinon-Pro-3000-T10-LED-%E8%BB%8A%E5%85%A7%E7%87%88%E5%B0%BE%E7%87%88%E7%89%8C%E7%85%A7%E7%87%88-21006651400578?itemId=21015241868004&vendorItemId=21082462661459&sourceType=search&rank=9&searchId=55241162b81d4371a1a950c77abfa932&q=10t%20pro
