product_name,product_price,product_url
"JUN 郡昱 兒童3D立體醫療口罩 未滅菌 12 x 9cm, 工程車車, 30片, 1盒",$118,https://www.tw.coupang.com/products/JUN-%E9%83%A1%E6%98%B1-%E5%85%92%E7%AB%A53D%E7%AB%8B%E9%AB%94%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9-%E6%9C%AA%E6%BB%85%E8%8F%8C-12-x-9cm-463588644864000?itemId=463588628054024&vendorItemId=463588628054016&sourceType=search&rank=&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"CS 凱馺國際 凱馺醫用口罩 未滅菌 成人立體 3D MF10611 L, 雲朵白, 20片, 1盒",$115,https://www.tw.coupang.com/products/CS-%E5%87%B1%E9%A6%BA%E5%9C%8B%E9%9A%9B-%E5%87%B1%E9%A6%BA%E9%86%AB%E7%94%A8%E5%8F%A3%E7%BD%A9-%E6%9C%AA%E6%BB%85%E8%8F%8C-%E6%88%90%E4%BA%BA%E7%AB%8B%E9%AB%94-3D-MF10611-L-463480222056451?itemId=463480222105604&vendorItemId=463480222089220&sourceType=search&rank=1&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"匠心 醫用級3D彈力口罩 S號 4~8歲, 藍色, 50片, 1盒",$122,https://www.tw.coupang.com/products/%E5%8C%A0%E5%BF%83-%E9%86%AB%E7%94%A8%E7%B4%9A3D%E5%BD%88%E5%8A%9B%E5%8F%A3%E7%BD%A9-S%E8%99%9F-4~8%E6%AD%B2-220673855143952?itemId=151122824085511&vendorItemId=151123579076609&sourceType=search&rank=2&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"令和 3D韓式立體醫療口罩 成人款, 神秘黑, 10片, 3盒",$142,https://www.tw.coupang.com/products/%E4%BB%A4%E5%92%8C-3D%E9%9F%93%E5%BC%8F%E7%AB%8B%E9%AB%94%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9-%E6%88%90%E4%BA%BA%E6%AC%BE-214581959966743?itemId=277627763900428&vendorItemId=277628816703498&sourceType=search&rank=3&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"CHENYU 辰昱 3D醫療透氣口罩 3~7歲, 恐龍嘉年華, 10個, 1包",$119,https://www.tw.coupang.com/products/CHENYU-%E8%BE%B0%E6%98%B1-3D%E9%86%AB%E7%99%82%E9%80%8F%E6%B0%A3%E5%8F%A3%E7%BD%A9-3~7%E6%AD%B2-478024914944007?itemId=478024914927622&vendorItemId=478024914927620&sourceType=search&rank=4&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"SH 上好生醫 成人醫療防護口罩 未滅菌, 黑色, 50片, 1盒",$88,https://www.tw.coupang.com/products/SH-%E4%B8%8A%E5%A5%BD%E7%94%9F%E9%86%AB-%E6%88%90%E4%BA%BA%E9%86%AB%E7%99%82%E9%98%B2%E8%AD%B7%E5%8F%A3%E7%BD%A9-%E6%9C%AA%E6%BB%85%E8%8F%8C-214924001230856?itemId=157261175406592&vendorItemId=157261590675463&sourceType=search&rank=5&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"JUN 郡昱 兒童3D立體醫療口罩 未滅菌 12 x 9cm, FLOWER, 30片, 1盒",$119,https://www.tw.coupang.com/products/JUN-%E9%83%A1%E6%98%B1-%E5%85%92%E7%AB%A53D%E7%AB%8B%E9%AB%94%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9-%E6%9C%AA%E6%BB%85%E8%8F%8C-12-x-9cm-463588644864000?itemId=463588628086787&vendorItemId=463588628086784&sourceType=search&rank=6&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"匠心 醫用級3D彈力口罩 S號 4~8歲, 藍色, 50片, 2盒",$240,https://www.tw.coupang.com/products/%E5%8C%A0%E5%BF%83-%E9%86%AB%E7%94%A8%E7%B4%9A3D%E5%BD%88%E5%8A%9B%E5%8F%A3%E7%BD%A9-S%E8%99%9F-4~8%E6%AD%B2-220673855143952?itemId=220675327361041&vendorItemId=220673855143942&sourceType=search&rank=7&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"上好生醫 醫療防護口罩 未滅菌 17.5 x 9.5cm, 奶茶色, 50片, 1盒",$88,https://www.tw.coupang.com/products/%E4%B8%8A%E5%A5%BD%E7%94%9F%E9%86%AB-%E9%86%AB%E7%99%82%E9%98%B2%E8%AD%B7%E5%8F%A3%E7%BD%A9-%E6%9C%AA%E6%BB%85%E8%8F%8C-17.5-x-9.5cm-214911414157327?itemId=157261133463568&vendorItemId=157261951369217&sourceType=search&rank=8&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"令和 成人3D韓式立體醫療口罩 未滅菌 20.5 x 8.2cm, 螢石綠, 10片, 3盒",$88,https://www.tw.coupang.com/products/%E4%BB%A4%E5%92%8C-%E6%88%90%E4%BA%BA3D%E9%9F%93%E5%BC%8F%E7%AB%8B%E9%AB%94%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9-%E6%9C%AA%E6%BB%85%E8%8F%8C-20.5-x-8.2cm-214581959966743?itemId=334533429755908&vendorItemId=334533429772288&sourceType=search&rank=9&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
"星安3D 兒童醫療口罩 30片, 快樂棕熊, 1盒",$157,https://www.tw.coupang.com/products/%E6%98%9F%E5%AE%893D-%E5%85%92%E7%AB%A5%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9-30%E7%89%87-468648468627462?itemId=468648468627463&vendorItemId=468648468611073&sourceType=search&rank=10&searchId=d0017fc6d5a04c6495a75a14e3e540b4&q=3d%E9%86%AB%E7%99%82%E5%8F%A3%E7%BD%A9
