product_name,product_price,product_url
"SABON 西西里柑橘洗手露, 200ml, 1瓶",$526,https://www.tw.coupang.com/products/SABON-%E8%A5%BF%E8%A5%BF%E9%87%8C%E6%9F%91%E6%A9%98%E6%B4%97%E6%89%8B%E9%9C%B2-273301280604161?itemId=273303277109250&vendorItemId=273303277109249&sourceType=search&rank=&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"SABON 香蘋薰衣草洗手露, 200ml, 1瓶",$526,https://www.tw.coupang.com/products/SABON-%E9%A6%99%E8%98%8B%E8%96%B0%E8%A1%A3%E8%8D%89%E6%B4%97%E6%89%8B%E9%9C%B2-273303281303557?itemId=273301284798466&vendorItemId=273301284798464&sourceType=search&rank=1&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"SABON 國際航空版 玫瑰茶語沐浴油, 500ml, 1瓶",$687,https://www.tw.coupang.com/products/SABON-%E5%9C%8B%E9%9A%9B%E8%88%AA%E7%A9%BA%E7%89%88-%E7%8E%AB%E7%91%B0%E8%8C%B6%E8%AA%9E%E6%B2%90%E6%B5%B4%E6%B2%B9-233108938932239?itemId=233109698084869&vendorItemId=233109693890574&sourceType=search&rank=2&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"ARLEM 晚香玉淨化香氛沐浴乳, 1L, 2瓶",$430,https://www.tw.coupang.com/products/ARLEM-%E6%99%9A%E9%A6%99%E7%8E%89%E6%B7%A8%E5%8C%96%E9%A6%99%E6%B0%9B%E6%B2%90%E6%B5%B4%E4%B9%B3-149313258733568?itemId=385314715549702&vendorItemId=385314715566082&sourceType=search&rank=3&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"法國 NAJEL 梔子花阿勒坡古皂沐浴露, 400ml, 1瓶",$311,https://www.tw.coupang.com/products/%E6%B3%95%E5%9C%8B-NAJEL-%E6%A2%94%E5%AD%90%E8%8A%B1%E9%98%BF%E5%8B%92%E5%9D%A1%E5%8F%A4%E7%9A%82%E6%B2%90%E6%B5%B4%E9%9C%B2-460263656505349?itemId=460263656488967&vendorItemId=460263656472584&sourceType=search&rank=4&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"SABON 經典PLV沐浴油, 500ml, 1瓶",$687,https://www.tw.coupang.com/products/SABON-%E7%B6%93%E5%85%B8PLV%E6%B2%90%E6%B5%B4%E6%B2%B9-242818941435911?itemId=242819746725888&vendorItemId=242818039627784&sourceType=search&rank=5&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"艾芙美 新葉益護佳沐浴露, 500ml, 1瓶",$978,https://www.tw.coupang.com/products/%E8%89%BE%E8%8A%99%E7%BE%8E-%E6%96%B0%E8%91%89%E7%9B%8A%E8%AD%B7%E4%BD%B3%E6%B2%90%E6%B5%B4%E9%9C%B2-470386848268298?itemId=470386848268299&vendorItemId=470386848235527&sourceType=search&rank=6&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"SABON 西西里柑橘身體磨砂膏, 600g, 1罐",$699,https://www.tw.coupang.com/products/SABON-%E8%A5%BF%E8%A5%BF%E9%87%8C%E6%9F%91%E6%A9%98%E8%BA%AB%E9%AB%94%E7%A3%A8%E7%A0%82%E8%86%8F-268552682586115?itemId=268552682586116&vendorItemId=268553609510912&sourceType=search&rank=7&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"SABON 國際航空版 茉莉花語沐浴油, 500ml, 1瓶",$687,https://www.tw.coupang.com/products/SABON-%E5%9C%8B%E9%9A%9B%E8%88%AA%E7%A9%BA%E7%89%88-%E8%8C%89%E8%8E%89%E8%8A%B1%E8%AA%9E%E6%B2%90%E6%B5%B4%E6%B2%B9-233108095844360?itemId=244691974995976&vendorItemId=244692784480257&sourceType=search&rank=8&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"ARLEM 薰衣草舒眠香氛沐浴乳, 1000ml, 1瓶",$245,https://www.tw.coupang.com/products/ARLEM-%E8%96%B0%E8%A1%A3%E8%8D%89%E8%88%92%E7%9C%A0%E9%A6%99%E6%B0%9B%E6%B2%90%E6%B5%B4%E4%B9%B3-164524246122496?itemId=164525135331363&vendorItemId=164525135331357&sourceType=search&rank=9&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
"SABON 茉莉花語沐浴油 國際航空版, 300ml, 1瓶",$569,https://www.tw.coupang.com/products/SABON-%E8%8C%89%E8%8E%89%E8%8A%B1%E8%AA%9E%E6%B2%90%E6%B5%B4%E6%B2%B9-%E5%9C%8B%E9%9A%9B%E8%88%AA%E7%A9%BA%E7%89%88-233109698084867?itemId=233108095844357&vendorItemId=233108095844352&sourceType=search&rank=10&searchId=f81c616bafd44655a99c0966c8f6f599&q=aesop
