product_name,product_price,product_url
"ROYALLIN 蘿林嚴選 免打孔安全扶手第二代 300g, 灰色, 1個",$313,https://www.tw.coupang.com/products/ROYALLIN-%E8%98%BF%E6%9E%97%E5%9A%B4%E9%81%B8-%E5%85%8D%E6%89%93%E5%AD%94%E5%AE%89%E5%85%A8%E6%89%B6%E6%89%8B%E7%AC%AC%E4%BA%8C%E4%BB%A3-300g-471109820465159?itemId=471109820465161&vendorItemId=471109820416006&sourceType=search&rank=&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
"Nuby 幼兒輔助便座 含把手, 1個",$399,https://www.tw.coupang.com/products/Nuby-%E5%B9%BC%E5%85%92%E8%BC%94%E5%8A%A9%E4%BE%BF%E5%BA%A7-%E5%90%AB%E6%8A%8A%E6%89%8B-221774956412929?itemId=221776441212930&vendorItemId=221774956412928&sourceType=search&rank=1&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
"Cassido 卡司多 衛浴 不鏽鋼C型扶手, 1個",$399,https://www.tw.coupang.com/products/Cassido-%E5%8D%A1%E5%8F%B8%E5%A4%9A-%E8%A1%9B%E6%B5%B4-%E4%B8%8D%E9%8F%BD%E9%8B%BCC%E5%9E%8B%E6%89%B6%E6%89%8B-158738749046791?itemId=158739155877906&vendorItemId=158739155877892&sourceType=search&rank=2&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
"雙手萬能 彩色加粗型安全扶手 30cm, 藍色, 1個",$689,https://www.tw.coupang.com/products/%E9%9B%99%E6%89%8B%E8%90%AC%E8%83%BD-%E5%BD%A9%E8%89%B2%E5%8A%A0%E7%B2%97%E5%9E%8B%E5%AE%89%E5%85%A8%E6%89%B6%E6%89%8B-30cm-466803180421136?itemId=466803180388368&vendorItemId=466803180404749&sourceType=search&rank=3&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
"Cassido 卡司多 衛浴 不銹鋼C型扶手, 1個",$760,https://www.tw.coupang.com/products/Cassido-%E5%8D%A1%E5%8F%B8%E5%A4%9A-%E8%A1%9B%E6%B5%B4-%E4%B8%8D%E9%8A%B9%E9%8B%BCC%E5%9E%8B%E6%89%B6%E6%89%8B-158738329583617?itemId=158738753241091&vendorItemId=158739160072192&sourceType=search&rank=4&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
"雙手萬能 加粗型安全扶手 45cm, 白色, 1個",$733,https://www.tw.coupang.com/products/%E9%9B%99%E6%89%8B%E8%90%AC%E8%83%BD-%E5%8A%A0%E7%B2%97%E5%9E%8B%E5%AE%89%E5%85%A8%E6%89%B6%E6%89%8B-45cm-466803155255315?itemId=466803155222549&vendorItemId=466803155255308&sourceType=search&rank=5&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
"Cassido 卡司多 不銹鋼C型扶手, 1個",$586,https://www.tw.coupang.com/products/Cassido-%E5%8D%A1%E5%8F%B8%E5%A4%9A-%E4%B8%8D%E9%8A%B9%E9%8B%BCC%E5%9E%8B%E6%89%B6%E6%89%8B-158739160072196?itemId=158738753241092&vendorItemId=158738753241089&sourceType=search&rank=6&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
"Cassido 卡司多 鋁製KD浴室扶手, 1個",$179,https://www.tw.coupang.com/products/Cassido-%E5%8D%A1%E5%8F%B8%E5%A4%9A-%E9%8B%81%E8%A3%BDKD%E6%B5%B4%E5%AE%A4%E6%89%B6%E6%89%8B-158738321195031?itemId=158738749046792&vendorItemId=158738321195018&sourceType=search&rank=7&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
"雙手萬能 彩色加粗型安全扶手 400g, 黃色, 1個",$689,https://www.tw.coupang.com/products/%E9%9B%99%E6%89%8B%E8%90%AC%E8%83%BD-%E5%BD%A9%E8%89%B2%E5%8A%A0%E7%B2%97%E5%9E%8B%E5%AE%89%E5%85%A8%E6%89%B6%E6%89%8B-400g-466803163611150?itemId=466803163611151&vendorItemId=466803163611147&sourceType=search&rank=8&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
"Cassido 卡司多 不銹鋼C型扶手, 1個",$552,https://www.tw.coupang.com/products/Cassido-%E5%8D%A1%E5%8F%B8%E5%A4%9A-%E4%B8%8D%E9%8A%B9%E9%8B%BCC%E5%9E%8B%E6%89%B6%E6%89%8B-158738329583622?itemId=158738753241095&vendorItemId=158739160072194&sourceType=search&rank=9&searchId=775687154c7947bd8f26e4a8cc0b06fd&q=bmw%202at%20%E4%B8%AD%E5%A4%AE%E6%89%B6%E6%89%8B
