product_name,product_price,product_url
"遊戲耳機 超輕耳機 BOOS, BOSS-G2, 藍色",$277,https://www.tw.coupang.com/products/%E9%81%8A%E6%88%B2%E8%80%B3%E6%A9%9F-%E8%B6%85%E8%BC%95%E8%80%B3%E6%A9%9F-BOOS-21000001920700?itemId=21000008506711&vendorItemId=21003011865547&sourceType=search&rank=&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"鐵三角 耳塞式耳機, ATH-CK350XiS, 紅色, 4g, 1個",$722,https://www.tw.coupang.com/products/%E9%90%B5%E4%B8%89%E8%A7%92-%E8%80%B3%E5%A1%9E%E5%BC%8F%E8%80%B3%E6%A9%9F-463932544237577?itemId=463932544204809&vendorItemId=463932544221192&sourceType=search&rank=1&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"鐵三角 通話用耳機, ATH-CK350XiS, 白色, 1盒",$741,https://www.tw.coupang.com/products/%E9%90%B5%E4%B8%89%E8%A7%92-%E9%80%9A%E8%A9%B1%E7%94%A8%E8%80%B3%E6%A9%9F-463932540010506?itemId=463932539994123&vendorItemId=463932540026891&sourceType=search&rank=2&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"Jellico 超值系列Lightning接頭3鍵式有線耳機, JEE-X11-WT, 1個",$214,https://www.tw.coupang.com/products/Jellico-%E8%B6%85%E5%80%BC%E7%B3%BB%E5%88%97Lightning%E6%8E%A5%E9%A0%AD3%E9%8D%B5%E5%BC%8F%E6%9C%89%E7%B7%9A%E8%80%B3%E6%A9%9F-466755260481542?itemId=466755260465165&vendorItemId=466755260448774&sourceType=search&rank=3&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"RASTO RS10立體聲鋁合金入耳式耳機, R-EPA012, 混合顏色",$189,https://www.tw.coupang.com/products/RASTO-RS10%E7%AB%8B%E9%AB%94%E8%81%B2%E9%8B%81%E5%90%88%E9%87%91%E5%85%A5%E8%80%B3%E5%BC%8F%E8%80%B3%E6%A9%9F-451620185767938?itemId=451620185800706&vendorItemId=451620185784320&sourceType=search&rank=4&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"Spigen Bose 超開放式耳塞盒堅固的盔甲, ACS07776, 啞光黑",$482,https://www.tw.coupang.com/products/Spigen-Bose-%E8%B6%85%E9%96%8B%E6%94%BE%E5%BC%8F%E8%80%B3%E5%A1%9E%E7%9B%92%E5%A0%85%E5%9B%BA%E7%9A%84%E7%9B%94%E7%94%B2-21008232408021?itemId=21023695376150&vendorItemId=21090720485224&sourceType=search&rank=5&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"RASTO 黑武士電競頭戴耳機麥克風 贈2孔轉1孔音源線, RS34, 黑色, 1個",$259,https://www.tw.coupang.com/products/RASTO-%E9%BB%91%E6%AD%A6%E5%A3%AB%E9%9B%BB%E7%AB%B6%E9%A0%AD%E6%88%B4%E8%80%B3%E6%A9%9F%E9%BA%A5%E5%85%8B%E9%A2%A8-%E8%B4%882%E5%AD%94%E8%BD%891%E5%AD%94%E9%9F%B3%E6%BA%90%E7%B7%9A-456621494829057?itemId=456621494845442&vendorItemId=456621490634754&sourceType=search&rank=6&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"RASTO 高音質鋁合金入耳式耳機, RS8, 古銅, 1組",$78,https://www.tw.coupang.com/products/RASTO-%E9%AB%98%E9%9F%B3%E8%B3%AA%E9%8B%81%E5%90%88%E9%87%91%E5%85%A5%E8%80%B3%E5%BC%8F%E8%80%B3%E6%A9%9F-465645917421571?itemId=465645917372420&vendorItemId=465645917388803&sourceType=search&rank=7&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"E-books 經典款音控接聽入耳式耳機, S76, 黑色",$158,https://www.tw.coupang.com/products/E-books-%E7%B6%93%E5%85%B8%E6%AC%BE%E9%9F%B3%E6%8E%A7%E6%8E%A5%E8%81%BD%E5%85%A5%E8%80%B3%E5%BC%8F%E8%80%B3%E6%A9%9F-456684568821761?itemId=456684568821762&vendorItemId=456684568805376&sourceType=search&rank=8&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"Celebrat TYPE-C 金屬耳塞式可通話耳機, D14, 紅色",$229,https://www.tw.coupang.com/products/Celebrat-TYPE-C-%E9%87%91%E5%B1%AC%E8%80%B3%E5%A1%9E%E5%BC%8F%E5%8F%AF%E9%80%9A%E8%A9%B1%E8%80%B3%E6%A9%9F-463956120420358?itemId=463956120403977&vendorItemId=463956120371207&sourceType=search&rank=9&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"E-books Type C入耳式線控耳機 120cm 1盒, E-EPA248, 曜岩黑色",$237,https://www.tw.coupang.com/products/E-books-Type-C%E5%85%A5%E8%80%B3%E5%BC%8F%E7%B7%9A%E6%8E%A7%E8%80%B3%E6%A9%9F-120cm-1%E7%9B%92-456621427720198?itemId=456621427769352&vendorItemId=456621427769350&sourceType=search&rank=10&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"E-books 靈巧頭戴式耳機麥克風, SS19, 1個",$134,https://www.tw.coupang.com/products/E-books-%E9%9D%88%E5%B7%A7%E9%A0%AD%E6%88%B4%E5%BC%8F%E8%80%B3%E6%A9%9F%E9%BA%A5%E5%85%8B%E9%A2%A8-456684715606016?itemId=456684715573248&vendorItemId=456684715622400&sourceType=search&rank=11&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"PHILIPS 飛利浦 強力低音耳塞式Type C耳機附麥克風, TAE1018WT, 白色",$569,https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-%E5%BC%B7%E5%8A%9B%E4%BD%8E%E9%9F%B3%E8%80%B3%E5%A1%9E%E5%BC%8FType-C%E8%80%B3%E6%A9%9F%E9%99%84%E9%BA%A5%E5%85%8B%E9%A2%A8-456684539428864?itemId=456684539461632&vendorItemId=456684539412480&sourceType=search&rank=12&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"RASTO Type C線控耳機 120cm, RS49, 白色",$254,https://www.tw.coupang.com/products/RASTO-Type-C%E7%B7%9A%E6%8E%A7%E8%80%B3%E6%A9%9F-120cm-456621427736581?itemId=456621427736582&vendorItemId=456621427769349&sourceType=search&rank=13&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"Celebrat D14 TYPE-C 金屬耳塞式可通話耳機, 黑色",$266,https://www.tw.coupang.com/products/Celebrat-D14-TYPE-C-%E9%87%91%E5%B1%AC%E8%80%B3%E5%A1%9E%E5%BC%8F%E5%8F%AF%E9%80%9A%E8%A9%B1%E8%80%B3%E6%A9%9F-463956120387591?itemId=463956120387593&vendorItemId=463956120420354&sourceType=search&rank=14&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
"Celebrat D15 TYPE C 金屬入耳式可通話耳機, 白色, 1個",$229,https://www.tw.coupang.com/products/Celebrat-D15-TYPE-C-%E9%87%91%E5%B1%AC%E5%85%A5%E8%80%B3%E5%BC%8F%E5%8F%AF%E9%80%9A%E8%A9%B1%E8%80%B3%E6%A9%9F-466750902616073?itemId=466750902566920&vendorItemId=466750902566916&sourceType=search&rank=15&searchId=2230de8af7bf4348a6b468ee9bc2a1ed&q=bose%E8%80%B3%E6%A9%9F
