product_name,product_price,product_url
"BRUnO 多功能電烤盤 紅, 1盒","$2,580",https://www.tw.coupang.com/products/BRUnO-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%BB%E7%83%A4%E7%9B%A4-%E7%B4%85-157263310323718?itemId=157262492418056&vendorItemId=157263310323712&sourceType=search&rank=&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 美型智能氣炸鍋 3.5L, BZK-KZ02TW-GR, 薄荷綠","$2,780",https://www.tw.coupang.com/products/BRUnO-%E7%BE%8E%E5%9E%8B%E6%99%BA%E8%83%BD%E6%B0%A3%E7%82%B8%E9%8D%8B-3.5L-453389297057793?itemId=453389297090563&vendorItemId=453389297074177&sourceType=search&rank=1&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 加大型多功能電烤盤 奶茶色, 1盒","$3,600",https://www.tw.coupang.com/products/BRUnO-%E5%8A%A0%E5%A4%A7%E5%9E%8B%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%BB%E7%83%A4%E7%9B%A4-%E5%A5%B6%E8%8C%B6%E8%89%B2-157262911881224?itemId=157263310323722&vendorItemId=157263310323717&sourceType=search&rank=2&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 烤盤配件收納架 300 x 205 x 138mm 1kg, BOE021-RACK, 1個",$522,https://www.tw.coupang.com/products/BRUnO-%E7%83%A4%E7%9B%A4%E9%85%8D%E4%BB%B6%E6%94%B6%E7%B4%8D%E6%9E%B6-300-x-205-x-138mm-1kg-458122372022273?itemId=458122372022274&vendorItemId=458122372005888&sourceType=search&rank=3&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUNO 迷你烤箱, OTC-2102B",$890,https://www.tw.coupang.com/products/BRUNO-%E8%BF%B7%E4%BD%A0%E7%83%A4%E7%AE%B1-21005648633180?itemId=21009236266221&vendorItemId=21076521903051&sourceType=search&rank=4&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 琺瑯雙耳湯鍋, 20cm, 淺霧藍, 1個","$1,404",https://www.tw.coupang.com/products/BRUnO-%E7%90%BA%E7%91%AF%E9%9B%99%E8%80%B3%E6%B9%AF%E9%8D%8B-453397094285313?itemId=453397094318082&vendorItemId=453397094268930&sourceType=search&rank=5&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO sou.sou 陶瓷盤組 大盤 20.3cm + 小盤 15.3cm, 2個, 1組",$211,https://www.tw.coupang.com/products/BRUnO-sou.sou-%E9%99%B6%E7%93%B7%E7%9B%A4%E7%B5%84-%E5%A4%A7%E7%9B%A4-20.3cm-%2B-%E5%B0%8F%E7%9B%A4-15.3cm-474098832441348?itemId=474098832457732&vendorItemId=474098832457730&sourceType=search&rank=6&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 料理深鍋, 40.5*24.2*7cm, 1個","$1,067",https://www.tw.coupang.com/products/BRUnO-%E6%96%99%E7%90%86%E6%B7%B1%E9%8D%8B-157014655221761?itemId=157015057858561&vendorItemId=157014239952897&sourceType=search&rank=7&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 手持式攪拌棒4件組, BOE034, 土耳其藍","$1,311",https://www.tw.coupang.com/products/BRUnO-%E6%89%8B%E6%8C%81%E5%BC%8F%E6%94%AA%E6%8B%8C%E6%A3%924%E4%BB%B6%E7%B5%84-458113882734595?itemId=458113882718214&vendorItemId=458113882767363&sourceType=search&rank=8&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 燒烤專用烤盤, 1盒",$858,https://www.tw.coupang.com/products/BRUnO-%E7%87%92%E7%83%A4%E5%B0%88%E7%94%A8%E7%83%A4%E7%9B%A4-157262911881219?itemId=157262492418054&vendorItemId=157262492418050&sourceType=search&rank=9&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 電磁爐可用 琺瑯單柄湯鍋, 16cm, 淺霧藍, 1個","$1,370",https://www.tw.coupang.com/products/BRUnO-%E9%9B%BB%E7%A3%81%E7%88%90%E5%8F%AF%E7%94%A8-%E7%90%BA%E7%91%AF%E5%96%AE%E6%9F%84%E6%B9%AF%E9%8D%8B-453397085880324?itemId=453397085880325&vendorItemId=453397085896708&sourceType=search&rank=10&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUNO 蒸蛋器 白色, ECC-2107",$708,https://www.tw.coupang.com/products/BRUNO-%E8%92%B8%E8%9B%8B%E5%99%A8-%E7%99%BD%E8%89%B2-21006150653639?itemId=21011869704507&vendorItemId=21079142803256&sourceType=search&rank=11&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUNO 【Coupang進口】 Cool Touch 無線電熱水壺 不銹鋼雙層保溫, BCK-2129",$648,https://www.tw.coupang.com/products/BRUNO-%E3%80%90Coupang%E9%80%B2%E5%8F%A3%E3%80%91-Cool-Touch-%E7%84%A1%E7%B7%9A%E9%9B%BB%E7%86%B1%E6%B0%B4%E5%A3%BA-%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%9B%99%E5%B1%A4%E4%BF%9D%E6%BA%AB-21006859305064?itemId=21016370278725&vendorItemId=21083561803107&sourceType=search&rank=12&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 琺瑯雙耳湯鍋, 20cm, 迷霧灰, 1個","$1,394",https://www.tw.coupang.com/products/BRUnO-%E7%90%BA%E7%91%AF%E9%9B%99%E8%80%B3%E6%B9%AF%E9%8D%8B-453397094285313?itemId=453397094301698&vendorItemId=453397094318081&sourceType=search&rank=13&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 迷你玻璃電動切碎器 300ml, 1個, 紅色",$469,https://www.tw.coupang.com/products/BRUnO-%E8%BF%B7%E4%BD%A0%E7%8E%BB%E7%92%83%E9%9B%BB%E5%8B%95%E5%88%87%E7%A2%8E%E5%99%A8-300ml-21008287297023?itemId=21023898130259&vendorItemId=21090920724620&sourceType=search&rank=14&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 電磁爐可用 琺瑯單柄湯鍋, 16cm, 迷霧灰, 1個","$1,370",https://www.tw.coupang.com/products/BRUnO-%E9%9B%BB%E7%A3%81%E7%88%90%E5%8F%AF%E7%94%A8-%E7%90%BA%E7%91%AF%E5%96%AE%E6%9F%84%E6%B9%AF%E9%8D%8B-453397085880324?itemId=453397094268929&vendorItemId=453397094285312&sourceType=search&rank=15&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO USB充電桌上型風扇 228 x 171 x 72mm 455g, BDE061-GRG, 象牙白","$1,199",https://www.tw.coupang.com/products/BRUnO-USB%E5%85%85%E9%9B%BB%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%A2%A8%E6%89%87-228-x-171-x-72mm-455g-458113849196546?itemId=458113849180163&vendorItemId=458113849212929&sourceType=search&rank=16&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
BRUnO 六格式料理盤,$829,https://www.tw.coupang.com/products/BRUnO-%E5%85%AD%E6%A0%BC%E5%BC%8F%E6%96%99%E7%90%86%E7%9B%A4-157264992256004?itemId=157264576987142&vendorItemId=157264576987136&sourceType=search&rank=17&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 鯛魚烤盤 BOE044-FISH 250 x 141 x 11mm 380g, 1個",$426,https://www.tw.coupang.com/products/BRUnO-%E9%AF%9B%E9%AD%9A%E7%83%A4%E7%9B%A4-BOE044-FISH-250-x-141-x-11mm-380g-458113882767365?itemId=458113882734594&vendorItemId=458113882718211&sourceType=search&rank=18&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 鴛鴦鍋 1.6kg, 1個",$990,https://www.tw.coupang.com/products/BRUnO-%E9%B4%9B%E9%B4%A6%E9%8D%8B-1.6kg-157014239952898?itemId=157014659416064&vendorItemId=157015057858560&sourceType=search&rank=19&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 多功能電烤盤 土耳其藍, 1盒","$2,309",https://www.tw.coupang.com/products/BRUnO-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%BB%E7%83%A4%E7%9B%A4-%E5%9C%9F%E8%80%B3%E5%85%B6%E8%97%8D-157263310323716?itemId=157262492418055&vendorItemId=157262492418051&sourceType=search&rank=20&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUnO 真空包裝機+塑膠袋 20*30cm 5入+塑膠袋 17*25cm 5入, VSC-2101P","$1,004",https://www.tw.coupang.com/products/BRUnO-%E7%9C%9F%E7%A9%BA%E5%8C%85%E8%A3%9D%E6%A9%9F%2B%E5%A1%91%E8%86%A0%E8%A2%8B-20*30cm-5%E5%85%A5%2B%E5%A1%91%E8%86%A0%E8%A2%8B-17*25cm-5%E5%85%A5-21005882321443?itemId=21010321293703&vendorItemId=21077603543098&sourceType=search&rank=21&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
"BRUNO 直發器陶瓷塗層溫控, BHS-2207G, 灰色",$476,https://www.tw.coupang.com/products/BRUNO-%E7%9B%B4%E7%99%BC%E5%99%A8%E9%99%B6%E7%93%B7%E5%A1%97%E5%B1%A4%E6%BA%AB%E6%8E%A7-21006928131230?itemId=21016755013352&vendorItemId=21083936563741&sourceType=search&rank=22&searchId=bc29527d0c294d83919dbeb5513360f3&q=bruno
