product_name,product_price,product_url
"St.Clare 聖克萊爾 10%果酸煥白美體乳, 100ml, 1瓶",$511,https://www.tw.coupang.com/products/St.Clare-%E8%81%96%E5%85%8B%E8%90%8A%E7%88%BE-10%25%E6%9E%9C%E9%85%B8%E7%85%A5%E7%99%BD%E7%BE%8E%E9%AB%94%E4%B9%B3-458852193517570?itemId=458852193484804&vendorItemId=458852193484800&sourceType=search&rank=&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
"雪芙蘭 牛奶胜肽美膚身體乳 美白, 300g, 1瓶",$83,https://www.tw.coupang.com/products/%E9%9B%AA%E8%8A%99%E8%98%AD-%E7%89%9B%E5%A5%B6%E8%83%9C%E8%82%BD%E7%BE%8E%E8%86%9A%E8%BA%AB%E9%AB%94%E4%B9%B3-%E7%BE%8E%E7%99%BD-260642527215634?itemId=260640635568146&vendorItemId=260640635568133&sourceType=search&rank=1&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
"Elizabeth Arden 伊麗莎白雅頓 綠茶身體乳, 500ml, 1瓶",$349,https://www.tw.coupang.com/products/Elizabeth-Arden-%E4%BC%8A%E9%BA%97%E8%8E%8E%E7%99%BD%E9%9B%85%E9%A0%93-%E7%B6%A0%E8%8C%B6%E8%BA%AB%E9%AB%94%E4%B9%B3-268258838036489?itemId=268259769155591&vendorItemId=268258838036486&sourceType=search&rank=2&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
"Derma B 日常保濕身體乳 木質香, 400ml, 1瓶",$200,https://www.tw.coupang.com/products/Derma-B-%E6%97%A5%E5%B8%B8%E4%BF%9D%E6%BF%95%E8%BA%AB%E9%AB%94%E4%B9%B3-%E6%9C%A8%E8%B3%AA%E9%A6%99-151100116140032?itemId=151099361148936&vendorItemId=151099361148930&sourceType=search&rank=3&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
"WATERCOME 水之蔻 菸醯胺美白精華身體乳 月影白茶, 220g, 1瓶",$299,https://www.tw.coupang.com/products/WATERCOME-%E6%B0%B4%E4%B9%8B%E8%94%BB-%E8%8F%B8%E9%86%AF%E8%83%BA%E7%BE%8E%E7%99%BD%E7%B2%BE%E8%8F%AF%E8%BA%AB%E9%AB%94%E4%B9%B3-%E6%9C%88%E5%BD%B1%E7%99%BD%E8%8C%B6-465320170995722?itemId=465320170946565&vendorItemId=465320170946564&sourceType=search&rank=4&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
"Neutrogena 露得清 身體潤膚乳液, 450ml, 2瓶",$350,https://www.tw.coupang.com/products/Neutrogena-%E9%9C%B2%E5%BE%97%E6%B8%85-%E8%BA%AB%E9%AB%94%E6%BD%A4%E8%86%9A%E4%B9%B3%E6%B6%B2-268907029954569?itemId=280841540321284&vendorItemId=280840483323905&sourceType=search&rank=5&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
"babylove 寶寶敏感性肌膚身體乳 0歲以上, 250ml, 1瓶",$72,https://www.tw.coupang.com/products/babylove-%E5%AF%B6%E5%AF%B6%E6%95%8F%E6%84%9F%E6%80%A7%E8%82%8C%E8%86%9A%E8%BA%AB%E9%AB%94%E4%B9%B3-0%E6%AD%B2%E4%BB%A5%E4%B8%8A-182295226957833?itemId=163876209393666&vendorItemId=163876209393664&sourceType=search&rank=6&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
"jmella 法式漫舞香水身體乳液 No.04 Queen5, 500ml, 1瓶",$120,https://www.tw.coupang.com/products/jmella-%E6%B3%95%E5%BC%8F%E6%BC%AB%E8%88%9E%E9%A6%99%E6%B0%B4%E8%BA%AB%E9%AB%94%E4%B9%B3%E6%B6%B2-No.04-Queen5-253407176671243?itemId=243598347960329&vendorItemId=243596632473605&sourceType=search&rank=7&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
"Johnson's 嬌生 美體主張 24小時水感乳液, 維他命E*蜜桃果香, 500ml, 1瓶",$141,https://www.tw.coupang.com/products/Johnson's-%E5%AC%8C%E7%94%9F-%E7%BE%8E%E9%AB%94%E4%B8%BB%E5%BC%B5-24%E5%B0%8F%E6%99%82%E6%B0%B4%E6%84%9F%E4%B9%B3%E6%B6%B2-268907034148864?itemId=268905054420996&vendorItemId=268906098835458&sourceType=search&rank=8&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
"CeraVe 適樂膚 長效清爽保濕乳, 473ml, 1瓶",$431,https://www.tw.coupang.com/products/CeraVe-%E9%81%A9%E6%A8%82%E8%86%9A-%E9%95%B7%E6%95%88%E6%B8%85%E7%88%BD%E4%BF%9D%E6%BF%95%E4%B9%B3-225453725941772?itemId=225453725941773&vendorItemId=225453725941761&sourceType=search&rank=9&searchId=33e443ae1b3d45e99bcd9fd721e874cd&q=dr.wu%E8%BA%AB%E9%AB%94
