product_name,product_price,product_url
TATUNG 大同 電鍋 TAC-15L-D 15人用 翠綠色,"$2,883",https://www.tw.coupang.com/products/TATUNG-%E5%A4%A7%E5%90%8C-%E9%9B%BB%E9%8D%8B-TAC-15L-D-15%E4%BA%BA%E7%94%A8-%E7%BF%A0%E7%B6%A0%E8%89%B2-451169344225280?itemId=451169344241666&vendorItemId=451169344241665&sourceType=search&rank=&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"JINHO 京禾 12位元計算機 JH-2780-12, 粉色, 1個",$124,https://www.tw.coupang.com/products/JINHO-%E4%BA%AC%E7%A6%BE-12%E4%BD%8D%E5%85%83%E8%A8%88%E7%AE%97%E6%A9%9F-JH-2780-12-464292851695619?itemId=464292851679237&vendorItemId=464292851679234&sourceType=search&rank=1&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"JINHO 京禾 12位元計算機 JH-2780, 灰色, 1個",$128,https://www.tw.coupang.com/products/JINHO-%E4%BA%AC%E7%A6%BE-12%E4%BD%8D%E5%85%83%E8%A8%88%E7%AE%97%E6%A9%9F-JH-2780-464292834902018?itemId=464292834934790&vendorItemId=464292834918402&sourceType=search&rank=2&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"JINHO 京禾 12位元計算機 JH-2693, 橘色, 1個",$133,https://www.tw.coupang.com/products/JINHO-%E4%BA%AC%E7%A6%BE-12%E4%BD%8D%E5%85%83%E8%A8%88%E7%AE%97%E6%A9%9F-JH-2693-464292839096331?itemId=464292839145483&vendorItemId=464292839145477&sourceType=search&rank=3&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"Kinyo 超大稅率計算機, 單色, 1個, KPE-677",$275,https://www.tw.coupang.com/products/Kinyo-%E8%B6%85%E5%A4%A7%E7%A8%85%E7%8E%87%E8%A8%88%E7%AE%97%E6%A9%9F-161338374471680?itemId=161338793885698&vendorItemId=161338793885696&sourceType=search&rank=4&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機, DX-120B, 1個",$463,https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-473291647041551?itemId=473291647025166&vendorItemId=473291647025158&sourceType=search&rank=5&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機, GX-12B-BK, 1個",$424,https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-473291651219466?itemId=473291651235849&vendorItemId=473291651268619&sourceType=search&rank=6&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機 JS-40B, 1個","$1,499",https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-JS-40B-473291676418048?itemId=473291676418049&vendorItemId=473291676385280&sourceType=search&rank=7&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機 MX-12B, 粉色, 1個",$249,https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-MX-12B-473291659657227?itemId=473291659640846&vendorItemId=473291659624457&sourceType=search&rank=8&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機 DX-120ST, 1個",$449,https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-DX-120ST-473291655430159?itemId=473291655446544&vendorItemId=473291655430150&sourceType=search&rank=9&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機 DX-12B, 黑色, 1個",$350,https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-DX-12B-473291684773896?itemId=473291684773897&vendorItemId=473291684806662&sourceType=search&rank=10&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機, GX-120B, 1個",$492,https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-473291659624464?itemId=473291659608081&vendorItemId=473291659640845&sourceType=search&rank=11&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO計算機 DJ-120DPLUS, 1個",$615,https://www.tw.coupang.com/products/CASIO%E8%A8%88%E7%AE%97%E6%A9%9F-DJ-120DPLUS-473291663818760?itemId=473291663818761&vendorItemId=473291663851522&sourceType=search&rank=12&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機, AX-120ST, 1個",$399,https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-473291693162498?itemId=473291693162499&vendorItemId=473291693195266&sourceType=search&rank=13&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"E-MORE 計算機 KT-900 240g, 1台",$509,https://www.tw.coupang.com/products/E-MORE-%E8%A8%88%E7%AE%97%E6%A9%9F-KT-900-240g-473291684773894?itemId=473291684823046&vendorItemId=473291684806657&sourceType=search&rank=14&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機 JF-120FM, 粉色, 1個",$589,https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-JF-120FM-473291642880010?itemId=473291642830853&vendorItemId=473291642863620&sourceType=search&rank=15&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"JINHO 京禾 8位元計算機 JH-862D, 黑色, 1個",$108,https://www.tw.coupang.com/products/JINHO-%E4%BA%AC%E7%A6%BE-8%E4%BD%8D%E5%85%83%E8%A8%88%E7%AE%97%E6%A9%9F-JH-862D-464292843307013?itemId=464292843339782&vendorItemId=464292843323394&sourceType=search&rank=16&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"JINHO 京禾 12位元計算機 JH-2671, 白色, 1個",$188,https://www.tw.coupang.com/products/JINHO-%E4%BA%AC%E7%A6%BE-12%E4%BD%8D%E5%85%83%E8%A8%88%E7%AE%97%E6%A9%9F-JH-2671-464292839096325?itemId=464292839145476&vendorItemId=464292839145473&sourceType=search&rank=17&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"JINHO 京禾 12位元計算機 JH-2780-12, 黑色, 1個",$124,https://www.tw.coupang.com/products/JINHO-%E4%BA%AC%E7%A6%BE-12%E4%BD%8D%E5%85%83%E8%A8%88%E7%AE%97%E6%A9%9F-JH-2780-12-464292834934791?itemId=464292834918406&vendorItemId=464292834902017&sourceType=search&rank=18&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機 GX-16B, 1個",$507,https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-GX-16B-473291663818757?itemId=473291663835140&vendorItemId=473291663802369&sourceType=search&rank=19&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"E-MORE計算機 120g, MM-300, 1個",$197,https://www.tw.coupang.com/products/E-MORE%E8%A8%88%E7%AE%97%E6%A9%9F-120g-473291684823054?itemId=473291684806669&vendorItemId=473291684790284&sourceType=search&rank=20&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"E-MORE 計算機 LC-123 60g, 1個",$90,https://www.tw.coupang.com/products/E-MORE-%E8%A8%88%E7%AE%97%E6%A9%9F-LC-123-60g-473291655430151?itemId=473291655413770&vendorItemId=473291655413764&sourceType=search&rank=21&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO計算機 國考機 HL-820LV, 黑色, 1個",$141,https://www.tw.coupang.com/products/CASIO%E8%A8%88%E7%AE%97%E6%A9%9F-%E5%9C%8B%E8%80%83%E6%A9%9F-HL-820LV-473291667996678?itemId=473291667996679&vendorItemId=473291667996677&sourceType=search&rank=22&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"JINHO 京禾 12位元計算機 JH-2717-12, 粉色, 1個",$152,https://www.tw.coupang.com/products/JINHO-%E4%BA%AC%E7%A6%BE-12%E4%BD%8D%E5%85%83%E8%A8%88%E7%AE%97%E6%A9%9F-JH-2717-12-464292843290637?itemId=464292843307022&vendorItemId=464292843323402&sourceType=search&rank=23&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"E-MORE計算機 MS-80V 140g, 1個",$170,https://www.tw.coupang.com/products/E-MORE%E8%A8%88%E7%AE%97%E6%A9%9F-MS-80V-140g-473291651219471?itemId=473291651235854&vendorItemId=473291651235850&sourceType=search&rank=24&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"E-MORE 計算機 KT-600 HELLO KITTY, 1個",$229,https://www.tw.coupang.com/products/E-MORE-%E8%A8%88%E7%AE%97%E6%A9%9F-KT-600-HELLO-KITTY-473291663818762?itemId=473291663851526&vendorItemId=473291663802371&sourceType=search&rank=25&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
"CASIO 計算機 DS-2B, 1個","$1,199",https://www.tw.coupang.com/products/CASIO-%E8%A8%88%E7%AE%97%E6%A9%9F-DS-2B-473291668013056?itemId=473291667996672&vendorItemId=473291663851529&sourceType=search&rank=26&searchId=cae1d6d5f21348f1b1e192391152f01e&q=dyah69-a900a8jbr
