product_name,product_price,product_url
"Holic HDMI傳輸線 4K1803, 1.8m, 1條",$280,https://www.tw.coupang.com/products/Holic-HDMI%E5%82%B3%E8%BC%B8%E7%B7%9A-4K1803-466755268870155?itemId=466755268870157&vendorItemId=466755268837382&sourceType=search&rank=&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"codeway HDMI 2.1v UHD 8K影像傳輸線, 1入, 1.5m",$233,https://www.tw.coupang.com/products/codeway-HDMI-2.1v-UHD-8K%E5%BD%B1%E5%83%8F%E5%82%B3%E8%BC%B8%E7%B7%9A-21005268128572?itemId=21007525738266&vendorItemId=21074812944133&sourceType=search&rank=1&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"UniSync HDMI公對母高畫質鍍金接頭影音傳輸延長線 1.5m, 1條",$209,https://www.tw.coupang.com/products/UniSync-HDMI%E5%85%AC%E5%B0%8D%E6%AF%8D%E9%AB%98%E7%95%AB%E8%B3%AA%E9%8D%8D%E9%87%91%E6%8E%A5%E9%A0%AD%E5%BD%B1%E9%9F%B3%E5%82%B3%E8%BC%B8%E5%BB%B6%E9%95%B7%E7%B7%9A-1.5m-418567287701505?itemId=418567287717888&vendorItemId=418567287701504&sourceType=search&rank=2&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"VENTION 威迅 HBZ系列 DP轉HDMI 4K高清轉接線, 15cm, 1條",$409,https://www.tw.coupang.com/products/VENTION-%E5%A8%81%E8%BF%85-HBZ%E7%B3%BB%E5%88%97-DP%E8%BD%89HDMI-4K%E9%AB%98%E6%B8%85%E8%BD%89%E6%8E%A5%E7%B7%9A-468546026962957?itemId=468546026930185&vendorItemId=468546026962953&sourceType=search&rank=3&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"Home Planet UHD 8K HDMI v2.1 電纜（應用了數字噪聲濾波器）, 2m, 1條",$203,https://www.tw.coupang.com/products/Home-Planet-UHD-8K-HDMI-v2.1-%E9%9B%BB%E7%BA%9C%EF%BC%88%E6%87%89%E7%94%A8%E4%BA%86%E6%95%B8%E5%AD%97%E5%99%AA%E8%81%B2%E6%BF%BE%E6%B3%A2%E5%99%A8%EF%BC%89-21006326733230?itemId=21013212763799&vendorItemId=21080471181733&sourceType=search&rank=4&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"Kinyo HDMI 高畫質影音傳輸編織線 HD-09 101g, 1.5m, 1條",$149,https://www.tw.coupang.com/products/Kinyo-HDMI-%E9%AB%98%E7%95%AB%E8%B3%AA%E5%BD%B1%E9%9F%B3%E5%82%B3%E8%BC%B8%E7%B7%A8%E7%B9%94%E7%B7%9A-HD-09-101g-463113879011330?itemId=463113878994947&vendorItemId=463113878962176&sourceType=search&rank=5&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"i-gota 愛購它 AV轉HDMI影音轉接器, GAP-014, 1個",$331,https://www.tw.coupang.com/products/i-gota-%E6%84%9B%E8%B3%BC%E5%AE%83-AV%E8%BD%89HDMI%E5%BD%B1%E9%9F%B3%E8%BD%89%E6%8E%A5%E5%99%A8-469003331895298?itemId=469003331944450&vendorItemId=469003327733775&sourceType=search&rank=6&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"UGREEN 綠聯 4K HDMI傳輸線 高強度加粗網版, 2m, 1條",$249,https://www.tw.coupang.com/products/UGREEN-%E7%B6%A0%E8%81%AF-4K-HDMI%E5%82%B3%E8%BC%B8%E7%B7%9A-%E9%AB%98%E5%BC%B7%E5%BA%A6%E5%8A%A0%E7%B2%97%E7%B6%B2%E7%89%88-465374105518087?itemId=465374109728770&vendorItemId=465374101307398&sourceType=search&rank=7&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"Home Planet UHD 8K HDMI v2.1防纏繞線 高級型 數位雜訊濾波器適用, 1個, 1m",$129,https://www.tw.coupang.com/products/Home-Planet-UHD-8K-HDMI-v2.1%E9%98%B2%E7%BA%8F%E7%B9%9E%E7%B7%9A-%E9%AB%98%E7%B4%9A%E5%9E%8B-%E6%95%B8%E4%BD%8D%E9%9B%9C%E8%A8%8A%E6%BF%BE%E6%B3%A2%E5%99%A8%E9%81%A9%E7%94%A8-21007511187077?itemId=21019680938703&vendorItemId=21086786307658&sourceType=search&rank=8&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"i-gota 愛購它 HDMI-VGA影音轉接器, A-HV001, 1個",$340,https://www.tw.coupang.com/products/i-gota-%E6%84%9B%E8%B3%BC%E5%AE%83-HDMI-VGA%E5%BD%B1%E9%9F%B3%E8%BD%89%E6%8E%A5%E5%99%A8-469003378081801?itemId=469003378049034&vendorItemId=469003378081798&sourceType=search&rank=9&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"i-gota HDMI轉VGA轉接線, 240mm, 1條",$194,https://www.tw.coupang.com/products/i-gota-HDMI%E8%BD%89VGA%E8%BD%89%E6%8E%A5%E7%B7%9A-469003327750147?itemId=469003327750148&vendorItemId=469003327733764&sourceType=search&rank=10&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"ESENSE 逸盛 Type-C TO HDMI 5合1 轉接器, 01-ECH511, 1個",$439,https://www.tw.coupang.com/products/ESENSE-%E9%80%B8%E7%9B%9B-Type-C-TO-HDMI-5%E5%90%881-%E8%BD%89%E6%8E%A5%E5%99%A8-290734095679496?itemId=290735156871173&vendorItemId=290736134127620&sourceType=search&rank=11&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"CHOseal 秋葉原 HDMI2.0高畫質4K磨砂頭影音編織傳輸線 尊享黑, 5m, 1條",$741,https://www.tw.coupang.com/products/CHOseal-%E7%A7%8B%E8%91%89%E5%8E%9F-HDMI2.0%E9%AB%98%E7%95%AB%E8%B3%AA4K%E7%A3%A8%E7%A0%82%E9%A0%AD%E5%BD%B1%E9%9F%B3%E7%B7%A8%E7%B9%94%E5%82%B3%E8%BC%B8%E7%B7%9A-%E5%B0%8A%E4%BA%AB%E9%BB%91-368994779365377?itemId=368994779348995&vendorItemId=368994779332609&sourceType=search&rank=12&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"高速乙太網HDMI線 4K@60 HDMI-3MM, 3m, 1條",$294,https://www.tw.coupang.com/products/%E9%AB%98%E9%80%9F%E4%B9%99%E5%A4%AA%E7%B6%B2HDMI%E7%B7%9A-4K%4060-HDMI-3MM-467906785656834?itemId=467906785689609&vendorItemId=467906785640448&sourceType=search&rank=13&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"Home Planet UHD 8K HDMI v2.1防纏繞線 高級型 數位雜訊濾波器適用, 1個, 5m",$347,https://www.tw.coupang.com/products/Home-Planet-UHD-8K-HDMI-v2.1%E9%98%B2%E7%BA%8F%E7%B9%9E%E7%B7%9A-%E9%AB%98%E7%B4%9A%E5%9E%8B-%E6%95%B8%E4%BD%8D%E9%9B%9C%E8%A8%8A%E6%BF%BE%E6%B3%A2%E5%99%A8%E9%81%A9%E7%94%A8-21007511187077?itemId=21019680938953&vendorItemId=21086786307761&sourceType=search&rank=14&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
"UniSync HDMI轉HDMI高畫質4K影音傳輸線 5m, 1條",$224,https://www.tw.coupang.com/products/UniSync-HDMI%E8%BD%89HDMI%E9%AB%98%E7%95%AB%E8%B3%AA4K%E5%BD%B1%E9%9F%B3%E5%82%B3%E8%BC%B8%E7%B7%9A-5m-420432834412544?itemId=420432834396160&vendorItemId=420432834428928&sourceType=search&rank=15&searchId=c3832b79cf6743f593e9a9e25261e867&q=hdmi
