product_name,product_price,product_url
"CODEWAY iPhone Lightning快速充電線, 2M",$209,https://www.tw.coupang.com/products/CODEWAY-iPhone-Lightning%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E7%B7%9A-21007214884792?itemId=21016608199927&vendorItemId=21087945334068&sourceType=search&rank=&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
"Mcdodo 麥多多 90度發光型8 pin傳輸線 0.5m, 黑色, 1入",$173,https://www.tw.coupang.com/products/Mcdodo-%E9%BA%A5%E5%A4%9A%E5%A4%9A-90%E5%BA%A6%E7%99%BC%E5%85%89%E5%9E%8B8-pin%E5%82%B3%E8%BC%B8%E7%B7%9A-0.5m-21000146789422?itemId=21000425126362&vendorItemId=21004046445065&sourceType=search&rank=1&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
"Cordway iPhone Type C to Lightning 快速充電線, 3M, 1個",$320,https://www.tw.coupang.com/products/Cordway-iPhone-Type-C-to-Lightning-%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E7%B7%9A-21007219245022?itemId=21018290169948&vendorItemId=21085370906914&sourceType=search&rank=2&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
"Home Planet 90度直角AtoC快充線 三星Galaxy蘋果iPhone15適用, 1m, 1個",$87,https://www.tw.coupang.com/products/Home-Planet-90%E5%BA%A6%E7%9B%B4%E8%A7%92AtoC%E5%BF%AB%E5%85%85%E7%B7%9A-%E4%B8%89%E6%98%9FGalaxy%E8%98%8B%E6%9E%9CiPhone15%E9%81%A9%E7%94%A8-21007170583251?itemId=21018064055898&vendorItemId=21085217725096&sourceType=search&rank=3&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
"CODEWAY iPhone Lightning快速充電線, 1m",$185,https://www.tw.coupang.com/products/CODEWAY-iPhone-Lightning%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E7%B7%9A-21007214884792?itemId=21018254913637&vendorItemId=21087021797452&sourceType=search&rank=4&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
"ITS LIFE Lightning-Type-A快充線, 2m, 白色, 1條",$105,https://www.tw.coupang.com/products/ITS-LIFE-Lightning-Type-A%E5%BF%AB%E5%85%85%E7%B7%9A-234488323850245?itemId=234488323850246&vendorItemId=234489179521027&sourceType=search&rank=5&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
"Mcdodo 麥多多 90度發光型Type-C傳輸線, 0.5m, 黑色的, 1個",$258,https://www.tw.coupang.com/products/Mcdodo-%E9%BA%A5%E5%A4%9A%E5%A4%9A-90%E5%BA%A6%E7%99%BC%E5%85%89%E5%9E%8BType-C%E5%82%B3%E8%BC%B8%E7%B7%9A-21005689326264?itemId=21000425130640&vendorItemId=21004046454844&sourceType=search&rank=6&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
"Mcdodo 麥多多 90度發光型8pin傳輸線 1.2m, 黑色的, 1個",$317,https://www.tw.coupang.com/products/Mcdodo-%E9%BA%A5%E5%A4%9A%E5%A4%9A-90%E5%BA%A6%E7%99%BC%E5%85%89%E5%9E%8B8pin%E5%82%B3%E8%BC%B8%E7%B7%9A-1.2m-21000146789422?itemId=21000425132006&vendorItemId=21004046458335&sourceType=search&rank=7&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
"Kinyo 蘋果PD 25W快充傳輸線 60g, 2m, USB-NAC03, 1條",$175,https://www.tw.coupang.com/products/Kinyo-%E8%98%8B%E6%9E%9CPD-25W%E5%BF%AB%E5%85%85%E5%82%B3%E8%BC%B8%E7%B7%9A-60g-451639756390401?itemId=451639756423170&vendorItemId=451639756439553&sourceType=search&rank=8&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
"Home Planet 90度直角AtoC快充線 三星Galaxy蘋果iPhone15適用, 2m, 1個",$109,https://www.tw.coupang.com/products/Home-Planet-90%E5%BA%A6%E7%9B%B4%E8%A7%92AtoC%E5%BF%AB%E5%85%85%E7%B7%9A-%E4%B8%89%E6%98%9FGalaxy%E8%98%8B%E6%9E%9CiPhone15%E9%81%A9%E7%94%A8-21007170583251?itemId=21018064055896&vendorItemId=21085217725082&sourceType=search&rank=9&searchId=ecd5068727d24730836582a80e4d4af5&q=iphone%2090%E5%BA%A6%E5%85%85%E9%9B%BB%E7%B7%9A
