product_name,product_price,product_url
"d'Alba Waterful紫色提亮防曬乳 SPF50+ PA++++, 50ml, 1條",$445,https://www.tw.coupang.com/products/d'Alba-Waterful%E7%B4%AB%E8%89%B2%E6%8F%90%E4%BA%AE%E9%98%B2%E6%9B%AC%E4%B9%B3-SPF50%2B-PA%2B%2B%2B%2B-21008129056541?itemId=21023082634005&vendorItemId=21090116133185&sourceType=search&rank=&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
"d'Alba 白松露保濕精華 加強版 150ml*1+100ml*1+50ml*1, 300ml, 1組","$1,368",https://www.tw.coupang.com/products/d'Alba-%E7%99%BD%E6%9D%BE%E9%9C%B2%E4%BF%9D%E6%BF%95%E7%B2%BE%E8%8F%AF-%E5%8A%A0%E5%BC%B7%E7%89%88-150ml*1%2B100ml*1%2B50ml*1-397160877080579?itemId=397160877096964&vendorItemId=397160877113345&sourceType=search&rank=1&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
"d'Alba 白松露粉櫻水光保濕噴霧100ml x 2瓶 + 洗面凝露3ml x 5包, 1組",$950,https://www.tw.coupang.com/products/d'Alba-%E7%99%BD%E6%9D%BE%E9%9C%B2%E7%B2%89%E6%AB%BB%E6%B0%B4%E5%85%89%E4%BF%9D%E6%BF%95%E5%99%B4%E9%9C%A7100ml-x-2%E7%93%B6-%2B-%E6%B4%97%E9%9D%A2%E5%87%9D%E9%9C%B23ml-x-5%E5%8C%85-397594790428672?itemId=397594790445057&vendorItemId=397594790412290&sourceType=search&rank=2&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
"d'Alba 白松露至尊強化精華液/精華液, 2個, 50ml",$480,https://www.tw.coupang.com/products/d'Alba-%E7%99%BD%E6%9D%BE%E9%9C%B2%E8%87%B3%E5%B0%8A%E5%BC%B7%E5%8C%96%E7%B2%BE%E8%8F%AF%E6%B6%B2%2F%E7%B2%BE%E8%8F%AF%E6%B6%B2-21008142647176?itemId=21019497140399&vendorItemId=21086606670512&sourceType=search&rank=3&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",$88,https://www.tw.coupang.com/products/Dancelight-%E8%88%9E%E5%85%89-LED-16W-6500K-E27-464275046858764?itemId=464275046907922&vendorItemId=464275046891528&sourceType=search&rank=4&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
"rom&nd 2021 迷你唇釉組 3支, 橘色, 6g, 1盒",$399,https://www.tw.coupang.com/products/rom%26nd-2021-%E8%BF%B7%E4%BD%A0%E5%94%87%E9%87%89%E7%B5%84-3%E6%94%AF-168956832759809?itemId=168957289922561&vendorItemId=168957289922560&sourceType=search&rank=5&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
"d'Alba 保濕面膜精華12片*2盒+贈品包4ml*3包, 1組","$1,094",https://www.tw.coupang.com/products/d'Alba-%E4%BF%9D%E6%BF%95%E9%9D%A2%E8%86%9C%E7%B2%BE%E8%8F%AF12%E7%89%87*2%E7%9B%92%2B%E8%B4%88%E5%93%81%E5%8C%854ml*3%E5%8C%85-397588222115840?itemId=397588222132224&vendorItemId=397588217937921&sourceType=search&rank=6&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
"d'Alba 專業修復頭皮療法精華洗髮精, 275ml, 1個",$395,https://www.tw.coupang.com/products/d'Alba-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E9%A0%AD%E7%9A%AE%E7%99%82%E6%B3%95%E7%B2%BE%E8%8F%AF%E6%B4%97%E9%AB%AE%E7%B2%BE-21007772042444?itemId=21020834524973&vendorItemId=21090396725651&sourceType=search&rank=7&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
"DEAR RUS One Step 彩色美甲凝膠, D574 Blueming Cotton, 5ml, 3瓶",$477,https://www.tw.coupang.com/products/DEAR-RUS-One-Step-%E5%BD%A9%E8%89%B2%E7%BE%8E%E7%94%B2%E5%87%9D%E8%86%A0-253406845321239?itemId=428430424227846&vendorItemId=428430424227844&sourceType=search&rank=8&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
"J'SOOP Deep Green J 弱酸性香氛洗髮精 French Lavender, 1L, 1瓶",$532,https://www.tw.coupang.com/products/J'SOOP-Deep-Green-J-%E5%BC%B1%E9%85%B8%E6%80%A7%E9%A6%99%E6%B0%9B%E6%B4%97%E9%AB%AE%E7%B2%BE-French-Lavender-184914137792512?itemId=184914137792513&vendorItemId=184915240910848&sourceType=search&rank=9&searchId=3eaa9281e6eb4e1a93a4b5a938e414ad&q=j%E2%80%99adore%20dau%20de%20parpum
