product_name,product_price,product_url
"KitchenCraft 手感不沾湯杓 KCACB26, 黑色, 1支",$222,https://www.tw.coupang.com/products/KitchenCraft-%E6%89%8B%E6%84%9F%E4%B8%8D%E6%B2%BE%E6%B9%AF%E6%9D%93-KCACB26-472899072786433?itemId=472899072770048&vendorItemId=472899072753664&sourceType=search&rank=&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
"KitchenCraft 矽膠湯杓 KCA175, 紅色, 1個",$460,https://www.tw.coupang.com/products/KitchenCraft-%E7%9F%BD%E8%86%A0%E6%B9%AF%E6%9D%93-KCA175-472891795668998?itemId=472891795668999&vendorItemId=472891795685378&sourceType=search&rank=1&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
"KitchenCraft 多角度雙頭清潔刷 KCA135, 1個",$269,https://www.tw.coupang.com/products/KitchenCraft-%E5%A4%9A%E8%A7%92%E5%BA%A6%E9%9B%99%E9%A0%AD%E6%B8%85%E6%BD%94%E5%88%B7-KCA135-472899055992836?itemId=472899056009224&vendorItemId=472899056009221&sourceType=search&rank=2&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
"KitchenCraft 不沾鍋濾油鍋鏟 KCACA2 方, 1個",$271,https://www.tw.coupang.com/products/KitchenCraft-%E4%B8%8D%E6%B2%BE%E9%8D%8B%E6%BF%BE%E6%B2%B9%E9%8D%8B%E9%8F%9F-KCACA2-%E6%96%B9-472891845984263?itemId=472891846000644&vendorItemId=472891845967875&sourceType=search&rank=3&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
"KitchenCraft 圓柄蔬果削皮刀 KCABA23, 1個",$219,https://www.tw.coupang.com/products/KitchenCraft-%E5%9C%93%E6%9F%84%E8%94%AC%E6%9E%9C%E5%89%8A%E7%9A%AE%E5%88%80-KCABA23-472891841806343?itemId=472891841773571&vendorItemId=472891841789952&sourceType=search&rank=4&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
"KitchenCraft 玻璃油醋瓶 KCA227, 550ml, 1瓶",$455,https://www.tw.coupang.com/products/KitchenCraft-%E7%8E%BB%E7%92%83%E6%B2%B9%E9%86%8B%E7%93%B6-KCA227-472899068559363?itemId=472899068592130&vendorItemId=472899068608512&sourceType=search&rank=5&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
"KitchenCraft 石陶杯墊 KCAHE7_A, 四格青花, 1個",$199,https://www.tw.coupang.com/products/KitchenCraft-%E7%9F%B3%E9%99%B6%E6%9D%AF%E5%A2%8A-KCAHE7_A-472899152461828?itemId=472899152478211&vendorItemId=472899152445441&sourceType=search&rank=6&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
"KitchenCraft 防噴濾網鍋蓋 KCADK3 S, 20cm, 1個",$319,https://www.tw.coupang.com/products/KitchenCraft-%E9%98%B2%E5%99%B4%E6%BF%BE%E7%B6%B2%E9%8D%8B%E8%93%8B-KCADK3-S-472899026649090?itemId=472899026649091&vendorItemId=472899026665475&sourceType=search&rank=7&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
"KitchenCraft 多功能剪刀 KCABB4, 1個",$290,https://www.tw.coupang.com/products/KitchenCraft-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%89%AA%E5%88%80-KCABB4-472899051831297?itemId=472899051782146&vendorItemId=472899051782145&sourceType=search&rank=8&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
"KitchenCraft 玻璃油醋瓶 180ml, 1個",$289,https://www.tw.coupang.com/products/KitchenCraft-%E7%8E%BB%E7%92%83%E6%B2%B9%E9%86%8B%E7%93%B6-180ml-472891795669001?itemId=472891795636228&vendorItemId=472891795668996&sourceType=search&rank=9&searchId=ed45317af7ed4df2a2ba1786fe70ce22&q=kitchencraft
