product_name,product_price,product_url
"MacBook Pro 16 M1 max/pro 硬殼 A2485, 啞光白",$268,https://www.tw.coupang.com/products/MacBook-Pro-16-M1-max%2Fpro-%E7%A1%AC%E6%AE%BC-A2485-21007507621764?itemId=21019665431352&vendorItemId=21086771109727&sourceType=search&rank=&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"Healing Max M-1足弓墊鞋, 250mm, 乳白色","$1,048",https://www.tw.coupang.com/products/Healing-Max-M-1%E8%B6%B3%E5%BC%93%E5%A2%8A%E9%9E%8B-21007464853874?itemId=21015167434796&vendorItemId=21088845238092&sourceType=search&rank=1&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MAX STAR 太星電工 速充寶3.5A 3USB四開四插電腦線 3孔, 1.8m, 1個",$470,https://www.tw.coupang.com/products/MAX-STAR-%E5%A4%AA%E6%98%9F%E9%9B%BB%E5%B7%A5-%E9%80%9F%E5%85%85%E5%AF%B63.5A-3USB%E5%9B%9B%E9%96%8B%E5%9B%9B%E6%8F%92%E9%9B%BB%E8%85%A6%E7%B7%9A-3%E5%AD%94-158412532826136?itemId=158412956483608&vendorItemId=184884526022660&sourceType=search&rank=2&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MAX STAR 太星電工 蓋安全彩色四開四插電腦線 3P 15A 6尺 顏色隨機 480g, 1.8m, 1個",$290,https://www.tw.coupang.com/products/MAX-STAR-%E5%A4%AA%E6%98%9F%E9%9B%BB%E5%B7%A5-%E8%93%8B%E5%AE%89%E5%85%A8%E5%BD%A9%E8%89%B2%E5%9B%9B%E9%96%8B%E5%9B%9B%E6%8F%92%E9%9B%BB%E8%85%A6%E7%B7%9A-3P-15A-6%E5%B0%BA-%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F-480g-158412927123466?itemId=158413329760282&vendorItemId=184884526022657&sourceType=search&rank=3&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MAX STAR 太星電工 速充寶3.5A 3USB一開三插電腦線 3孔, 1.8m, 1個",$411,https://www.tw.coupang.com/products/MAX-STAR-%E5%A4%AA%E6%98%9F%E9%9B%BB%E5%B7%A5-%E9%80%9F%E5%85%85%E5%AF%B63.5A-3USB%E4%B8%80%E9%96%8B%E4%B8%89%E6%8F%92%E9%9B%BB%E8%85%A6%E7%B7%9A-3%E5%AD%94-158412532826135?itemId=158412956483607&vendorItemId=184883422904321&sourceType=search&rank=4&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"Micron 美光 Crucial MX500 SATA 固態硬碟 CT500MX500SSD1, 500GB, 1個","$1,450",https://www.tw.coupang.com/products/Micron-%E7%BE%8E%E5%85%89-Crucial-MX500-SATA-%E5%9B%BA%E6%85%8B%E7%A1%AC%E7%A2%9F-CT500MX500SSD1-471187964510208?itemId=471187964542976&vendorItemId=471187960332297&sourceType=search&rank=5&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MAX STAR 太星電工 速充寶PD37W四開三插快充滑蓋電腦線/3P 4尺, 1.2m, 1條",$680,https://www.tw.coupang.com/products/MAX-STAR-%E5%A4%AA%E6%98%9F%E9%9B%BB%E5%B7%A5-%E9%80%9F%E5%85%85%E5%AF%B6PD37W%E5%9B%9B%E9%96%8B%E4%B8%89%E6%8F%92%E5%BF%AB%E5%85%85%E6%BB%91%E8%93%8B%E9%9B%BB%E8%85%A6%E7%B7%9A%2F3P-4%E5%B0%BA-463482407288836?itemId=463482407321605&vendorItemId=463482407337987&sourceType=search&rank=6&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MAX STAR 太星電工 蓋安全彩色三開三插電腦線 3P 15A 6尺 顏色隨機 440g, 1.8m, 1個",$267,https://www.tw.coupang.com/products/MAX-STAR-%E5%A4%AA%E6%98%9F%E9%9B%BB%E5%B7%A5-%E8%93%8B%E5%AE%89%E5%85%A8%E5%BD%A9%E8%89%B2%E4%B8%89%E9%96%8B%E4%B8%89%E6%8F%92%E9%9B%BB%E8%85%A6%E7%B7%9A-3P-15A-6%E5%B0%BA-%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F-440g-158412461522946?itemId=158412885180418&vendorItemId=184884526022656&sourceType=search&rank=7&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"Micron 美光 Crucial MX500 SATA 固態硬碟, 250GB, 1個","$1,299",https://www.tw.coupang.com/products/Micron-%E7%BE%8E%E5%85%89-Crucial-MX500-SATA-%E5%9B%BA%E6%85%8B%E7%A1%AC%E7%A2%9F-471187964542978?itemId=471187964526595&vendorItemId=471187964510209&sourceType=search&rank=8&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MAX STAR 太星電工 速充寶PD37W5開4插快充滑蓋電腦線 3P MAX-37W406, 1.8m, 1個",$739,https://www.tw.coupang.com/products/MAX-STAR-%E5%A4%AA%E6%98%9F%E9%9B%BB%E5%B7%A5-%E9%80%9F%E5%85%85%E5%AF%B6PD37W5%E9%96%8B4%E6%8F%92%E5%BF%AB%E5%85%85%E6%BB%91%E8%93%8B%E9%9B%BB%E8%85%A6%E7%B7%9A-3P-MAX-37W406-463482407321607?itemId=463482407337991&vendorItemId=463482407288835&sourceType=search&rank=9&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MAX 1650W 125V 15A 2.7m 6開6插 3P 扁平插頭 電腦延長線 PSG-366B, 1條",$320,https://www.tw.coupang.com/products/MAX-1650W-125V-15A-2.7m-6%E9%96%8B6%E6%8F%92-3P-%E6%89%81%E5%B9%B3%E6%8F%92%E9%A0%AD-%E9%9B%BB%E8%85%A6%E5%BB%B6%E9%95%B7%E7%B7%9A-PSG-366B-472915136987141?itemId=472915136987142&vendorItemId=472915136987139&sourceType=search&rank=10&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"Milwaukee 扳手機 12V+外殼 FIWF12-0C M12+安全保護罩, 1套","$10,296",https://www.tw.coupang.com/products/Milwaukee-%E6%89%B3%E6%89%8B%E6%A9%9F-12V%2B%E5%A4%96%E6%AE%BC-FIWF12-0C-M12%2B%E5%AE%89%E5%85%A8%E4%BF%9D%E8%AD%B7%E7%BD%A9-21006285455128?itemId=21012925984472&vendorItemId=21080190516357&sourceType=search&rank=11&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MacBook Pro 16 M1 max/pro 硬殼 A2485, 啞光黑",$268,https://www.tw.coupang.com/products/MacBook-Pro-16-M1-max%2Fpro-%E7%A1%AC%E6%AE%BC-A2485-21007507621764?itemId=21019665431340&vendorItemId=21086771109617&sourceType=search&rank=12&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MAX STAR 太星電工 一發連動彩色五開四插電腦線 3P 6尺 顏色隨機 498g, 1.8m, 1個",$369,https://www.tw.coupang.com/products/MAX-STAR-%E5%A4%AA%E6%98%9F%E9%9B%BB%E5%B7%A5-%E4%B8%80%E7%99%BC%E9%80%A3%E5%8B%95%E5%BD%A9%E8%89%B2%E4%BA%94%E9%96%8B%E5%9B%9B%E6%8F%92%E9%9B%BB%E8%85%A6%E7%B7%9A-3P-6%E5%B0%BA-%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F-498g-158413333954573?itemId=158412507660288&vendorItemId=184883393544194&sourceType=search&rank=13&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
NIKE W Air Max 2090 CT1290-700,"$5,346",https://www.tw.coupang.com/products/NIKE-W-Air-Max-2090-CT1290-700-21006993723196?itemId=21017125401717&vendorItemId=21084298672279&sourceType=search&rank=14&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"SKOKO MacBook Pro 2021 M1 MAX抗反光螢幕保護貼+機身保護貼膜, 1組",$637,https://www.tw.coupang.com/products/SKOKO-MacBook-Pro-2021-M1-MAX%E6%8A%97%E5%8F%8D%E5%85%89%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC%2B%E6%A9%9F%E8%BA%AB%E4%BF%9D%E8%AD%B7%E8%B2%BC%E8%86%9C-21006656832046?itemId=21015269894511&vendorItemId=21082490434514&sourceType=search&rank=15&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MAX 1650W 125V 15A 1.8m 1開6插 3P 平貼插頭 電腦延長線 PKK-316A, 1條",$270,https://www.tw.coupang.com/products/MAX-1650W-125V-15A-1.8m-1%E9%96%8B6%E6%8F%92-3P-%E5%B9%B3%E8%B2%BC%E6%8F%92%E9%A0%AD-%E9%9B%BB%E8%85%A6%E5%BB%B6%E9%95%B7%E7%B7%9A-PKK-316A-472915132760070?itemId=472915132743684&vendorItemId=472915132760067&sourceType=search&rank=16&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"速充寶 PD37W 四開三插快充滑蓋電腦線 3P MAX-37W306 5.9 x 2.8 x 22.5cm, 1.8m, 1條",$705,https://www.tw.coupang.com/products/%E9%80%9F%E5%85%85%E5%AF%B6-PD37W-%E5%9B%9B%E9%96%8B%E4%B8%89%E6%8F%92%E5%BF%AB%E5%85%85%E6%BB%91%E8%93%8B%E9%9B%BB%E8%85%A6%E7%B7%9A-3P-MAX-37W306-5.9-x-2.8-x-22.5cm-463482415677443?itemId=463482415726596&vendorItemId=463482415693824&sourceType=search&rank=17&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"MacBook Pro 16 M1 max/pro 硬殼 A2485, 光面透明",$268,https://www.tw.coupang.com/products/MacBook-Pro-16-M1-max%2Fpro-%E7%A1%AC%E6%AE%BC-A2485-21007507621764?itemId=21019665431341&vendorItemId=21086771109634&sourceType=search&rank=18&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"SKOKO MacBook Pro 2021 M1 Max系列筆電螢幕保護膜+筆電外殼保護膜組, 1套",$695,https://www.tw.coupang.com/products/SKOKO-MacBook-Pro-2021-M1-Max%E7%B3%BB%E5%88%97%E7%AD%86%E9%9B%BB%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%86%9C%2B%E7%AD%86%E9%9B%BB%E5%A4%96%E6%AE%BC%E4%BF%9D%E8%AD%B7%E8%86%9C%E7%B5%84-21006656830668?itemId=21015269890035&vendorItemId=21082490430389&sourceType=search&rank=19&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
"1開4插 3P平貼插頭電腦延長線 過載保護 台灣製造 PKK-314A MAX1650W 125V 15A, 1.8m, 1個",$218,https://www.tw.coupang.com/products/1%E9%96%8B4%E6%8F%92-3P%E5%B9%B3%E8%B2%BC%E6%8F%92%E9%A0%AD%E9%9B%BB%E8%85%A6%E5%BB%B6%E9%95%B7%E7%B7%9A-%E9%81%8E%E8%BC%89%E4%BF%9D%E8%AD%B7-%E5%8F%B0%E7%81%A3%E8%A3%BD%E9%80%A0-PKK-314A-MAX1650W-125V-15A-472915124355075?itemId=472915124355076&vendorItemId=472915124404226&sourceType=search&rank=20&searchId=3b0471501b0d4ee6a6783e8428397ba1&q=m1max
