product_name,product_price,product_url
new balance 運動鞋,"$1,963",https://www.tw.coupang.com/products/new-balance-%E9%81%8B%E5%8B%95%E9%9E%8B-21007912686456?itemId=21021389472158&vendorItemId=21088446220956&sourceType=search&rank=&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
New Balance [New Balance] 574 運動鞋,"$2,296",https://www.tw.coupang.com/products/New-Balance-%5BNew-Balance%5D-574-%E9%81%8B%E5%8B%95%E9%9E%8B-21007633025232?itemId=21022423055379&vendorItemId=21089467784382&sourceType=search&rank=1&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
New Balance [New Balance] 574 運動鞋,"$3,576",https://www.tw.coupang.com/products/New-Balance-%5BNew-Balance%5D-574-%E9%81%8B%E5%8B%95%E9%9E%8B-21008022584804?itemId=21022418651489&vendorItemId=21089463410026&sourceType=search&rank=2&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
New Balance [New Balance] CT574 運動鞋,"$2,616",https://www.tw.coupang.com/products/New-Balance-%5BNew-Balance%5D-CT574-%E9%81%8B%E5%8B%95%E9%9E%8B-21007945269150?itemId=21021953477548&vendorItemId=21089467784758&sourceType=search&rank=3&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
New Balance 運動鞋 U574LGTR,"$1,942",https://www.tw.coupang.com/products/New-Balance-%E9%81%8B%E5%8B%95%E9%9E%8B-U574LGTR-21007751155284?itemId=21021506591604&vendorItemId=21088560129597&sourceType=search&rank=4&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
New Balance 327 復古運動鞋 U327WCG,"$3,030",https://www.tw.coupang.com/products/New-Balance-327-%E5%BE%A9%E5%8F%A4%E9%81%8B%E5%8B%95%E9%9E%8B-U327WCG-21007622035401?itemId=21020210470341&vendorItemId=21087300547062&sourceType=search&rank=5&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
new balance 女款574系列運動鞋 WL574BA2,"$3,738",https://www.tw.coupang.com/products/new-balance-%E5%A5%B3%E6%AC%BE574%E7%B3%BB%E5%88%97%E9%81%8B%E5%8B%95%E9%9E%8B-WL574BA2-21006247176026?itemId=21012659283187&vendorItemId=21079926566879&sourceType=search&rank=6&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
【新百倫】新百倫237 MS237TWS,"$1,672",https://www.tw.coupang.com/products/%E3%80%90%E6%96%B0%E7%99%BE%E5%80%AB%E3%80%91%E6%96%B0%E7%99%BE%E5%80%AB237-MS237TWS-21006873510082?itemId=21016450400229&vendorItemId=21086703526596&sourceType=search&rank=7&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
New Balance [New Balance] 5740 運動鞋,"$2,408",https://www.tw.coupang.com/products/New-Balance-%5BNew-Balance%5D-5740-%E9%81%8B%E5%8B%95%E9%9E%8B-21006971660247?itemId=21022729766381&vendorItemId=21089765105730&sourceType=search&rank=8&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
New Balance 574運動鞋,"$4,084",https://www.tw.coupang.com/products/New-Balance-574%E9%81%8B%E5%8B%95%E9%9E%8B-21007958566867?itemId=21021473137140&vendorItemId=21088527421023&sourceType=search&rank=9&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
新百倫 574 CT574RPY,"$2,821",https://www.tw.coupang.com/products/%E6%96%B0%E7%99%BE%E5%80%AB-574-CT574RPY-21007204064009?itemId=21018215872565&vendorItemId=21085363751087&sourceType=search&rank=10&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
New Balance [New Balance] 480 運動鞋 BB480L3W,"$1,772",https://www.tw.coupang.com/products/New-Balance-%5BNew-Balance%5D-480-%E9%81%8B%E5%8B%95%E9%9E%8B-BB480L3W-21007276287569?itemId=21018568079040&vendorItemId=21089463409869&sourceType=search&rank=11&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
new balance 運動鞋 CT574TBT,"$2,637",https://www.tw.coupang.com/products/new-balance-%E9%81%8B%E5%8B%95%E9%9E%8B-CT574TBT-21007354747658?itemId=21018934661143&vendorItemId=21089503652755&sourceType=search&rank=12&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
新百倫運動鞋 U574LGTC,"$3,018",https://www.tw.coupang.com/products/%E6%96%B0%E7%99%BE%E5%80%AB%E9%81%8B%E5%8B%95%E9%9E%8B-U574LGTC-21007306075832?itemId=21018706502757&vendorItemId=21085839821786&sourceType=search&rank=13&searchId=15ab3a6f426548449b402460f739fc25&q=new%20balance%20574
