product_name,product_price,product_url
NIKE 耐吉 成人男款 短袖防曬衣 NESSA586,$685,https://www.tw.coupang.com/products/NIKE-%E8%80%90%E5%90%89-%E6%88%90%E4%BA%BA%E7%94%B7%E6%AC%BE-%E7%9F%AD%E8%A2%96%E9%98%B2%E6%9B%AC%E8%A1%A3-NESSA586-470392783224840?itemId=470392661573635&vendorItemId=470392661557249&sourceType=search&rank=&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
NIKE 耐吉 男款LEGEND DRY短袖T恤,$591,https://www.tw.coupang.com/products/NIKE-%E8%80%90%E5%90%89-%E7%94%B7%E6%AC%BELEGEND-DRY%E7%9F%AD%E8%A2%96T%E6%81%A4-21007370686333?itemId=21021194100231&vendorItemId=21088255412119&sourceType=search&rank=1&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
NIKE 男士運動裝俱樂部圓領上衣 + 圓珠筆,"$1,084",https://www.tw.coupang.com/products/NIKE-%E7%94%B7%E5%A3%AB%E9%81%8B%E5%8B%95%E8%A3%9D%E4%BF%B1%E6%A8%82%E9%83%A8%E5%9C%93%E9%A0%98%E4%B8%8A%E8%A1%A3-%2B-%E5%9C%93%E7%8F%A0%E7%AD%86-21004601026792?itemId=21005675317903&vendorItemId=21085355793812&sourceType=search&rank=2&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
NIKE 耐吉 男款LEGEND DRY短袖T恤,$903,https://www.tw.coupang.com/products/NIKE-%E8%80%90%E5%90%89-%E7%94%B7%E6%AC%BELEGEND-DRY%E7%9F%AD%E8%A2%96T%E6%81%A4-21007810279435?itemId=21021182374168&vendorItemId=21088243777901&sourceType=search&rank=3&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
NIKE 男子上衣,"$1,400",https://www.tw.coupang.com/products/NIKE-%E7%94%B7%E5%AD%90%E4%B8%8A%E8%A1%A3-473333107736578?itemId=473333107752961&vendorItemId=473333103558657&sourceType=search&rank=4&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
NIKE 耐吉 男款Swoosh短袖T恤,$680,https://www.tw.coupang.com/products/NIKE-%E8%80%90%E5%90%89-%E7%94%B7%E6%AC%BESwoosh%E7%9F%AD%E8%A2%96T%E6%81%A4-21007735790327?itemId=21020799570016&vendorItemId=21087868664872&sourceType=search&rank=5&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
NIKE 耐吉 男款DRY FIT標準版型Hood T恤,"$3,710",https://www.tw.coupang.com/products/NIKE-%E8%80%90%E5%90%89-%E7%94%B7%E6%AC%BEDRY-FIT%E6%A8%99%E6%BA%96%E7%89%88%E5%9E%8BHood-T%E6%81%A4-21006522089055?itemId=21021248202528&vendorItemId=21088308757793&sourceType=search&rank=6&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
BASE ALPHA ESSENTIALS 男款棉質背心 5件,$408,https://www.tw.coupang.com/products/BASE-ALPHA-ESSENTIALS-%E7%94%B7%E6%AC%BE%E6%A3%89%E8%B3%AA%E8%83%8C%E5%BF%83-5%E4%BB%B6-154069201027076?itemId=154069201027074&vendorItemId=154069201027072&sourceType=search&rank=7&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
NIKE 男款 SWOOSH FIRST LAYER 長袖 T恤,$492,https://www.tw.coupang.com/products/NIKE-%E7%94%B7%E6%AC%BE-SWOOSH-FIRST-LAYER-%E9%95%B7%E8%A2%96-T%E6%81%A4-21007835259608?itemId=21021316596583&vendorItemId=21088376046255&sourceType=search&rank=8&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
NIKE 耐吉 男款 短袖防曬衣 NESSE512,$857,https://www.tw.coupang.com/products/NIKE-%E8%80%90%E5%90%89-%E7%94%B7%E6%AC%BE-%E7%9F%AD%E8%A2%96%E9%98%B2%E6%9B%AC%E8%A1%A3-NESSE512-470392753815558?itemId=470392766431245&vendorItemId=470392766431239&sourceType=search&rank=9&searchId=c4a2ace7ff44457597635ad66d6d876d&q=nike%20%E4%B8%8A%E8%A1%A3%20%E7%94%B7
