product_name,product_price,product_url
"Betty Nardi 檸檬香茅茶包, 1g, 20個, 1盒",$181,https://www.tw.coupang.com/products/Betty-Nardi-%E6%AA%B8%E6%AA%AC%E9%A6%99%E8%8C%85%E8%8C%B6%E5%8C%85-21000000760359?itemId=21000002913348&vendorItemId=21003003271177&sourceType=search&rank=&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"ASKMii 艾司迷 ANC主動降噪真無線藍牙耳機 45.6g, GB-2 Pro, 黑色",$911,https://www.tw.coupang.com/products/ASKMii-%E8%89%BE%E5%8F%B8%E8%BF%B7-ANC%E4%B8%BB%E5%8B%95%E9%99%8D%E5%99%AA%E7%9C%9F%E7%84%A1%E7%B7%9A%E8%97%8D%E7%89%99%E8%80%B3%E6%A9%9F-45.6g-466857760866306?itemId=466857760882689&vendorItemId=466857760899073&sourceType=search&rank=1&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"Celebrat TYPE C 耳塞式可通話耳機, E500, 白色, 1個",$304,https://www.tw.coupang.com/products/Celebrat-TYPE-C-%E8%80%B3%E5%A1%9E%E5%BC%8F%E5%8F%AF%E9%80%9A%E8%A9%B1%E8%80%B3%E6%A9%9F-463956112031748?itemId=463956111998978&vendorItemId=463956112031746&sourceType=search&rank=2&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"阿什拉貓耳藍芽RGB耳麥, 黑色, 1個",$699,https://www.tw.coupang.com/products/%E9%98%BF%E4%BB%80%E6%8B%89%E8%B2%93%E8%80%B3%E8%97%8D%E8%8A%BDRGB%E8%80%B3%E9%BA%A5-468604566847494?itemId=468604566863881&vendorItemId=468604566847492&sourceType=search&rank=3&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"MONSTER 炫彩真無線藍牙耳機, XKT08, 橘色, 1個",$841,https://www.tw.coupang.com/products/MONSTER-%E7%82%AB%E5%BD%A9%E7%9C%9F%E7%84%A1%E7%B7%9A%E8%97%8D%E7%89%99%E8%80%B3%E6%A9%9F-466437839716352?itemId=466437839732736&vendorItemId=466437835554826&sourceType=search&rank=4&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"RONEVER 超輕巧藍牙耳機, 黑色",$542,https://www.tw.coupang.com/products/RONEVER-%E8%B6%85%E8%BC%95%E5%B7%A7%E8%97%8D%E7%89%99%E8%80%B3%E6%A9%9F-466116388274183?itemId=466116371480577&vendorItemId=466116367319043&sourceType=search&rank=5&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"EarFun 真無線藍牙耳機, Air 2, 黑色, 1盒","$1,580",https://www.tw.coupang.com/products/EarFun-%E7%9C%9F%E7%84%A1%E7%B7%9A%E8%97%8D%E7%89%99%E8%80%B3%E6%A9%9F-467846534496264?itemId=467846534496265&vendorItemId=467846534463494&sourceType=search&rank=6&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"iSee Airduos Lite Pro真無線藍芽耳機, 冰島白, 1盒",$866,https://www.tw.coupang.com/products/iSee-Airduos-Lite-Pro%E7%9C%9F%E7%84%A1%E7%B7%9A%E8%97%8D%E8%8A%BD%E8%80%B3%E6%A9%9F-463956099416076?itemId=463956099432461&vendorItemId=463956099448845&sourceType=search&rank=7&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"RONEVER 咖啡杯無線藍牙耳機 60 x 48 x 48mm, MOE331, 綠色",$459,https://www.tw.coupang.com/products/RONEVER-%E5%92%96%E5%95%A1%E6%9D%AF%E7%84%A1%E7%B7%9A%E8%97%8D%E7%89%99%E8%80%B3%E6%A9%9F-60-x-48-x-48mm-466116375691272?itemId=466116375691273&vendorItemId=466116375724036&sourceType=search&rank=8&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"Soundcore 藍牙耳機 A3959, R50i NC, 粉色, 1盒","$1,571",https://www.tw.coupang.com/products/Soundcore-%E8%97%8D%E7%89%99%E8%80%B3%E6%A9%9F-A3959-473339277590531?itemId=473339277557764&vendorItemId=473339277541376&sourceType=search&rank=9&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"High Tea 女兒紅茶, 2.5g, 12入, 1袋",$99,https://www.tw.coupang.com/products/High-Tea-%E5%A5%B3%E5%85%92%E7%B4%85%E8%8C%B6-200010704568343?itemId=162465883078658&vendorItemId=162465883078656&sourceType=search&rank=10&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
TIRR LIRR 女士 14K 編織茶耳環 TEJK4P00008M,"$5,036",https://www.tw.coupang.com/products/TIRR-LIRR-%E5%A5%B3%E5%A3%AB-14K-%E7%B7%A8%E7%B9%94%E8%8C%B6%E8%80%B3%E7%92%B0-TEJK4P00008M-21006942816360?itemId=21016841460214&vendorItemId=21084020681306&sourceType=search&rank=11&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"No Brand 檸檬紅茶, 14g, 120包, 1袋",$740,https://www.tw.coupang.com/products/No-Brand-%E6%AA%B8%E6%AA%AC%E7%B4%85%E8%8C%B6-460278881812480?itemId=460278881796096&vendorItemId=460278877618177&sourceType=search&rank=12&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"soundcore R50i 藍牙耳機, A3949, 白色",$877,https://www.tw.coupang.com/products/soundcore-R50i-%E8%97%8D%E7%89%99%E8%80%B3%E6%A9%9F-463956116176899?itemId=463956107804679&vendorItemId=463956107788292&sourceType=search&rank=13&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"SEEHOT 嘻哈部落 Airduos 3 真無線藍牙耳機 38g, 冰島白, 1盒",$809,https://www.tw.coupang.com/products/SEEHOT-%E5%98%BB%E5%93%88%E9%83%A8%E8%90%BD-Airduos-3-%E7%9C%9F%E7%84%A1%E7%B7%9A%E8%97%8D%E7%89%99%E8%80%B3%E6%A9%9F-38g-463956112015360?itemId=463956112031745&vendorItemId=463956107821059&sourceType=search&rank=14&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"iSee BT5.3 Airduos Lite Pro 真無線耳機, 極光灰, 1個",$759,https://www.tw.coupang.com/products/iSee-BT5.3-Airduos-Lite-Pro-%E7%9C%9F%E7%84%A1%E7%B7%9A%E8%80%B3%E6%A9%9F-463956099399686?itemId=463956099448842&vendorItemId=463956099432452&sourceType=search&rank=15&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"Ktnet BSD500 TWS真無線ENC降噪藍牙雙耳機, 黑色, 1盒",$662,https://www.tw.coupang.com/products/Ktnet-BSD500-TWS%E7%9C%9F%E7%84%A1%E7%B7%9AENC%E9%99%8D%E5%99%AA%E8%97%8D%E7%89%99%E9%9B%99%E8%80%B3%E6%A9%9F-473288027373571?itemId=473288027373572&vendorItemId=473288027373570&sourceType=search&rank=16&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
"Nstyle 超級音符19 真無線藍芽耳機, 粉色, 1個",$539,https://www.tw.coupang.com/products/Nstyle-%E8%B6%85%E7%B4%9A%E9%9F%B3%E7%AC%A619-%E7%9C%9F%E7%84%A1%E7%B7%9A%E8%97%8D%E8%8A%BD%E8%80%B3%E6%A9%9F-468604512305161?itemId=468604512305162&vendorItemId=468604512321542&sourceType=search&rank=17&searchId=650fd37f1272409c978984bc486f8b4f&q=nothing%20ear
