product_name,product_price,product_url
"YADI 水之鏡 AGC全滿版手機玻璃保護貼, 1盒",$133,https://www.tw.coupang.com/products/YADI-%E6%B0%B4%E4%B9%8B%E9%8F%A1-AGC%E5%85%A8%E6%BB%BF%E7%89%88%E6%89%8B%E6%A9%9F%E7%8E%BB%E7%92%83%E4%BF%9D%E8%AD%B7%E8%B2%BC-467903300190215?itemId=467903300222983&vendorItemId=467903300222982&sourceType=search&rank=&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
"HODA 好貼 藍寶石鏡頭保護貼, 1盒",$487,https://www.tw.coupang.com/products/HODA-%E5%A5%BD%E8%B2%BC-%E8%97%8D%E5%AF%B6%E7%9F%B3%E9%8F%A1%E9%A0%AD%E4%BF%9D%E8%AD%B7%E8%B2%BC-467904856293379?itemId=467904856276997&vendorItemId=467904856309761&sourceType=search&rank=1&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
HODA 好貼 晶石軍規防摔殼,$718,https://www.tw.coupang.com/products/HODA-%E5%A5%BD%E8%B2%BC-%E6%99%B6%E7%9F%B3%E8%BB%8D%E8%A6%8F%E9%98%B2%E6%91%94%E6%AE%BC-467904801734665?itemId=467904843677699&vendorItemId=467904843677697&sourceType=search&rank=2&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
"YADI 水之鏡 AGC全滿版手機玻璃保護貼 6 6.4吋 2021專用, 1盒",$133,https://www.tw.coupang.com/products/YADI-%E6%B0%B4%E4%B9%8B%E9%8F%A1-AGC%E5%85%A8%E6%BB%BF%E7%89%88%E6%89%8B%E6%A9%9F%E7%8E%BB%E7%92%83%E4%BF%9D%E8%AD%B7%E8%B2%BC-6-6.4%E5%90%8B-2021%E5%B0%88%E7%94%A8-467903195332608?itemId=467903195316225&vendorItemId=467903191138310&sourceType=search&rank=3&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
"HODA 好貼 2.5D滿版黑玻璃貼, 1個",$476,https://www.tw.coupang.com/products/HODA-%E5%A5%BD%E8%B2%BC-2.5D%E6%BB%BF%E7%89%88%E9%BB%91%E7%8E%BB%E7%92%83%E8%B2%BC-467904923369475?itemId=467904923385862&vendorItemId=467904923385858&sourceType=search&rank=4&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
"BODY PIXEL Isacium Plus 粉末, 6罐, 60g","$4,399",https://www.tw.coupang.com/products/BODY-PIXEL-Isacium-Plus-%E7%B2%89%E6%9C%AB-21008085896505?itemId=21022817436920&vendorItemId=21090791405401&sourceType=search&rank=5&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
"BODY PIXEL 腦蛋白最大, 6個, 60g","$4,443",https://www.tw.coupang.com/products/BODY-PIXEL-%E8%85%A6%E8%9B%8B%E7%99%BD%E6%9C%80%E5%A4%A7-21008203536224?itemId=21021841356973&vendorItemId=21090663394505&sourceType=search&rank=6&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
"BODY PIXEL 護理下裝 Pro, 6罐, 60g","$4,555",https://www.tw.coupang.com/products/BODY-PIXEL-%E8%AD%B7%E7%90%86%E4%B8%8B%E8%A3%9D-Pro-21007994821776?itemId=21022233607419&vendorItemId=21090622908405&sourceType=search&rank=7&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
Pixel Friends 可愛的滑蓋式保險槓手機殼,$406,https://www.tw.coupang.com/products/Pixel-Friends-%E5%8F%AF%E6%84%9B%E7%9A%84%E6%BB%91%E8%93%8B%E5%BC%8F%E4%BF%9D%E9%9A%AA%E6%A7%93%E6%89%8B%E6%A9%9F%E6%AE%BC-21000105191181?itemId=21000318854001&vendorItemId=21003782346706&sourceType=search&rank=8&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
10X10 PIXEL FRIENDS雙層防護手機殼,$550,https://www.tw.coupang.com/products/10X10-PIXEL-FRIENDS%E9%9B%99%E5%B1%A4%E9%98%B2%E8%AD%B7%E6%89%8B%E6%A9%9F%E6%AE%BC-21000088396376?itemId=21000276712916&vendorItemId=21003671453253&sourceType=search&rank=9&searchId=8f0c4489c37042bea871d2c226de3e50&q=pixel%206
