product_name,product_price,product_url
卡片收納透明果凍手機殼,$96,https://www.tw.coupang.com/products/%E5%8D%A1%E7%89%87%E6%94%B6%E7%B4%8D%E9%80%8F%E6%98%8E%E6%9E%9C%E5%87%8D%E6%89%8B%E6%A9%9F%E6%AE%BC-21006346203861?itemId=21013335484542&vendorItemId=21080590973050&sourceType=search&rank=&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
YOGER Galaxy Mirror Mirror Bumper Jelly Case,$79,https://www.tw.coupang.com/products/YOGER-Galaxy-Mirror-Mirror-Bumper-Jelly-Case-21007646454791?itemId=21003985817809&vendorItemId=21074037930852&sourceType=search&rank=1&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
RORENTECH 輕薄編織格紋手機殼,$128,https://www.tw.coupang.com/products/RORENTECH-%E8%BC%95%E8%96%84%E7%B7%A8%E7%B9%94%E6%A0%BC%E7%B4%8B%E6%89%8B%E6%A9%9F%E6%AE%BC-21001349922064?itemId=21002742474153&vendorItemId=21070799945727&sourceType=search&rank=2&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
Gojibe Posh Inclusive 光面磁性支架手機殼,$157,https://www.tw.coupang.com/products/Gojibe-Posh-Inclusive-%E5%85%89%E9%9D%A2%E7%A3%81%E6%80%A7%E6%94%AF%E6%9E%B6%E6%89%8B%E6%A9%9F%E6%AE%BC-21006344719639?itemId=21016240677050&vendorItemId=21080581680888&sourceType=search&rank=3&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
YOGER Galaxy S21 Classic卡夾式手機殼,$137,https://www.tw.coupang.com/products/YOGER-Galaxy-S21-Classic%E5%8D%A1%E5%A4%BE%E5%BC%8F%E6%89%8B%E6%A9%9F%E6%AE%BC-21001999861705?itemId=21004071838254&vendorItemId=21080428078504&sourceType=search&rank=4&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
Galaxy S20FE Nixo 拉鍊錢包保護套 (SM-G781N),$328,https://www.tw.coupang.com/products/Galaxy-S20FE-Nixo-%E6%8B%89%E9%8D%8A%E9%8C%A2%E5%8C%85%E4%BF%9D%E8%AD%B7%E5%A5%97-(SM-G781N)-21000132085495?itemId=21006582445425&vendorItemId=21073876414907&sourceType=search&rank=5&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
IDEAR氣墊混合緩衝手機殼 2入,$126,https://www.tw.coupang.com/products/IDEAR%E6%B0%A3%E5%A2%8A%E6%B7%B7%E5%90%88%E7%B7%A9%E8%A1%9D%E6%89%8B%E6%A9%9F%E6%AE%BC-2%E5%85%A5-21002352158036?itemId=21004080474023&vendorItemId=21072064490716&sourceType=search&rank=6&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
磁吸式手機保護殼,$403,https://www.tw.coupang.com/products/%E7%A3%81%E5%90%B8%E5%BC%8F%E6%89%8B%E6%A9%9F%E4%BF%9D%E8%AD%B7%E6%AE%BC-21006143058184?itemId=21011800342816&vendorItemId=21079073920132&sourceType=search&rank=7&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
Saltz 矽膠簡約彩色手機殼,$145,https://www.tw.coupang.com/products/Saltz-%E7%9F%BD%E8%86%A0%E7%B0%A1%E7%B4%84%E5%BD%A9%E8%89%B2%E6%89%8B%E6%A9%9F%E6%AE%BC-21001370647367?itemId=21018034452087&vendorItemId=21085189012268&sourceType=search&rank=8&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
"hoda 藍寶石鏡頭保護貼, 1盒",$570,https://www.tw.coupang.com/products/hoda-%E8%97%8D%E5%AF%B6%E7%9F%B3%E9%8F%A1%E9%A0%AD%E4%BF%9D%E8%AD%B7%E8%B2%BC-467904889847821?itemId=467904889864203&vendorItemId=467904889831428&sourceType=search&rank=9&searchId=5905cefe80a44045a3ff58cf264325fa&q=samsung%20galaxy%20s20%20
