product_name,product_price,product_url
"summer's eve 賦活美學浴潔露 甜美香氛, 237ml, 1瓶",$329,https://www.tw.coupang.com/products/summer's-eve-%E8%B3%A6%E6%B4%BB%E7%BE%8E%E5%AD%B8%E6%B5%B4%E6%BD%94%E9%9C%B2-%E7%94%9C%E7%BE%8E%E9%A6%99%E6%B0%9B-285632001720330?itemId=285632970588167&vendorItemId=285630940528646&sourceType=search&rank=&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
"summer's eve 賦活美學浴潔露 全肌防護, 237ml, 3瓶",$969,https://www.tw.coupang.com/products/summer's-eve-%E8%B3%A6%E6%B4%BB%E7%BE%8E%E5%AD%B8%E6%B5%B4%E6%BD%94%E9%9C%B2-%E5%85%A8%E8%82%8C%E9%98%B2%E8%AD%B7-285632970588169?itemId=359991693262851&vendorItemId=359991693213698&sourceType=search&rank=1&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
"summer's eve 賦活美學浴潔露, 237ml, 3瓶","$1,029",https://www.tw.coupang.com/products/summer's-eve-%E8%B3%A6%E6%B4%BB%E7%BE%8E%E5%AD%B8%E6%B5%B4%E6%BD%94%E9%9C%B2-313903196110862?itemId=253747536019457&vendorItemId=253749352169472&sourceType=search&rank=2&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
女款夏季閃亮立方寶石拖鞋 BL-D02,$380,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E5%A4%8F%E5%AD%A3%E9%96%83%E4%BA%AE%E7%AB%8B%E6%96%B9%E5%AF%B6%E7%9F%B3%E6%8B%96%E9%9E%8B-BL-D02-21008159124512?itemId=21023255063675&vendorItemId=21090287458771&sourceType=search&rank=3&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
"COCODOR 珂珂朵爾 Holiday 夏季系列 擴香瓶, 海藍寶石, 200ml, 1組",$370,https://www.tw.coupang.com/products/COCODOR-%E7%8F%82%E7%8F%82%E6%9C%B5%E7%88%BE-Holiday-%E5%A4%8F%E5%AD%A3%E7%B3%BB%E5%88%97-%E6%93%B4%E9%A6%99%E7%93%B6-174044431237133?itemId=174044431237134&vendorItemId=174043919499273&sourceType=search&rank=4&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
Via Wages女款雛菊花一觸式夏季耳環,$241,https://www.tw.coupang.com/products/Via-Wages%E5%A5%B3%E6%AC%BE%E9%9B%9B%E8%8F%8A%E8%8A%B1%E4%B8%80%E8%A7%B8%E5%BC%8F%E5%A4%8F%E5%AD%A3%E8%80%B3%E7%92%B0-21007375375645?itemId=21019034924360&vendorItemId=21090071851736&sourceType=search&rank=5&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
NOID-B 鋼製簡約腳鏈,$381,https://www.tw.coupang.com/products/NOID-B-%E9%8B%BC%E8%A3%BD%E7%B0%A1%E7%B4%84%E8%85%B3%E9%8F%88-21005597467574?itemId=21009003962968&vendorItemId=21086850537443&sourceType=search&rank=6&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
女款半領氨綸彈性半極短袖T恤,$312,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E5%8D%8A%E9%A0%98%E6%B0%A8%E7%B6%B8%E5%BD%88%E6%80%A7%E5%8D%8A%E6%A5%B5%E7%9F%AD%E8%A2%96T%E6%81%A4-21007934795900?itemId=21021839259304&vendorItemId=21088887643847&sourceType=search&rank=7&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
"DL Cree 中性珠寶印花 17 號短袖 T恤, 寶藍色",$465,https://www.tw.coupang.com/products/DL-Cree-%E4%B8%AD%E6%80%A7%E7%8F%A0%E5%AF%B6%E5%8D%B0%E8%8A%B1-17-%E8%99%9F%E7%9F%AD%E8%A2%96-T%E6%81%A4-21006342064422?itemId=21013309938585&vendorItemId=21080566436865&sourceType=search&rank=8&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
Shoveoff 銀92.5友誼戒指SVR-615+鏈環套組,$748,https://www.tw.coupang.com/products/Shoveoff-%E9%8A%8092.5%E5%8F%8B%E8%AA%BC%E6%88%92%E6%8C%87SVR-615%2B%E9%8F%88%E7%92%B0%E5%A5%97%E7%B5%84-21006801497959?itemId=21016056041097&vendorItemId=21083259480692&sourceType=search&rank=9&searchId=1fd4d119870d4249998ac10e703ef2a9&q=summer%E5%AF%B6%E7%9F%B3
