product_name,product_price,product_url
"JUPAZIP Type C多合一6IN1 USB HDMI PD C埠集線器 HUB602, 1個, 集線器602",$554,https://www.tw.coupang.com/products/JUPAZIP-Type-C%E5%A4%9A%E5%90%88%E4%B8%806IN1-USB-HDMI-PD-C%E5%9F%A0%E9%9B%86%E7%B7%9A%E5%99%A8-HUB602-21007413327191?itemId=21019213426421&vendorItemId=21088255682504&sourceType=search&rank=&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
"創見 HUB2C Type C 4 Port USB HUB 集線器, 黑色, 1個",$490,https://www.tw.coupang.com/products/%E5%89%B5%E8%A6%8B-HUB2C-Type-C-4-Port-USB-HUB-%E9%9B%86%E7%B7%9A%E5%99%A8-468573784866821?itemId=468573784850435&vendorItemId=468573784866820&sourceType=search&rank=1&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
"NEXT USB3.0 TypeC 5合1集線器 -9721TC, 混色",$325,https://www.tw.coupang.com/products/NEXT-USB3.0-TypeC-5%E5%90%881%E9%9B%86%E7%B7%9A%E5%99%A8--9721TC-21001515761208?itemId=21002601501775&vendorItemId=21070592678310&sourceType=search&rank=2&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
"actto 4端口type-c USB3.2多合一多集線器 HUB-43, 灰色的",$264,https://www.tw.coupang.com/products/actto-4%E7%AB%AF%E5%8F%A3type-c-USB3.2%E5%A4%9A%E5%90%88%E4%B8%80%E5%A4%9A%E9%9B%86%E7%B7%9A%E5%99%A8-HUB-43-21005612698830?itemId=21009074630545&vendorItemId=21076890437414&sourceType=search&rank=3&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
"UNiCORN USB A+TYPE-C轉接頭USB 3.0 Hub轉接線集線器, TH-500CR, 混合顏色",$275,https://www.tw.coupang.com/products/UNiCORN-USB-A%2BTYPE-C%E8%BD%89%E6%8E%A5%E9%A0%ADUSB-3.0-Hub%E8%BD%89%E6%8E%A5%E7%B7%9A%E9%9B%86%E7%B7%9A%E5%99%A8-21006708817259?itemId=21015567202669&vendorItemId=21082786308026&sourceType=search&rank=4&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
"KINYO 迷你3孔集線器 Type-C轉接 HUB-31C 2.4 x 5.5cm, 綠色, 1個",$121,https://www.tw.coupang.com/products/KINYO-%E8%BF%B7%E4%BD%A03%E5%AD%94%E9%9B%86%E7%B7%9A%E5%99%A8-Type-C%E8%BD%89%E6%8E%A5-HUB-31C-2.4-x-5.5cm-467854323302407?itemId=467854323335177&vendorItemId=467854323286022&sourceType=search&rank=5&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
"E-books T49 Type-C 三合一讀卡機 USB3.2 HUB, 1個",$299,https://www.tw.coupang.com/products/E-books-T49-Type-C-%E4%B8%89%E5%90%88%E4%B8%80%E8%AE%80%E5%8D%A1%E6%A9%9F-USB3.2-HUB-466431787352064?itemId=466431787368449&vendorItemId=466431783141388&sourceType=search&rank=6&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
"UniSync USB3.1/Type-C轉RJ45/3埠USB Hub高速擴充轉接器, 白色",$290,https://www.tw.coupang.com/products/UniSync-USB3.1%2FType-C%E8%BD%89RJ45%2F3%E5%9F%A0USB-Hub%E9%AB%98%E9%80%9F%E6%93%B4%E5%85%85%E8%BD%89%E6%8E%A5%E5%99%A8-423324433760256?itemId=423324433727489&vendorItemId=423324433743872&sourceType=search&rank=7&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
"Home Planet 7口USB 3.0/HDMI集線器 Dex, 單色",$514,https://www.tw.coupang.com/products/Home-Planet-7%E5%8F%A3USB-3.0%2FHDMI%E9%9B%86%E7%B7%9A%E5%99%A8-Dex-21005122557217?itemId=21007003577739&vendorItemId=21074295845518&sourceType=search&rank=8&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
"RASTO RH8 USB3.2省電開關四孔HUB Type C接頭, R-PCD008, 1組",$285,https://www.tw.coupang.com/products/RASTO-RH8-USB3.2%E7%9C%81%E9%9B%BB%E9%96%8B%E9%97%9C%E5%9B%9B%E5%AD%94HUB-Type-C%E6%8E%A5%E9%A0%AD-466431783141384?itemId=466431783174155&vendorItemId=466431783141379&sourceType=search&rank=9&searchId=532f2c212d0d440db77a19795c5814a5&q=type%20c%20hub
