product_name,product_price,product_url
Under Armour 安德瑪 男款UA Run圖案印花Phil短袖T恤 1365696-010,$445,https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E7%94%B7%E6%AC%BEUA-Run%E5%9C%96%E6%A1%88%E5%8D%B0%E8%8A%B1Phil%E7%9F%AD%E8%A2%96T%E6%81%A4-1365696-010-21007232574593?itemId=21018356159004&vendorItemId=21085500006461&sourceType=search&rank=&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
"Under Armour 安德瑪 男女通用Project Rock Bra背包 1364188-100, 混色",$957,https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E7%94%B7%E5%A5%B3%E9%80%9A%E7%94%A8Project-Rock-Bra%E8%83%8C%E5%8C%85-1364188-100-21006695781227?itemId=21015489832402&vendorItemId=21088855460868&sourceType=search&rank=1&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
Under Armour 安德瑪 男款UA Armor Terry連帽T 1366259-279,"$2,148",https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E7%94%B7%E6%AC%BEUA-Armor-Terry%E9%80%A3%E5%B8%BDT-1366259-279-21006959609599?itemId=21020713771592&vendorItemId=21087784720517&sourceType=search&rank=2&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
Under Armour 安德瑪 男款Project Rock Respect短袖 1373744-001,$676,https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E7%94%B7%E6%AC%BEProject-Rock-Respect%E7%9F%AD%E8%A2%96-1373744-001-21008166539231?itemId=21023304474815&vendorItemId=21090336506084&sourceType=search&rank=3&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
Under Armour 安德瑪 女款 UA Rival 抓絨全拉鍊連帽衫 1356400,$881,https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E5%A5%B3%E6%AC%BE-UA-Rival-%E6%8A%93%E7%B5%A8%E5%85%A8%E6%8B%89%E9%8D%8A%E9%80%A3%E5%B8%BD%E8%A1%AB-1356400-21007764681708?itemId=21020946995796&vendorItemId=21090303537204&sourceType=search&rank=4&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
Under Armour 安德瑪 女款 UA Rival 抓絨超大圓領T恤 1369423-001,$631,https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E5%A5%B3%E6%AC%BE-UA-Rival-%E6%8A%93%E7%B5%A8%E8%B6%85%E5%A4%A7%E5%9C%93%E9%A0%98T%E6%81%A4-1369423-001-21008296292663?itemId=21023929223886&vendorItemId=21090951337436&sourceType=search&rank=5&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
Under Armour 安德瑪 女款UA Rival絨毛Logo連帽T恤 1356318-035,$614,https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E5%A5%B3%E6%AC%BEUA-Rival%E7%B5%A8%E6%AF%9BLogo%E9%80%A3%E5%B8%BDT%E6%81%A4-1356318-035-21006779244165?itemId=21015936620107&vendorItemId=21086983743529&sourceType=search&rank=6&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
Under Armour 安德瑪 女款 UA Essential 抓絨寬鬆圓領運動衫 1379475-012,"$1,372",https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E5%A5%B3%E6%AC%BE-UA-Essential-%E6%8A%93%E7%B5%A8%E5%AF%AC%E9%AC%86%E5%9C%93%E9%A0%98%E9%81%8B%E5%8B%95%E8%A1%AB-1379475-012-21008302092838?itemId=21023929223854&vendorItemId=21090951337434&sourceType=search&rank=7&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
Under Armour 安德瑪 男款UA Run圖案印花Phil短袖T恤 1365696-002,$463,https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E7%94%B7%E6%AC%BEUA-Run%E5%9C%96%E6%A1%88%E5%8D%B0%E8%8A%B1Phil%E7%9F%AD%E8%A2%96T%E6%81%A4-1365696-002-21007232574576?itemId=21018356158943&vendorItemId=21085500006469&sourceType=search&rank=8&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
Under Armour 安德瑪 女式 UA Polartec Maxx 全拉鍊外套 1373291-781,"$1,037",https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E5%A5%B3%E5%BC%8F-UA-Polartec-Maxx-%E5%85%A8%E6%8B%89%E9%8D%8A%E5%A4%96%E5%A5%97-1373291-781-21008161764202?itemId=21023271207365&vendorItemId=21090303536567&sourceType=search&rank=9&searchId=75458573c5f649499ddd6b22aec6f450&q=under%20armour
