product_name,product_price,product_url
"Nature Living 踏板按壓兩用垃圾桶, 灰色",$292,https://www.tw.coupang.com/products/Nature-Living-%E8%B8%8F%E6%9D%BF%E6%8C%89%E5%A3%93%E5%85%A9%E7%94%A8%E5%9E%83%E5%9C%BE%E6%A1%B6-158383554396162?itemId=158382728101892&vendorItemId=158383554396160&sourceType=search&rank=&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
"FAmILyLIFE 生活 10L簡約風彈蓋垃圾桶, 灰色",$159,https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-10L%E7%B0%A1%E7%B4%84%E9%A2%A8%E5%BD%88%E8%93%8B%E5%9E%83%E5%9C%BE%E6%A1%B6-455216277209092?itemId=455216277192708&vendorItemId=455216277176321&sourceType=search&rank=1&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
"Kinyo 智慧感應垃圾桶 EGC-1245 16L, 白色",$409,https://www.tw.coupang.com/products/Kinyo-%E6%99%BA%E6%85%A7%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6-EGC-1245-16L-458746908049411?itemId=458746908065796&vendorItemId=458746908082177&sourceType=search&rank=2&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
"現代風感應式垃圾桶, 霧藍色, 16L, 1個",$509,https://www.tw.coupang.com/products/%E7%8F%BE%E4%BB%A3%E9%A2%A8%E6%84%9F%E6%87%89%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-155891991003138?itemId=155892397883397&vendorItemId=155892792131586&sourceType=search&rank=3&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
"西格傢飾 現代風感應式垃圾桶, 灰白色",$509,https://www.tw.coupang.com/products/%E8%A5%BF%E6%A0%BC%E5%82%A2%E9%A3%BE-%E7%8F%BE%E4%BB%A3%E9%A2%A8%E6%84%9F%E6%87%89%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-155892792131590?itemId=155891991003141&vendorItemId=155892792131588&sourceType=search&rank=4&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
"UMEE 除臭尿布桶, 象牙白, 10L","$1,175",https://www.tw.coupang.com/products/UMEE-%E9%99%A4%E8%87%AD%E5%B0%BF%E5%B8%83%E6%A1%B6-170041517522946?itemId=170041983074305&vendorItemId=170041517522944&sourceType=search&rank=5&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
"UMEE 除臭尿布桶, 淡藍色, 10L","$1,237",https://www.tw.coupang.com/products/UMEE-%E9%99%A4%E8%87%AD%E5%B0%BF%E5%B8%83%E6%A1%B6-170041995657216?itemId=170041995657217&vendorItemId=170041534300160&sourceType=search&rank=6&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
"UMEE 除臭尿布桶, 黑金限定版, 10L","$1,406",https://www.tw.coupang.com/products/UMEE-%E9%99%A4%E8%87%AD%E5%B0%BF%E5%B8%83%E6%A1%B6-170041425248256?itemId=170041886605313&vendorItemId=170041886605312&sourceType=search&rank=7&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
"不鏽鋼腳踏式垃圾桶 20L, 銀色",$615,https://www.tw.coupang.com/products/%E4%B8%8D%E9%8F%BD%E9%8B%BC%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-20L-158382614855709?itemId=158382614855711&vendorItemId=158383038513171&sourceType=search&rank=8&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
"comet 廚餘回收桶 4.8L, 灰色, 1個",$284,https://www.tw.coupang.com/products/comet-%E5%BB%9A%E9%A4%98%E5%9B%9E%E6%94%B6%E6%A1%B6-4.8L-158453326659589?itemId=158453733490693&vendorItemId=158453326659586&sourceType=search&rank=9&searchId=4588ea61adf9440a9b6515e62fe24e4b&q=%E3%80%8B%E5%B7%B4%E5%B8%83%E8%B6%85%E5%A4%A7%E5%AE%B9%E9%87%8F%E8%85%B3%E8%B8%8F%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B680l
