product_name,product_price,product_url
"SUN FRIEND 上友 北海道干貝, 90g, 3袋",$897,https://www.tw.coupang.com/products/SUN-FRIEND-%E4%B8%8A%E5%8F%8B-%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D-156994799370243?itemId=392923585675265&vendorItemId=392923581480963&sourceType=search&rank=&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"SUN FRIEND 上友 北海道干貝 辣, 90g, 2包",$650,https://www.tw.coupang.com/products/SUN-FRIEND-%E4%B8%8A%E5%8F%8B-%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D-%E8%BE%A3-149379092545537?itemId=199342681997332&vendorItemId=199343277572107&sourceType=search&rank=1&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"SUN FRIEND 上友 北海道干貝, 90g, 4袋","$1,196",https://www.tw.coupang.com/products/SUN-FRIEND-%E4%B8%8A%E5%8F%8B-%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D-156994799370243?itemId=392923585691652&vendorItemId=392923581480965&sourceType=search&rank=2&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"SUN FRIEND 上友 北海道干貝 辣, 90g, 1袋",$325,https://www.tw.coupang.com/products/SUN-FRIEND-%E4%B8%8A%E5%8F%8B-%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D-%E8%BE%A3-149379092545537?itemId=149378354331671&vendorItemId=149379088351244&sourceType=search&rank=3&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"SUN FRIEND 上友 北海道干貝, 90g, 2袋",$598,https://www.tw.coupang.com/products/SUN-FRIEND-%E4%B8%8A%E5%8F%8B-%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D-156994799370243?itemId=199671641260043&vendorItemId=199672241029120&sourceType=search&rank=4&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"一榮 和顏愛味 帆立貝, 90g, 3袋","$1,035",https://www.tw.coupang.com/products/%E4%B8%80%E6%A6%AE-%E5%92%8C%E9%A1%8F%E6%84%9B%E5%91%B3-%E5%B8%86%E7%AB%8B%E8%B2%9D-149378727657477?itemId=391094290333707&vendorItemId=391094290317320&sourceType=search&rank=5&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"SUN FRIEND 上友 北海道干貝, 90g, 1袋",$299,https://www.tw.coupang.com/products/SUN-FRIEND-%E4%B8%8A%E5%8F%8B-%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D-156994799370243?itemId=156994400927747&vendorItemId=156993985658882&sourceType=search&rank=6&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"SUN FRIEND 上友 北海道干貝 辣, 90g, 3袋",$975,https://www.tw.coupang.com/products/SUN-FRIEND-%E4%B8%8A%E5%8F%8B-%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D-%E8%BE%A3-149379092545537?itemId=396907914412034&vendorItemId=396907914444801&sourceType=search&rank=7&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"真夯北海道干貝燒 10顆, 100g, 2盒","$1,544",https://www.tw.coupang.com/products/%E7%9C%9F%E5%A4%AF%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D%E7%87%92-10%E9%A1%86-156271734898688?itemId=395804023930896&vendorItemId=395804023914514&sourceType=search&rank=8&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"SUN FRIEND 上友 北海道干貝 辣, 90g, 4袋","$1,100",https://www.tw.coupang.com/products/SUN-FRIEND-%E4%B8%8A%E5%8F%8B-%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D-%E8%BE%A3-149379092545537?itemId=396907662786563&vendorItemId=396907662770177&sourceType=search&rank=9&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"一榮 和顏愛味 帆立貝, 90g, 1袋",$345,https://www.tw.coupang.com/products/%E4%B8%80%E6%A6%AE-%E5%92%8C%E9%A1%8F%E6%84%9B%E5%91%B3-%E5%B8%86%E7%AB%8B%E8%B2%9D-149378727657477?itemId=149378727657478&vendorItemId=149378727657473&sourceType=search&rank=10&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"HANXUAN 真夯 北海道干貝燒 15顆, 150g, 1盒","$1,038",https://www.tw.coupang.com/products/HANXUAN-%E7%9C%9F%E5%A4%AF-%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D%E7%87%92-15%E9%A1%86-156272145973249?itemId=156272540221441&vendorItemId=156272145973248&sourceType=search&rank=11&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
"真夯北海道干貝燒 10顆, 100g, 1盒",$772,https://www.tw.coupang.com/products/%E7%9C%9F%E5%A4%AF%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D%E7%87%92-10%E9%A1%86-156271734898688?itemId=156272540221442&vendorItemId=156272540221440&sourceType=search&rank=12&searchId=e3a1875e10224a27b4913424d3b3429c&q=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B2%E8%B2%9D
