product_name,product_price,product_url
"MOCCA 摩卡 三合一白咖啡, 36g, 15條, 1袋",$144,https://www.tw.coupang.com/products/MOCCA-%E6%91%A9%E5%8D%A1-%E4%B8%89%E5%90%88%E4%B8%80%E7%99%BD%E5%92%96%E5%95%A1-430255697248256?itemId=430255697264642&vendorItemId=430255697231873&sourceType=search&rank=&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"ucc 114即溶咖啡, 90g, 1罐",$99,https://www.tw.coupang.com/products/ucc-114%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-171123153010697?itemId=171122188304395&vendorItemId=171123153010693&sourceType=search&rank=1&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"ucc 117精緻即溶咖啡, 90g, 1罐",$108,https://www.tw.coupang.com/products/ucc-117%E7%B2%BE%E7%B7%BB%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-171123161399303?itemId=171122695847943&vendorItemId=171123161399301&sourceType=search&rank=2&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"ucc 113精製即溶咖啡, 90g, 1罐",$117,https://www.tw.coupang.com/products/ucc-113%E7%B2%BE%E8%A3%BD%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-416117365358592?itemId=416117365358593&vendorItemId=416117365374976&sourceType=search&rank=3&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"UCC 117即溶咖啡條狀, 2g, 10條, 1盒",$85,https://www.tw.coupang.com/products/UCC-117%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1%E6%A2%9D%E7%8B%80-479517839671301?itemId=479517839687683&vendorItemId=479517839704065&sourceType=search&rank=4&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"ucc Special精製即溶咖啡, 90g, 1罐",$108,https://www.tw.coupang.com/products/ucc-Special%E7%B2%BE%E8%A3%BD%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-416117365391362?itemId=416117365374979&vendorItemId=416117365391361&sourceType=search&rank=5&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"NESCAFE 雀巢咖啡 金牌咖啡 深焙風味, 120g, 1罐",$213,https://www.tw.coupang.com/products/NESCAFE-%E9%9B%80%E5%B7%A2%E5%92%96%E5%95%A1-%E9%87%91%E7%89%8C%E5%92%96%E5%95%A1-%E6%B7%B1%E7%84%99%E9%A2%A8%E5%91%B3-270337816117253?itemId=270337816117255&vendorItemId=270337816117249&sourceType=search&rank=6&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"雀巢咖啡三合一香滑原味, 15g, 12條, 1盒",$43,https://www.tw.coupang.com/products/%E9%9B%80%E5%B7%A2%E5%92%96%E5%95%A1%E4%B8%89%E5%90%88%E4%B8%80%E9%A6%99%E6%BB%91%E5%8E%9F%E5%91%B3-467938465267727?itemId=467938465234960&vendorItemId=467938465218573&sourceType=search&rank=7&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"BEANIES 即溶咖啡 薄荷巧克力風味, 50g, 1罐",$179,https://www.tw.coupang.com/products/BEANIES-%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-%E8%96%84%E8%8D%B7%E5%B7%A7%E5%85%8B%E5%8A%9B%E9%A2%A8%E5%91%B3-163535812280320?itemId=163535359262732&vendorItemId=163535359262720&sourceType=search&rank=8&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"ucc 118精製即溶咖啡, 90g, 1罐",$117,https://www.tw.coupang.com/products/ucc-118%E7%B2%BE%E8%A3%BD%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-416117365374977?itemId=416117365374978&vendorItemId=416117365391360&sourceType=search&rank=9&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"摩卡炭燒拿鐵風味咖啡, 15g, 30包, 1袋",$98,https://www.tw.coupang.com/products/%E6%91%A9%E5%8D%A1%E7%82%AD%E7%87%92%E6%8B%BF%E9%90%B5%E9%A2%A8%E5%91%B3%E5%92%96%E5%95%A1-462743383539719?itemId=462743383523334&vendorItemId=462743383523332&sourceType=search&rank=10&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"Maxim 麥心 白金經典三合一咖啡, 50條, 1盒, 11.7g",$229,https://www.tw.coupang.com/products/Maxim-%E9%BA%A5%E5%BF%83-%E7%99%BD%E9%87%91%E7%B6%93%E5%85%B8%E4%B8%89%E5%90%88%E4%B8%80%E5%92%96%E5%95%A1-166015992283154?itemId=166015992283152&vendorItemId=166016902463492&sourceType=search&rank=11&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"ucc 職人芳醇即溶咖啡, 90g, 1瓶",$115,https://www.tw.coupang.com/products/ucc-%E8%81%B7%E4%BA%BA%E8%8A%B3%E9%86%87%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-234879899893765?itemId=234879899893766&vendorItemId=234879136546818&sourceType=search&rank=12&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"ucc Special精製即溶咖啡, 90g, 2罐",$216,https://www.tw.coupang.com/products/ucc-Special%E7%B2%BE%E8%A3%BD%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-416117365391362?itemId=419751163527173&vendorItemId=419751159349253&sourceType=search&rank=13&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"AGF Blendy LATORY 濃厚苦味咖啡拿鐵, 9g, 20條, 1盒",$179,https://www.tw.coupang.com/products/AGF-Blendy-LATORY-%E6%BF%83%E5%8E%9A%E8%8B%A6%E5%91%B3%E5%92%96%E5%95%A1%E6%8B%BF%E9%90%B5-458756441702400?itemId=458756441718784&vendorItemId=458756437508099&sourceType=search&rank=14&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"G7 三合一咖啡, 16g, 50包, 1袋",$165,https://www.tw.coupang.com/products/G7-%E4%B8%89%E5%90%88%E4%B8%80%E5%92%96%E5%95%A1-152286328209421?itemId=152286718312457&vendorItemId=152287091589124&sourceType=search&rank=15&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"ucc 117精緻即溶咖啡, 90g, 2罐",$196,https://www.tw.coupang.com/products/ucc-117%E7%B2%BE%E7%B7%BB%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-171123161399303?itemId=272938641080328&vendorItemId=272938641080322&sourceType=search&rank=16&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"MOCCA 摩卡 二合一白咖啡 無蔗糖, 25g, 15條, 1袋",$131,https://www.tw.coupang.com/products/MOCCA-%E6%91%A9%E5%8D%A1-%E4%BA%8C%E5%90%88%E4%B8%80%E7%99%BD%E5%92%96%E5%95%A1-%E7%84%A1%E8%94%97%E7%B3%96-430255797895168?itemId=430255797927937&vendorItemId=430255797911552&sourceType=search&rank=17&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"EDIYA COFFEE Beanist 經典美式即溶咖啡, 1g, 30條, 1盒",$130,https://www.tw.coupang.com/products/EDIYA-COFFEE-Beanist-%E7%B6%93%E5%85%B8%E7%BE%8E%E5%BC%8F%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-224667654668303?itemId=224668367683605&vendorItemId=224668367683599&sourceType=search&rank=18&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"ucc 職人苦味即溶咖啡, 90g, 1瓶",$125,https://www.tw.coupang.com/products/ucc-%E8%81%B7%E4%BA%BA%E8%8B%A6%E5%91%B3%E5%8D%B3%E6%BA%B6%E5%92%96%E5%95%A1-283839914033169?itemId=234878280876034&vendorItemId=234878280876032&sourceType=search&rank=19&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
"AGF 微奢華咖啡店 8條, 贅沢綜合黑咖啡, 2g, 1盒",$73,https://www.tw.coupang.com/products/AGF-%E5%BE%AE%E5%A5%A2%E8%8F%AF%E5%92%96%E5%95%A1%E5%BA%97-8%E6%A2%9D-458756345266179?itemId=458756345282562&vendorItemId=458756345266176&sourceType=search&rank=20&searchId=037cba6e01044841868d5953326edfb3&q=%E5%92%96%E5%95%A1%E5%8D%B3%E6%BA%B6
