product_name,product_price,product_url
"DeLUX 垂直光學滑鼠, M618C, 黑色, 1盒",$570,https://www.tw.coupang.com/products/DeLUX-%E5%9E%82%E7%9B%B4%E5%85%89%E5%AD%B8%E6%BB%91%E9%BC%A0-466750890016781?itemId=466750890033167&vendorItemId=466750890033163&sourceType=search&rank=&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
"DeLUX 雙模垂直靜音光學滑鼠, M618mini, 白色, 1個",$829,https://www.tw.coupang.com/products/DeLUX-%E9%9B%99%E6%A8%A1%E5%9E%82%E7%9B%B4%E9%9D%9C%E9%9F%B3%E5%85%89%E5%AD%B8%E6%BB%91%E9%BC%A0-466750877450244?itemId=466750877433860&vendorItemId=466750877417475&sourceType=search&rank=1&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
"Iplex 有限垂直型滑鼠 VM-600, 混色",$426,https://www.tw.coupang.com/products/Iplex-%E6%9C%89%E9%99%90%E5%9E%82%E7%9B%B4%E5%9E%8B%E6%BB%91%E9%BC%A0-VM-600-21000061049162?itemId=21000209305871&vendorItemId=21003447614232&sourceType=search&rank=2&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
"COSY 有線垂直滑鼠 M4077, 黑色",$368,https://www.tw.coupang.com/products/COSY-%E6%9C%89%E7%B7%9A%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0-M4077-21007172419129?itemId=21018072993113&vendorItemId=21085226200913&sourceType=search&rank=3&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
"SAMSUNG 三星 Pleomax RGB LED USB 垂直鼠標 MO-ER600, 混色",$760,https://www.tw.coupang.com/products/SAMSUNG-%E4%B8%89%E6%98%9F-Pleomax-RGB-LED-USB-%E5%9E%82%E7%9B%B4%E9%BC%A0%E6%A8%99-MO-ER600-21001569084610?itemId=21002683150464&vendorItemId=21070673664341&sourceType=search&rank=4&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
"Kinyo 2.4GHz 無線靜音滑鼠, GKM-913, 綠色",$178,https://www.tw.coupang.com/products/Kinyo-2.4GHz-%E7%84%A1%E7%B7%9A%E9%9D%9C%E9%9F%B3%E6%BB%91%E9%BC%A0-161335417454596?itemId=161335417454597&vendorItemId=161336277303296&sourceType=search&rank=5&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
"COSY 舒適立式簡易鼠標 M3124, 黑色的",$396,https://www.tw.coupang.com/products/COSY-%E8%88%92%E9%81%A9%E7%AB%8B%E5%BC%8F%E7%B0%A1%E6%98%93%E9%BC%A0%E6%A8%99-M3124-21000020165676?itemId=21000080099814&vendorItemId=21003136072783&sourceType=search&rank=6&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
"actto Handy 垂直有線鼠標 MSC-185, 混色",$309,https://www.tw.coupang.com/products/actto-Handy-%E5%9E%82%E7%9B%B4%E6%9C%89%E7%B7%9A%E9%BC%A0%E6%A8%99-MSC-185-21000051829142?itemId=21000183408057&vendorItemId=21003436765519&sourceType=search&rank=7&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
"Kinyo 2.4GHz 無線滑鼠, GKM-910, 粉色",$193,https://www.tw.coupang.com/products/Kinyo-2.4GHz-%E7%84%A1%E7%B7%9A%E6%BB%91%E9%BC%A0-161335832723462?itemId=161336252137480&vendorItemId=161335392288771&sourceType=search&rank=8&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
"CREAN Hugh Ergo 垂直鼠標 VM912, VM912BK, 黑色的",$360,https://www.tw.coupang.com/products/CREAN-Hugh-Ergo-%E5%9E%82%E7%9B%B4%E9%BC%A0%E6%A8%99-VM912-21000022081212?itemId=21000085968139&vendorItemId=21003146223322&sourceType=search&rank=9&searchId=43669a326f2a4f73927b1fc72b4212be&q=%E5%9E%82%E7%9B%B4%E6%BB%91%E9%BC%A0
