product_name,product_price,product_url
"Kinyo 多功能陶瓷美食鍋 白色 1.2L, FP-0876W",$595,https://www.tw.coupang.com/products/Kinyo-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%99%B6%E7%93%B7%E7%BE%8E%E9%A3%9F%E9%8D%8B-%E7%99%BD%E8%89%B2-1.2L-153988389371906?itemId=153988007706626&vendorItemId=153988003512320&sourceType=search&rank=&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
"Kinyo 多功能電火鍋 1.5L, BP-075",$729,https://www.tw.coupang.com/products/Kinyo-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%BB%E7%81%AB%E9%8D%8B-1.5L-451645594861577?itemId=451645594894343&vendorItemId=451645594894340&sourceType=search&rank=1&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
"Kinyo 多功能陶瓷美食鍋 黑色, FP-0876",$628,https://www.tw.coupang.com/products/Kinyo-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%99%B6%E7%93%B7%E7%BE%8E%E9%A3%9F%E9%8D%8B-%E9%BB%91%E8%89%B2-161317453266945?itemId=161316593418240&vendorItemId=161317453266944&sourceType=search&rank=2&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
"Kitchen-Art 三格多功能平底鍋 31 x 25.9 x 2.2cm, 1個",$353,https://www.tw.coupang.com/products/Kitchen-Art-%E4%B8%89%E6%A0%BC%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%B9%B3%E5%BA%95%E9%8D%8B-31-x-25.9-x-2.2cm-160678409093123?itemId=160678845333507&vendorItemId=160678404898819&sourceType=search&rank=3&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
"Beatrice 碧翠絲 電磁爐適用 頂級316不銹鋼調多功能調理鍋, 19cm, T-ANO-0023-M, 1盒",$748,https://www.tw.coupang.com/products/Beatrice-%E7%A2%A7%E7%BF%A0%E7%B5%B2-%E9%9B%BB%E7%A3%81%E7%88%90%E9%81%A9%E7%94%A8-%E9%A0%82%E7%B4%9A316%E4%B8%8D%E9%8A%B9%E9%8B%BC%E8%AA%BF%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%AA%BF%E7%90%86%E9%8D%8B-465380342464515?itemId=465380342480901&vendorItemId=465380342448132&sourceType=search&rank=4&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
"CooK&CooK Verona 多功能IH料理鍋 神秘黑, 20cm, 1個",$562,https://www.tw.coupang.com/products/CooK%26CooK-Verona-%E5%A4%9A%E5%8A%9F%E8%83%BDIH%E6%96%99%E7%90%86%E9%8D%8B-%E7%A5%9E%E7%A7%98%E9%BB%91-158409177382919?itemId=158409601040389&vendorItemId=158409596846097&sourceType=search&rank=5&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
"歌林 kolin多功能電火鍋 280 x 239 x 170mm 3L, KHL-UD313, 1個",$628,https://www.tw.coupang.com/products/%E6%AD%8C%E6%9E%97-kolin%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%BB%E7%81%AB%E9%8D%8B-280-x-239-x-170mm-3L-464313789661190?itemId=464313789644807&vendorItemId=464313789644803&sourceType=search&rank=6&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
"Kinyo 雙電壓多功能隨行鍋 粉色, BP-095","$1,416",https://www.tw.coupang.com/products/Kinyo-%E9%9B%99%E9%9B%BB%E5%A3%93%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9A%A8%E8%A1%8C%E9%8D%8B-%E7%B2%89%E8%89%B2-451645599105024?itemId=451645599105025&vendorItemId=451645599072256&sourceType=search&rank=7&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
"cook power 鍋寶 多功能電子鍋 3人份 紅色, RCO-3000",$659,https://www.tw.coupang.com/products/cook-power-%E9%8D%8B%E5%AF%B6-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%BB%E5%AD%90%E9%8D%8B-3%E4%BA%BA%E4%BB%BD-%E7%B4%85%E8%89%B2-467883217846272?itemId=467883217846273&vendorItemId=467883213668366&sourceType=search&rank=8&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
"Kinyo 多功能微電腦電子鍋 27.5 x 24.5 x 22cm 2.8kg 3L, MEP-16","$1,075",https://www.tw.coupang.com/products/Kinyo-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%BE%AE%E9%9B%BB%E8%85%A6%E9%9B%BB%E5%AD%90%E9%8D%8B-27.5-x-24.5-x-22cm-2.8kg-3L-451645594894339?itemId=451645594910724&vendorItemId=451645594877959&sourceType=search&rank=9&searchId=5f4af2bc77734afebc10e60c0c3d7784&q=%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8D%8B
