product_name,product_price,product_url
"oa 嬰兒數位體重計, 白色, OWM-006WH",$931,https://www.tw.coupang.com/products/oa-%E5%AC%B0%E5%85%92%E6%95%B8%E4%BD%8D%E9%AB%94%E9%87%8D%E8%A8%88-21007598271263?itemId=21020093501579&vendorItemId=21087188820381&sourceType=search&rank=&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
"chicco 數位電子嬰兒秤, 1個","$2,660",https://www.tw.coupang.com/products/chicco-%E6%95%B8%E4%BD%8D%E9%9B%BB%E5%AD%90%E5%AC%B0%E5%85%92%E7%A7%A4-268560446210050?itemId=268561490624516&vendorItemId=268562421743616&sourceType=search&rank=1&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
"mebby 嬰兒和兒童 2 嬰兒秤, 混合顏色, 單品","$2,038",https://www.tw.coupang.com/products/mebby-%E5%AC%B0%E5%85%92%E5%92%8C%E5%85%92%E7%AB%A5-2-%E5%AC%B0%E5%85%92%E7%A7%A4-21002127484327?itemId=21003611017075&vendorItemId=21071596668949&sourceType=search&rank=2&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
"SAMPO 聲寶 電子體重計 333 x 333 x 33mm 承重150kg, BF-L1503ML, 1個",$349,https://www.tw.coupang.com/products/SAMPO-%E8%81%B2%E5%AF%B6-%E9%9B%BB%E5%AD%90%E9%AB%94%E9%87%8D%E8%A8%88-333-x-333-x-33mm-%E6%89%BF%E9%87%8D150kg-463947538874374?itemId=463947538874375&vendorItemId=463947538857987&sourceType=search&rank=3&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
"PiYOPiYO 黃色小鴨 兩用水溫計, 黃色, 1個",$128,https://www.tw.coupang.com/products/PiYOPiYO-%E9%BB%83%E8%89%B2%E5%B0%8F%E9%B4%A8-%E5%85%A9%E7%94%A8%E6%B0%B4%E6%BA%AB%E8%A8%88-288088991416348?itemId=212800026673167&vendorItemId=245798356877312&sourceType=search&rank=4&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
"小米體重計 2 含電池, XMTZOO4HM, 白色, 1盒",$485,https://www.tw.coupang.com/products/%E5%B0%8F%E7%B1%B3%E9%AB%94%E9%87%8D%E8%A8%88-2-%E5%90%AB%E9%9B%BB%E6%B1%A0-467832013815809?itemId=467832013832195&vendorItemId=467832013783041&sourceType=search&rank=5&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
"元氣寶寶 電子水溫計 L883808, 瓢蟲, 1個",$355,https://www.tw.coupang.com/products/%E5%85%83%E6%B0%A3%E5%AF%B6%E5%AF%B6-%E9%9B%BB%E5%AD%90%E6%B0%B4%E6%BA%AB%E8%A8%88-L883808-246110299832321?itemId=246111218417671&vendorItemId=246112036290563&sourceType=search&rank=6&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
"寶貝水溫計 MMY003, 青蛙, 1個",$128,https://www.tw.coupang.com/products/%E5%AF%B6%E8%B2%9D%E6%B0%B4%E6%BA%AB%E8%A8%88-MMY003-470476203687943?itemId=470476203720708&vendorItemId=470476203737090&sourceType=search&rank=7&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
"nac nac 紅外線耳溫槍 TS0037, 1個","$1,125",https://www.tw.coupang.com/products/nac-nac-%E7%B4%85%E5%A4%96%E7%B7%9A%E8%80%B3%E6%BA%AB%E6%A7%8D-TS0037-217417703735313?itemId=217417703735314&vendorItemId=217416948727811&sourceType=search&rank=8&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
"BoomCare 寶貝爾 免接觸額溫槍 BC 03, 1個","$1,852",https://www.tw.coupang.com/products/BoomCare-%E5%AF%B6%E8%B2%9D%E7%88%BE-%E5%85%8D%E6%8E%A5%E8%A7%B8%E9%A1%8D%E6%BA%AB%E6%A7%8D-BC-03-149028134174720?itemId=149028494868480&vendorItemId=149027765043200&sourceType=search&rank=9&searchId=aaa3f204ebce49d5b092070aa2d5c9dc&q=%E5%AC%B0%E5%85%92%E9%AB%94%E9%87%8D%E8%A8%88
