product_name,product_price,product_url
"YODA 優的寶貝 嬰兒提籃式安全座椅 3kg, 沉穩黑, 1個","$1,988",https://www.tw.coupang.com/products/YODA-%E5%84%AA%E7%9A%84%E5%AF%B6%E8%B2%9D-%E5%AC%B0%E5%85%92%E6%8F%90%E7%B1%83%E5%BC%8F%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85-3kg-159844443062276?itemId=159843599990788&vendorItemId=159844443062273&sourceType=search&rank=&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
"SEKYUNG Bow Wow時尚汽車安全座椅2p, 黑色",$868,https://www.tw.coupang.com/products/SEKYUNG-Bow-Wow%E6%99%82%E5%B0%9A%E6%B1%BD%E8%BB%8A%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%852p-21000001939158?itemId=21000008623651&vendorItemId=21003012125962&sourceType=search&rank=1&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
"Manito 汽車座椅, Scandinavia Bear Grey, 1入",$606,https://www.tw.coupang.com/products/Manito-%E6%B1%BD%E8%BB%8A%E5%BA%A7%E6%A4%85-21000141384169?itemId=21000411720045&vendorItemId=21004009727352&sourceType=search&rank=2&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
"todbi Cocoon M Plus ISOFIX 兒童增高汽車座椅, 夜炭","$2,073",https://www.tw.coupang.com/products/todbi-Cocoon-M-Plus-ISOFIX-%E5%85%92%E7%AB%A5%E5%A2%9E%E9%AB%98%E6%B1%BD%E8%BB%8A%E5%BA%A7%E6%A4%85-21007180337008?itemId=21018108423528&vendorItemId=21085260188594&sourceType=search&rank=3&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
"SEKYUNG Bow Wow時尚汽車安全座椅2p, 紅色",$876,https://www.tw.coupang.com/products/SEKYUNG-Bow-Wow%E6%99%82%E5%B0%9A%E6%B1%BD%E8%BB%8A%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%852p-21000001939158?itemId=21000008623648&vendorItemId=21003012125959&sourceType=search&rank=4&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
"Manito 兒童清潔幼兒汽車座椅和酷座椅, 鋸齒形灰色, 1入",$604,https://www.tw.coupang.com/products/Manito-%E5%85%92%E7%AB%A5%E6%B8%85%E6%BD%94%E5%B9%BC%E5%85%92%E6%B1%BD%E8%BB%8A%E5%BA%A7%E6%A4%85%E5%92%8C%E9%85%B7%E5%BA%A7%E6%A4%85-21007899420654?itemId=21021645413916&vendorItemId=21076627590522&sourceType=search&rank=5&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
"Manito 汽車座椅, Scandinavia Bear Pink, 1入",$606,https://www.tw.coupang.com/products/Manito-%E6%B1%BD%E8%BB%8A%E5%BA%A7%E6%A4%85-21000141384169?itemId=21000411720035&vendorItemId=21004009727298&sourceType=search&rank=6&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
"HWAMO BABY Duralon 嬰兒冷車安全座椅, 1個, 棕色(內膽)","$1,052",https://www.tw.coupang.com/products/HWAMO-BABY-Duralon-%E5%AC%B0%E5%85%92%E5%86%B7%E8%BB%8A%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85-21007480218867?itemId=21019537353859&vendorItemId=21089867913476&sourceType=search&rank=7&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
"用於 Manito 少年兒童汽車座椅 + 空氣淨化器的多清潔空氣冷卻座椅, 坐墊(Star Grey)+空氣清淨機(Mint)","$1,642",https://www.tw.coupang.com/products/%E7%94%A8%E6%96%BC-Manito-%E5%B0%91%E5%B9%B4%E5%85%92%E7%AB%A5%E6%B1%BD%E8%BB%8A%E5%BA%A7%E6%A4%85-%2B-%E7%A9%BA%E6%B0%A3%E6%B7%A8%E5%8C%96%E5%99%A8%E7%9A%84%E5%A4%9A%E6%B8%85%E6%BD%94%E7%A9%BA%E6%B0%A3%E5%86%B7%E5%8D%BB%E5%BA%A7%E6%A4%85-21008164061139?itemId=21023287666529&vendorItemId=21071100203568&sourceType=search&rank=8&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
"SEKYUNG Bow Wow時尚汽車安全座椅2p, 藍色",$860,https://www.tw.coupang.com/products/SEKYUNG-Bow-Wow%E6%99%82%E5%B0%9A%E6%B1%BD%E8%BB%8A%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%852p-21000001939158?itemId=21000008623640&vendorItemId=21003012125948&sourceType=search&rank=9&searchId=71ad58d736be4a4f947fbc485253dcb7&q=%E5%AE%89%E5%85%A8%E5%BA%A7%E6%A4%85
