product_name,product_price,product_url
"BOUNCE Safety露營卡式爐LB-2002, 混色, 1個",$889,https://www.tw.coupang.com/products/BOUNCE-Safety%E9%9C%B2%E7%87%9F%E5%8D%A1%E5%BC%8F%E7%88%90LB-2002-21002012120141?itemId=21003422827176&vendorItemId=21071409378047&sourceType=search&rank=&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
"KITCHEN FLOWER 高火力攜帶式卡式爐, 混色, 1組",$791,https://www.tw.coupang.com/products/KITCHEN-FLOWER-%E9%AB%98%E7%81%AB%E5%8A%9B%E6%94%9C%E5%B8%B6%E5%BC%8F%E5%8D%A1%E5%BC%8F%E7%88%90-21000061670029?itemId=21000211134801&vendorItemId=21003501776652&sourceType=search&rank=1&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
"Kitchen-Art 便攜式瓦斯爐, 火爐",$465,https://www.tw.coupang.com/products/Kitchen-Art-%E4%BE%BF%E6%94%9C%E5%BC%8F%E7%93%A6%E6%96%AF%E7%88%90-21007282448990?itemId=21018595692308&vendorItemId=21085731841318&sourceType=search&rank=2&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
"IDOOGEN Stoneway露營瓦斯爐向日葵爐, 1個, 黑色","$1,848",https://www.tw.coupang.com/products/IDOOGEN-Stoneway%E9%9C%B2%E7%87%9F%E7%93%A6%E6%96%AF%E7%88%90%E5%90%91%E6%97%A5%E8%91%B5%E7%88%90-21007515908355?itemId=21019703025367&vendorItemId=21089865911083&sourceType=search&rank=3&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
"SUNTOUCH 高火力攜帶式瓦斯爐 ST-505_0164, 單品, 1個",$534,https://www.tw.coupang.com/products/SUNTOUCH-%E9%AB%98%E7%81%AB%E5%8A%9B%E6%94%9C%E5%B8%B6%E5%BC%8F%E7%93%A6%E6%96%AF%E7%88%90-ST-505_0164-21000000123161?itemId=21000000227862&vendorItemId=21003000158940&sourceType=search&rank=4&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
"HouseKeeper 妙管家 黃金瓦斯爐, K071G, 1個",$476,https://www.tw.coupang.com/products/HouseKeeper-%E5%A6%99%E7%AE%A1%E5%AE%B6-%E9%BB%83%E9%87%91%E7%93%A6%E6%96%AF%E7%88%90-465395525861390?itemId=465395525845009&vendorItemId=465395525828622&sourceType=search&rank=5&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
"HouseKeeper 妙管家 超火大瓦斯爐 X600 1.7kg, 綠色, 1個",$703,https://www.tw.coupang.com/products/HouseKeeper-%E5%A6%99%E7%AE%A1%E5%AE%B6-%E8%B6%85%E7%81%AB%E5%A4%A7%E7%93%A6%E6%96%AF%E7%88%90-X600-1.7kg-465395517423619?itemId=465395517472776&vendorItemId=465395517456388&sourceType=search&rank=6&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
"卡旺 B003攜帶式卡式爐 K1-B003SD 1kg, 1個",$839,https://www.tw.coupang.com/products/%E5%8D%A1%E6%97%BA-B003%E6%94%9C%E5%B8%B6%E5%BC%8F%E5%8D%A1%E5%BC%8F%E7%88%90-K1-B003SD-1kg-268558038679559?itemId=268559083094023&vendorItemId=268559083094018&sourceType=search&rank=7&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
"Iwatani 岩谷 綠武士瓦斯爐, 1組","$1,962",https://www.tw.coupang.com/products/Iwatani-%E5%B2%A9%E8%B0%B7-%E7%B6%A0%E6%AD%A6%E5%A3%AB%E7%93%A6%E6%96%AF%E7%88%90-455960342511617?itemId=455960342495234&vendorItemId=455960338350084&sourceType=search&rank=8&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
"K-ONE 卡旺 攜帶式卡式爐 A003, 1個",$849,https://www.tw.coupang.com/products/K-ONE-%E5%8D%A1%E6%97%BA-%E6%94%9C%E5%B8%B6%E5%BC%8F%E5%8D%A1%E5%BC%8F%E7%88%90-A003-268559070511111?itemId=268560001630215&vendorItemId=268559070511108&sourceType=search&rank=9&searchId=697ee2fe10e144179176791739354724&q=%E5%AE%89%E5%85%A8%E7%93%A6%E6%96%AF%E7%88%90
