product_name,product_price,product_url
"Simba 小獅王辛巴 iFeed極美機超靜音電動吸乳器, 1組","$2,872",https://www.tw.coupang.com/products/Simba-%E5%B0%8F%E7%8D%85%E7%8E%8B%E8%BE%9B%E5%B7%B4-iFeed%E6%A5%B5%E7%BE%8E%E6%A9%9F%E8%B6%85%E9%9D%9C%E9%9F%B3%E9%9B%BB%E5%8B%95%E5%90%B8%E4%B9%B3%E5%99%A8-242527705710599?itemId=242529408614400&vendorItemId=242457069469700&sourceType=search&rank=&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"Simba 小獅王辛巴 iFeed極美機超靜音電動吸乳器配件組, 1組",$712,https://www.tw.coupang.com/products/Simba-%E5%B0%8F%E7%8D%85%E7%8E%8B%E8%BE%9B%E5%B7%B4-iFeed%E6%A5%B5%E7%BE%8E%E6%A9%9F%E8%B6%85%E9%9D%9C%E9%9F%B3%E9%9B%BB%E5%8B%95%E5%90%B8%E4%B9%B3%E5%99%A8%E9%85%8D%E4%BB%B6%E7%B5%84-242529404420102?itemId=242527705710598&vendorItemId=242457082052608&sourceType=search&rank=1&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"YOUHA 優合 雙邊電動吸乳器 YH-8023, 1組","$1,940",https://www.tw.coupang.com/products/YOUHA-%E5%84%AA%E5%90%88-%E9%9B%99%E9%82%8A%E9%9B%BB%E5%8B%95%E5%90%B8%E4%B9%B3%E5%99%A8-YH-8023-242882506096654?itemId=242880798998543&vendorItemId=242880798998537&sourceType=search&rank=2&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"YOUHA 優合 手動吸乳器 YH-6004, 1個",$557,https://www.tw.coupang.com/products/YOUHA-%E5%84%AA%E5%90%88-%E6%89%8B%E5%8B%95%E5%90%B8%E4%B9%B3%E5%99%A8-YH-6004-242880803192837?itemId=242881705000962&vendorItemId=242880803192832&sourceType=search&rank=3&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"YOUHA 優合 THE INs 穿戴式隱形吸乳器 智能藍芽版 24mm, 白色, 2個","$4,320",https://www.tw.coupang.com/products/YOUHA-%E5%84%AA%E5%90%88-THE-INs-%E7%A9%BF%E6%88%B4%E5%BC%8F%E9%9A%B1%E5%BD%A2%E5%90%B8%E4%B9%B3%E5%99%A8-%E6%99%BA%E8%83%BD%E8%97%8D%E8%8A%BD%E7%89%88-24mm-384907859705856?itemId=384907859689474&vendorItemId=384907859689473&sourceType=search&rank=4&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"medela 美樂 小型電動吸乳器, 1組",$969,https://www.tw.coupang.com/products/medela-%E7%BE%8E%E6%A8%82-%E5%B0%8F%E5%9E%8B%E9%9B%BB%E5%8B%95%E5%90%B8%E4%B9%B3%E5%99%A8-220064368246787?itemId=220065140031491&vendorItemId=220065832075264&sourceType=search&rank=5&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"Combi 康貝 自然吸韻雙邊電動吸乳器 LX DEBP20PI, 1組","$2,795",https://www.tw.coupang.com/products/Combi-%E5%BA%B7%E8%B2%9D-%E8%87%AA%E7%84%B6%E5%90%B8%E9%9F%BB%E9%9B%99%E9%82%8A%E9%9B%BB%E5%8B%95%E5%90%B8%E4%B9%B3%E5%99%A8-LX-DEBP20PI-173970393382915?itemId=173970871517191&vendorItemId=173970871517187&sourceType=search&rank=6&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"pigeon 貝親 矽膠吸乳器, 1個",$208,https://www.tw.coupang.com/products/pigeon-%E8%B2%9D%E8%A6%AA-%E7%9F%BD%E8%86%A0%E5%90%B8%E4%B9%B3%E5%99%A8-238176962592768?itemId=238177742716928&vendorItemId=238176085950464&sourceType=search&rank=7&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"PiYOPiYO 黃色小鴨 免持攜帶式電動吸乳器 15*19.5cm, 黃色, 1組","$1,206",https://www.tw.coupang.com/products/PiYOPiYO-%E9%BB%83%E8%89%B2%E5%B0%8F%E9%B4%A8-%E5%85%8D%E6%8C%81%E6%94%9C%E5%B8%B6%E5%BC%8F%E9%9B%BB%E5%8B%95%E5%90%B8%E4%B9%B3%E5%99%A8-15*19.5cm-157331455164427?itemId=157331870433290&vendorItemId=157332273070084&sourceType=search&rank=8&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"haakaa 第二代真空吸力集乳器 新手媽媽實用簡配組 瓶子150ml+小花瓶塞, 顏色隨機, 1組",$557,https://www.tw.coupang.com/products/haakaa-%E7%AC%AC%E4%BA%8C%E4%BB%A3%E7%9C%9F%E7%A9%BA%E5%90%B8%E5%8A%9B%E9%9B%86%E4%B9%B3%E5%99%A8-%E6%96%B0%E6%89%8B%E5%AA%BD%E5%AA%BD%E5%AF%A6%E7%94%A8%E7%B0%A1%E9%85%8D%E7%B5%84-%E7%93%B6%E5%AD%90150ml%2B%E5%B0%8F%E8%8A%B1%E7%93%B6%E5%A1%9E-305849599754241?itemId=305847355785216&vendorItemId=305849599754240&sourceType=search&rank=9&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
"PHILIPS AVENT 新安怡 親餵重現 雙邊電動吸乳器, 1組","$6,839",https://www.tw.coupang.com/products/PHILIPS-AVENT-%E6%96%B0%E5%AE%89%E6%80%A1-%E8%A6%AA%E9%A4%B5%E9%87%8D%E7%8F%BE-%E9%9B%99%E9%82%8A%E9%9B%BB%E5%8B%95%E5%90%B8%E4%B9%B3%E5%99%A8-235996159377416?itemId=235996159377417&vendorItemId=235996159377410&sourceType=search&rank=10&searchId=17f864d15154475c99053b98674c0d73&q=%E5%B0%8F%E7%8D%85%E7%8E%8B%20%E5%90%B8%E4%B9%B3%E5%99%A8
