product_name,product_price,product_url
男款Goodif工作短褲,$351,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BEGoodif%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2-21007358089343?itemId=21018950872152&vendorItemId=21086077129394&sourceType=search&rank=&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
Goodif 男款工作服牛仔寬鬆鬆緊短褲,$192,https://www.tw.coupang.com/products/Goodif-%E7%94%B7%E6%AC%BE%E5%B7%A5%E4%BD%9C%E6%9C%8D%E7%89%9B%E4%BB%94%E5%AF%AC%E9%AC%86%E9%AC%86%E7%B7%8A%E7%9F%AD%E8%A4%B2-21007989364448?itemId=21022205311359&vendorItemId=21089251433484&sourceType=search&rank=1&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
TERAWOOD 純色棉工裝短褲,$408,https://www.tw.coupang.com/products/TERAWOOD-%E7%B4%94%E8%89%B2%E6%A3%89%E5%B7%A5%E8%A3%9D%E7%9F%AD%E8%A4%B2-21008065228620?itemId=21022681063584&vendorItemId=21089717218769&sourceType=search&rank=2&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
男款復古水洗工裝鬆緊彈性短褲 YXB14,$715,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BE%E5%BE%A9%E5%8F%A4%E6%B0%B4%E6%B4%97%E5%B7%A5%E8%A3%9D%E9%AC%86%E7%B7%8A%E5%BD%88%E6%80%A7%E7%9F%AD%E8%A4%B2-YXB14-21008053962235?itemId=21022599895085&vendorItemId=21089641554782&sourceType=search&rank=3&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
Goodif 男款工作服雙口袋寬鬆短褲,$709,https://www.tw.coupang.com/products/Goodif-%E7%94%B7%E6%AC%BE%E5%B7%A5%E4%BD%9C%E6%9C%8D%E9%9B%99%E5%8F%A3%E8%A2%8B%E5%AF%AC%E9%AC%86%E7%9F%AD%E8%A4%B2-21008024336179?itemId=21022424869975&vendorItemId=21089469580642&sourceType=search&rank=4&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
FANCY LIFE 冰絲透氣短褲,$159,https://www.tw.coupang.com/products/FANCY-LIFE-%E5%86%B0%E7%B5%B2%E9%80%8F%E6%B0%A3%E7%9F%AD%E8%A4%B2-476964364206093?itemId=476964368351232&vendorItemId=476964364189703&sourceType=search&rank=5&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
一折寬運動短褲 UI2OHP,$476,https://www.tw.coupang.com/products/%E4%B8%80%E6%8A%98%E5%AF%AC%E9%81%8B%E5%8B%95%E7%9F%AD%E8%A4%B2-UI2OHP-21008230394256?itemId=21023686577903&vendorItemId=21090746611518&sourceType=search&rank=6&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
寬鬆尼龍短褲 UI2THP,$420,https://www.tw.coupang.com/products/%E5%AF%AC%E9%AC%86%E5%B0%BC%E9%BE%8D%E7%9F%AD%E8%A4%B2-UI2THP-21008232077700?itemId=21023693960376&vendorItemId=21090789957697&sourceType=search&rank=7&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
FANCY LIFE 冰絲透氣短褲,$159,https://www.tw.coupang.com/products/FANCY-LIFE-%E5%86%B0%E7%B5%B2%E9%80%8F%E6%B0%A3%E7%9F%AD%E8%A4%B2-476964368367621?itemId=476964368367622&vendorItemId=476964368367619&sourceType=search&rank=8&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
MiNi-K 孩童工作車隊背心短褲套裝,$239,https://www.tw.coupang.com/products/MiNi-K-%E5%AD%A9%E7%AB%A5%E5%B7%A5%E4%BD%9C%E8%BB%8A%E9%9A%8A%E8%83%8C%E5%BF%83%E7%9F%AD%E8%A4%B2%E5%A5%97%E8%A3%9D-21005624814574?itemId=21009129711032&vendorItemId=21076415743934&sourceType=search&rank=9&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
男款高彈力彈性棉短褲,$429,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BE%E9%AB%98%E5%BD%88%E5%8A%9B%E5%BD%88%E6%80%A7%E6%A3%89%E7%9F%AD%E8%A4%B2-21006412625912?itemId=21013758934088&vendorItemId=21081009608318&sourceType=search&rank=10&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
CARET 男士修身涼感短褲,$341,https://www.tw.coupang.com/products/CARET-%E7%94%B7%E5%A3%AB%E4%BF%AE%E8%BA%AB%E6%B6%BC%E6%84%9F%E7%9F%AD%E8%A4%B2-151189815541769?itemId=151189433827331&vendorItemId=151189865873408&sourceType=search&rank=11&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
自由式男式亞麻五件式短褲 HRMP_Cheon Mu-yeol,$312,https://www.tw.coupang.com/products/%E8%87%AA%E7%94%B1%E5%BC%8F%E7%94%B7%E5%BC%8F%E4%BA%9E%E9%BA%BB%E4%BA%94%E4%BB%B6%E5%BC%8F%E7%9F%AD%E8%A4%B2-HRMP_Cheon-Mu-yeol-21007304113645?itemId=21018697594650&vendorItemId=21086124401526&sourceType=search&rank=12&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
Goodif 女款工裝A字工作褲短褲,$516,https://www.tw.coupang.com/products/Goodif-%E5%A5%B3%E6%AC%BE%E5%B7%A5%E8%A3%9DA%E5%AD%97%E5%B7%A5%E4%BD%9C%E8%A4%B2%E7%9F%AD%E8%A4%B2-21007426961740?itemId=21019280802266&vendorItemId=21086395802150&sourceType=search&rank=13&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
FANCY LIFE 冰絲透氣短褲,$159,https://www.tw.coupang.com/products/FANCY-LIFE-%E5%86%B0%E7%B5%B2%E9%80%8F%E6%B0%A3%E7%9F%AD%E8%A4%B2-476964368351239?itemId=476964368384006&vendorItemId=476964368367617&sourceType=search&rank=14&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
寬鬆運動短褲 UI2HFP,$428,https://www.tw.coupang.com/products/%E5%AF%AC%E9%AC%86%E9%81%8B%E5%8B%95%E7%9F%AD%E8%A4%B2-UI2HFP-21008230354036?itemId=21023686412115&vendorItemId=21090747363882&sourceType=search&rank=15&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
meosidda Essential素色鬆緊短褲,$236,https://www.tw.coupang.com/products/meosidda-Essential%E7%B4%A0%E8%89%B2%E9%AC%86%E7%B7%8A%E7%9F%AD%E8%A4%B2-21008096251185?itemId=21022890596726&vendorItemId=21089925167744&sourceType=search&rank=16&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
男士大碼黑色素色冰短褲 3P,$382,https://www.tw.coupang.com/products/%E7%94%B7%E5%A3%AB%E5%A4%A7%E7%A2%BC%E9%BB%91%E8%89%B2%E7%B4%A0%E8%89%B2%E5%86%B0%E7%9F%AD%E8%A4%B2-3P-21005485542599?itemId=21008476697242&vendorItemId=21085915004485&sourceType=search&rank=17&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
Merci Taa芭達雅泡泡紗涼感輕量鬆緊帶短褲,$355,https://www.tw.coupang.com/products/Merci-Taa%E8%8A%AD%E9%81%94%E9%9B%85%E6%B3%A1%E6%B3%A1%E7%B4%97%E6%B6%BC%E6%84%9F%E8%BC%95%E9%87%8F%E9%AC%86%E7%B7%8A%E5%B8%B6%E7%9F%AD%E8%A4%B2-21008096251359?itemId=21022890597350&vendorItemId=21089925168232&sourceType=search&rank=18&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
自由式男式大碼軍裝工裝短褲 HRK2_Cheon Muyeol,"$1,207",https://www.tw.coupang.com/products/%E8%87%AA%E7%94%B1%E5%BC%8F%E7%94%B7%E5%BC%8F%E5%A4%A7%E7%A2%BC%E8%BB%8D%E8%A3%9D%E5%B7%A5%E8%A3%9D%E7%9F%AD%E8%A4%B2-HRK2_Cheon-Muyeol-21007286581110?itemId=21018614415213&vendorItemId=21086124170001&sourceType=search&rank=19&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
假兩件防走光 透氣速乾修長比例運動短褲 110g,$489,https://www.tw.coupang.com/products/%E5%81%87%E5%85%A9%E4%BB%B6%E9%98%B2%E8%B5%B0%E5%85%89-%E9%80%8F%E6%B0%A3%E9%80%9F%E4%B9%BE%E4%BF%AE%E9%95%B7%E6%AF%94%E4%BE%8B%E9%81%8B%E5%8B%95%E7%9F%AD%E8%A4%B2-110g-471840812122112?itemId=471840812154882&vendorItemId=471840807911430&sourceType=search&rank=20&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
男款DM鈕扣亮點工作褲,$544,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BEDM%E9%88%95%E6%89%A3%E4%BA%AE%E9%BB%9E%E5%B7%A5%E4%BD%9C%E8%A4%B2-21008017708232?itemId=21022394972108&vendorItemId=21089439897377&sourceType=search&rank=21&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
自由式男士冰五分短褲 335 HRMP_Cheon Mu-yeol,$304,https://www.tw.coupang.com/products/%E8%87%AA%E7%94%B1%E5%BC%8F%E7%94%B7%E5%A3%AB%E5%86%B0%E4%BA%94%E5%88%86%E7%9F%AD%E8%A4%B2-335-HRMP_Cheon-Mu-yeol-21007304127636?itemId=21018697654951&vendorItemId=21086124400233&sourceType=search&rank=22&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
假兩件防走光 透氣速乾修長比例運動短褲 110g,$489,https://www.tw.coupang.com/products/%E5%81%87%E5%85%A9%E4%BB%B6%E9%98%B2%E8%B5%B0%E5%85%89-%E9%80%8F%E6%B0%A3%E9%80%9F%E4%B9%BE%E4%BF%AE%E9%95%B7%E6%AF%94%E4%BE%8B%E9%81%8B%E5%8B%95%E7%9F%AD%E8%A4%B2-110g-471840833110018?itemId=471840833077248&vendorItemId=471840833126401&sourceType=search&rank=23&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
Champion ASIA迷你Lipstop運動短褲,$889,https://www.tw.coupang.com/products/Champion-ASIA%E8%BF%B7%E4%BD%A0Lipstop%E9%81%8B%E5%8B%95%E7%9F%AD%E8%A4%B2-21008042666149?itemId=21022524723560&vendorItemId=21089566752671&sourceType=search&rank=24&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
meosidda 加州海灘短褲 純色,$301,https://www.tw.coupang.com/products/meosidda-%E5%8A%A0%E5%B7%9E%E6%B5%B7%E7%81%98%E7%9F%AD%E8%A4%B2-%E7%B4%94%E8%89%B2-21008096251498?itemId=21022890597767&vendorItemId=21089925168618&sourceType=search&rank=25&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
九號女式布里乾酪短褲 PT-5566,"$1,388",https://www.tw.coupang.com/products/%E4%B9%9D%E8%99%9F%E5%A5%B3%E5%BC%8F%E5%B8%83%E9%87%8C%E4%B9%BE%E9%85%AA%E7%9F%AD%E8%A4%B2-PT-5566-21008334136194?itemId=21024063415346&vendorItemId=21091083267045&sourceType=search&rank=26&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
hooristyle 男款半拉鍊短袖T恤+綁帶短褲,$685,https://www.tw.coupang.com/products/hooristyle-%E7%94%B7%E6%AC%BE%E5%8D%8A%E6%8B%89%E9%8D%8A%E7%9F%AD%E8%A2%96T%E6%81%A4%2B%E7%B6%81%E5%B8%B6%E7%9F%AD%E8%A4%B2-21006443935123?itemId=21013959080734&vendorItemId=21082255324769&sourceType=search&rank=27&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
Starbean 男款刺繡標誌運動短褲,$595,https://www.tw.coupang.com/products/Starbean-%E7%94%B7%E6%AC%BE%E5%88%BA%E7%B9%A1%E6%A8%99%E8%AA%8C%E9%81%8B%E5%8B%95%E7%9F%AD%E8%A4%B2-21008096728391?itemId=21022892339672&vendorItemId=21089926897311&sourceType=search&rank=28&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
Mix Bling 女款寬鬆綁帶休閒5分褲,$324,https://www.tw.coupang.com/products/Mix-Bling-%E5%A5%B3%E6%AC%BE%E5%AF%AC%E9%AC%86%E7%B6%81%E5%B8%B6%E4%BC%91%E9%96%925%E5%88%86%E8%A4%B2-21006388640067?itemId=21013608115105&vendorItemId=21085927923711&sourceType=search&rank=29&searchId=22d65deede584674a5c95d87336c92eb&q=%E5%B7%A5%E4%BD%9C%E7%9F%AD%E8%A4%B2
