product_name,product_price,product_url
"康乃馨清涼棉量多型 12片 25.5cm 2包, 1組",$96,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8%E6%B8%85%E6%B6%BC%E6%A3%89%E9%87%8F%E5%A4%9A%E5%9E%8B-12%E7%89%87-25.5cm-2%E5%8C%85-463480511463431?itemId=463480511479813&vendorItemId=463480511463429&sourceType=search&rank=&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
"康乃馨 超薄蝶型衛生棉 一般流量, 21.5cm, 20片, 5包",$161,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8-%E8%B6%85%E8%96%84%E8%9D%B6%E5%9E%8B%E8%A1%9B%E7%94%9F%E6%A3%89-%E4%B8%80%E8%88%AC%E6%B5%81%E9%87%8F-258715944976391?itemId=266349192364038&vendorItemId=266349192364033&sourceType=search&rank=1&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
"康乃馨 超薄蝶型衛生棉 量多型, 25.5cm, 16片, 6包",$204,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8-%E8%B6%85%E8%96%84%E8%9D%B6%E5%9E%8B%E8%A1%9B%E7%94%9F%E6%A3%89-%E9%87%8F%E5%A4%9A%E5%9E%8B-258714057523202?itemId=267819383996416&vendorItemId=267819379802119&sourceType=search&rank=2&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
"康乃馨 清涼棉衛生棉 量多加長, 28cm, 10片, 6包",$301,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8-%E6%B8%85%E6%B6%BC%E6%A3%89%E8%A1%9B%E7%94%9F%E6%A3%89-%E9%87%8F%E5%A4%9A%E5%8A%A0%E9%95%B7-258715944976407?itemId=273221601443844&vendorItemId=273220552835073&sourceType=search&rank=3&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
"康乃馨 御守棉超薄柔棉 日用量多, 25.5cm, 16片, 3包",$165,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8-%E5%BE%A1%E5%AE%88%E6%A3%89%E8%B6%85%E8%96%84%E6%9F%94%E6%A3%89-%E6%97%A5%E7%94%A8%E9%87%8F%E5%A4%9A-258715932393472?itemId=272940796968963&vendorItemId=272938796269578&sourceType=search&rank=4&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
"康乃馨 御守棉 夜用極長衛生棉, 40cm, 7片, 3包",$132,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8-%E5%BE%A1%E5%AE%88%E6%A3%89-%E5%A4%9C%E7%94%A8%E6%A5%B5%E9%95%B7%E8%A1%9B%E7%94%9F%E6%A3%89-261375532154887?itemId=271070418419722&vendorItemId=271069365616642&sourceType=search&rank=5&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
"康乃馨 輕柔美學貼身衛生棉 量多型, 25.5cm, 16片, 3包",$76,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8-%E8%BC%95%E6%9F%94%E7%BE%8E%E5%AD%B8%E8%B2%BC%E8%BA%AB%E8%A1%9B%E7%94%9F%E6%A3%89-%E9%87%8F%E5%A4%9A%E5%9E%8B-258715928199170?itemId=383152182722571&vendorItemId=383152182738954&sourceType=search&rank=6&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
"康乃馨 清涼棉衛生棉 一般流量, 21.5cm, 14片, 4包",$191,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8-%E6%B8%85%E6%B6%BC%E6%A3%89%E8%A1%9B%E7%94%9F%E6%A3%89-%E4%B8%80%E8%88%AC%E6%B5%81%E9%87%8F-258715064188936?itemId=357326162722820&vendorItemId=357326162739200&sourceType=search&rank=7&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
"康乃馨 輕柔美學貼身棉 一般流量, 21.5cm, 20片, 3包",$85,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8-%E8%BC%95%E6%9F%94%E7%BE%8E%E5%AD%B8%E8%B2%BC%E8%BA%AB%E6%A3%89-%E4%B8%80%E8%88%AC%E6%B5%81%E9%87%8F-258715047411717?itemId=266349196558340&vendorItemId=266351146926091&sourceType=search&rank=8&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
"康乃馨 超薄蝶型衛生棉 一般流量, 21.5cm, 20片, 3包",$97,https://www.tw.coupang.com/products/%E5%BA%B7%E4%B9%83%E9%A6%A8-%E8%B6%85%E8%96%84%E8%9D%B6%E5%9E%8B%E8%A1%9B%E7%94%9F%E6%A3%89-%E4%B8%80%E8%88%AC%E6%B5%81%E9%87%8F-258715944976391?itemId=266349221724166&vendorItemId=266349221724163&sourceType=search&rank=9&searchId=72c76992cf7347c5a658d27b1f602e1c&q=%E5%BA%B7%E4%B9%83%E9%A6%A8%20%E8%A1%9B%E7%94%9F%E6%A3%89
