product_name,product_price,product_url
"得意 抽取式廚房紙巾, 100張, 30包",$540,https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F-%E6%8A%BD%E5%8F%96%E5%BC%8F%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-257298857410582?itemId=257300715503634&vendorItemId=257299838910480&sourceType=search&rank=&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
"得意 金得意系列 巧撕廚房紙巾 112張, 6捲, 1袋",$78,https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F-%E9%87%91%E5%BE%97%E6%84%8F%E7%B3%BB%E5%88%97-%E5%B7%A7%E6%92%95%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-112%E5%BC%B5-279082860265479?itemId=151564752748544&vendorItemId=151563993563136&sourceType=search&rank=1&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
"得意 抽取式廚房紙巾, 100張, 60包",$880,https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F-%E6%8A%BD%E5%8F%96%E5%BC%8F%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-257298857410582?itemId=258101265530908&vendorItemId=258101265530884&sourceType=search&rank=2&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
"得意 金得意系列 巧撕廚房紙巾 112張, 6捲, 2袋",$156,https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F-%E9%87%91%E5%BE%97%E6%84%8F%E7%B3%BB%E5%88%97-%E5%B7%A7%E6%92%95%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-112%E5%BC%B5-279082860265479?itemId=279081803268106&vendorItemId=279083820744715&sourceType=search&rank=3&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
"得意 抽取式廚房紙巾, 100張, 150包","$2,100",https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F-%E6%8A%BD%E5%8F%96%E5%BC%8F%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-257298857410582?itemId=258100506378260&vendorItemId=258101382971472&sourceType=search&rank=4&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
"春風 廚房紙巾 120張, 6捲, 2組",$158,https://www.tw.coupang.com/products/%E6%98%A5%E9%A2%A8-%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-120%E5%BC%B5-263882685792259?itemId=267822915600400&vendorItemId=267822915600388&sourceType=search&rank=5&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
"得意 金得意系列 巧撕廚房紙巾 112張, 6捲, 6袋",$468,https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F-%E9%87%91%E5%BE%97%E6%84%8F%E7%B3%BB%E5%88%97-%E5%B7%A7%E6%92%95%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-112%E5%BC%B5-279082860265479?itemId=426240636829697&vendorItemId=426240636862464&sourceType=search&rank=6&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
"得意 抽取式廚房紙巾, 100張, 120包","$1,960",https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F-%E6%8A%BD%E5%8F%96%E5%BC%8F%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-257298857410582?itemId=258101311668290&vendorItemId=258099449380892&sourceType=search&rank=7&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
"春風 抽取式廚房紙巾 120張, 3包, 8袋",$529,https://www.tw.coupang.com/products/%E6%98%A5%E9%A2%A8-%E6%8A%BD%E5%8F%96%E5%BC%8F%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-120%E5%BC%B5-334931326648320?itemId=334931326599168&vendorItemId=334931326615552&sourceType=search&rank=8&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
"百吉牌 抽取式廚房紙巾 210 x 195mm, 雙層, 80抽, 6包, 1袋",$100,https://www.tw.coupang.com/products/%E7%99%BE%E5%90%89%E7%89%8C-%E6%8A%BD%E5%8F%96%E5%BC%8F%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE-210-x-195mm-467945918496771?itemId=467945918496772&vendorItemId=467945918513153&sourceType=search&rank=9&searchId=9dec19a50f9a4be3a8c44e071dc8bcf1&q=%E5%BB%9A%E6%88%BF%E7%B4%99%E5%B7%BE%20%E5%BE%97%E6%84%8F
