product_name,product_price,product_url
SKMEI時刻美 情侶大錶盤防水電子手錶 附鐵盒 + 牛皮紙盒 1206BKBK,$299,https://www.tw.coupang.com/products/SKMEI%E6%99%82%E5%88%BB%E7%BE%8E-%E6%83%85%E4%BE%B6%E5%A4%A7%E9%8C%B6%E7%9B%A4%E9%98%B2%E6%B0%B4%E9%9B%BB%E5%AD%90%E6%89%8B%E9%8C%B6-%E9%99%84%E9%90%B5%E7%9B%92-%2B-%E7%89%9B%E7%9A%AE%E7%B4%99%E7%9B%92-1206BKBK-472987182530569?itemId=472987182514184&vendorItemId=472987182530564&sourceType=search&rank=&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
Lloyd 經典圓形銀色皮革手錶 LL2G19T16ISB,"$1,682",https://www.tw.coupang.com/products/Lloyd-%E7%B6%93%E5%85%B8%E5%9C%93%E5%BD%A2%E9%8A%80%E8%89%B2%E7%9A%AE%E9%9D%A9%E6%89%8B%E9%8C%B6-LL2G19T16ISB-21004697425451?itemId=21005912434533&vendorItemId=21087500038587&sourceType=search&rank=1&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
GEIGER 男款Stark金屬手錶 GE1180MWS+盒子,"$2,508",https://www.tw.coupang.com/products/GEIGER-%E7%94%B7%E6%AC%BEStark%E9%87%91%E5%B1%AC%E6%89%8B%E9%8C%B6-GE1180MWS%2B%E7%9B%92%E5%AD%90-21007232542400?itemId=21018356004036&vendorItemId=21088204318339&sourceType=search&rank=2&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
男士腕錶金屬手錶,$700,https://www.tw.coupang.com/products/%E7%94%B7%E5%A3%AB%E8%85%95%E9%8C%B6%E9%87%91%E5%B1%AC%E6%89%8B%E9%8C%B6-21008176125389?itemId=21023364999759&vendorItemId=21090085711676&sourceType=search&rank=3&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
CASIO 卡西歐 男款金屬錶帶手錶 MTP-V006D-1B2U,$675,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-%E7%94%B7%E6%AC%BE%E9%87%91%E5%B1%AC%E9%8C%B6%E5%B8%B6%E6%89%8B%E9%8C%B6-MTP-V006D-1B2U-21001238369697?itemId=21002233958713&vendorItemId=21087393626586&sourceType=search&rank=4&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
"Ergotech 人因科技 心率血氧藍牙通話手錶 SW300, 耀石黑",$926,https://www.tw.coupang.com/products/Ergotech-%E4%BA%BA%E5%9B%A0%E7%A7%91%E6%8A%80-%E5%BF%83%E7%8E%87%E8%A1%80%E6%B0%A7%E8%97%8D%E7%89%99%E9%80%9A%E8%A9%B1%E6%89%8B%E9%8C%B6-SW300-465347043868677?itemId=465347039690762&vendorItemId=465347039657994&sourceType=search&rank=5&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
"Leap Frog 學習手錶, 藍藍",$675,https://www.tw.coupang.com/products/Leap-Frog-%E5%AD%B8%E7%BF%92%E6%89%8B%E9%8C%B6-424758487220225?itemId=424758487220226&vendorItemId=424758487269376&sourceType=search&rank=6&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
CASIO 卡西歐 女款時尚運動手錶 LRW-200H-7E2V,$543,https://www.tw.coupang.com/products/CASIO-%E5%8D%A1%E8%A5%BF%E6%AD%90-%E5%A5%B3%E6%AC%BE%E6%99%82%E5%B0%9A%E9%81%8B%E5%8B%95%E6%89%8B%E9%8C%B6-LRW-200H-7E2V-21000061185244?itemId=21000209799179&vendorItemId=21087991490640&sourceType=search&rank=7&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
"Ergotech 人因科技 心率智慧監測運動腕錶 SW206, 金典粉",$809,https://www.tw.coupang.com/products/Ergotech-%E4%BA%BA%E5%9B%A0%E7%A7%91%E6%8A%80-%E5%BF%83%E7%8E%87%E6%99%BA%E6%85%A7%E7%9B%A3%E6%B8%AC%E9%81%8B%E5%8B%95%E8%85%95%E9%8C%B6-SW206-465347035463690?itemId=465347035480075&vendorItemId=465347035512844&sourceType=search&rank=8&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
"Ergotech 人因科技 心率智慧監測運動手錶 SW202, 曜石黑",$788,https://www.tw.coupang.com/products/Ergotech-%E4%BA%BA%E5%9B%A0%E7%A7%91%E6%8A%80-%E5%BF%83%E7%8E%87%E6%99%BA%E6%85%A7%E7%9B%A3%E6%B8%AC%E9%81%8B%E5%8B%95%E6%89%8B%E9%8C%B6-SW202-465347031285769?itemId=465347031269384&vendorItemId=465347031318530&sourceType=search&rank=9&searchId=06149f1ae1a749249a1e023ab34cc3ef&q=%E5%BE%B7%E5%9C%8B%E6%89%8B%E9%8C%B6
