product_name,product_price,product_url
"台塑 多功能手套 中 27 x 22cm, 102入, 2盒",$126,https://www.tw.coupang.com/products/%E5%8F%B0%E5%A1%91-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%89%8B%E5%A5%97-%E4%B8%AD-27-x-22cm-159507363627008?itemId=382418238242817&vendorItemId=382418238242816&sourceType=search&rank=&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"OP 環保舒適手套耐用強化 一般型, M 8.5*33cm, 4包",$152,https://www.tw.coupang.com/products/OP-%E7%92%B0%E4%BF%9D%E8%88%92%E9%81%A9%E6%89%8B%E5%A5%97%E8%80%90%E7%94%A8%E5%BC%B7%E5%8C%96-%E4%B8%80%E8%88%AC%E5%9E%8B-261281181286419?itemId=266350463270914&vendorItemId=266351381807104&sourceType=search&rank=1&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"3M Scotch-Brite 百利 防霉抗菌手套, 中型, 3包",$105,https://www.tw.coupang.com/products/3M-Scotch-Brite-%E7%99%BE%E5%88%A9-%E9%98%B2%E9%9C%89%E6%8A%97%E8%8F%8C%E6%89%8B%E5%A5%97-260286594383905?itemId=265241254379525&vendorItemId=265241254379521&sourceType=search&rank=2&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"秋冬騎自行車防滑觸屏手套, 黑色, 1雙",$221,https://www.tw.coupang.com/products/%E7%A7%8B%E5%86%AC%E9%A8%8E%E8%87%AA%E8%A1%8C%E8%BB%8A%E9%98%B2%E6%BB%91%E8%A7%B8%E5%B1%8F%E6%89%8B%E5%A5%97-478720712228871?itemId=478720712212487&vendorItemId=478720712179716&sourceType=search&rank=3&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"Double Safe 食品多用途丁腈手套 100p, 中, 淡紫色, 1盒",$120,https://www.tw.coupang.com/products/Double-Safe-%E9%A3%9F%E5%93%81%E5%A4%9A%E7%94%A8%E9%80%94%E4%B8%81%E8%85%88%E6%89%8B%E5%A5%97-100p-21007704555146?itemId=21020636900314&vendorItemId=21088562436806&sourceType=search&rank=4&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"台塑 多功能手套 大 28.5 x 26cm, 100入, 2盒",$126,https://www.tw.coupang.com/products/%E5%8F%B0%E5%A1%91-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%89%8B%E5%A5%97-%E5%A4%A7-28.5-x-26cm-154833927520259?itemId=382417068048386&vendorItemId=382417068048384&sourceType=search&rank=5&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"Finetech 釩泰 NBR丁腈無粉手套 未滅菌 100個, M, 藍色, 1盒",$131,https://www.tw.coupang.com/products/Finetech-%E9%87%A9%E6%B3%B0-NBR%E4%B8%81%E8%85%88%E7%84%A1%E7%B2%89%E6%89%8B%E5%A5%97-%E6%9C%AA%E6%BB%85%E8%8F%8C-100%E5%80%8B-461374190747649?itemId=461374190731266&vendorItemId=461374186536962&sourceType=search&rank=6&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"3M 百利 Super Tough 耐用安全手套 M, 2雙",$137,https://www.tw.coupang.com/products/3M-%E7%99%BE%E5%88%A9-Super-Tough-%E8%80%90%E7%94%A8%E5%AE%89%E5%85%A8%E6%89%8B%E5%A5%97-M-252949192228888?itemId=252948240089089&vendorItemId=252949192228879&sourceType=search&rank=7&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"拋棄式PVC無粉手套 M, 100入, 1盒",$120,https://www.tw.coupang.com/products/%E6%8B%8B%E6%A3%84%E5%BC%8FPVC%E7%84%A1%E7%B2%89%E6%89%8B%E5%A5%97-M-466731898175491?itemId=466731898191877&vendorItemId=466731898224643&sourceType=search&rank=8&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"e.Life 橡膠手套, L(39*22cm), 粉色, 3雙",$152,https://www.tw.coupang.com/products/e.Life-%E6%A9%A1%E8%86%A0%E6%89%8B%E5%A5%97-258021716377619?itemId=258021716377621&vendorItemId=258022597165066&sourceType=search&rank=9&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"秋冬騎自行車防滑觸屏手套, 黑色, 1雙",$162,https://www.tw.coupang.com/products/%E7%A7%8B%E5%86%AC%E9%A8%8E%E8%87%AA%E8%A1%8C%E8%BB%8A%E9%98%B2%E6%BB%91%E8%A7%B8%E5%B1%8F%E6%89%8B%E5%A5%97-478720712179719?itemId=478720712212485&vendorItemId=478720712212482&sourceType=search&rank=10&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"Cleanson 衛生手套 23.5*27cm, 500入, 2盒",$216,https://www.tw.coupang.com/products/Cleanson-%E8%A1%9B%E7%94%9F%E6%89%8B%E5%A5%97-23.5*27cm-258379716984833?itemId=258378832003078&vendorItemId=258377846308865&sourceType=search&rank=11&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"Yashimo 優護 專業料理用NBR無粉手套 S 100個, 1盒",$130,https://www.tw.coupang.com/products/Yashimo-%E5%84%AA%E8%AD%B7-%E5%B0%88%E6%A5%AD%E6%96%99%E7%90%86%E7%94%A8NBR%E7%84%A1%E7%B2%89%E6%89%8B%E5%A5%97-S-100%E5%80%8B-464284739944454?itemId=464284739928069&vendorItemId=464284739895297&sourceType=search&rank=12&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"comet 合成橡膠手套 100入, 黑色, 中(M), 1盒",$206,https://www.tw.coupang.com/products/comet-%E5%90%88%E6%88%90%E6%A9%A1%E8%86%A0%E6%89%8B%E5%A5%97-100%E5%85%A5-154092592676869?itemId=154092592676876&vendorItemId=154092978536454&sourceType=search&rank=13&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"妙潔 防霉絨裡手套, L, 3包",$102,https://www.tw.coupang.com/products/%E5%A6%99%E6%BD%94-%E9%98%B2%E9%9C%89%E7%B5%A8%E8%A3%A1%E6%89%8B%E5%A5%97-260563657506817?itemId=402359473602562&vendorItemId=402359469424653&sourceType=search&rank=14&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"Carnation 康乃馨 手套, 8.5號, 雙色, 12雙",$264,https://www.tw.coupang.com/products/Carnation-%E5%BA%B7%E4%B9%83%E9%A6%A8-%E6%89%8B%E5%A5%97-273577811099652?itemId=273578758995977&vendorItemId=273578758995969&sourceType=search&rank=15&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"Finetech 釩泰 NBR丁腈無粉手套 未滅菌 100個, L, 藍色, 1盒",$131,https://www.tw.coupang.com/products/Finetech-%E9%87%A9%E6%B3%B0-NBR%E4%B8%81%E8%85%88%E7%84%A1%E7%B2%89%E6%89%8B%E5%A5%97-%E6%9C%AA%E6%BB%85%E8%8F%8C-100%E5%80%8B-461374190747649?itemId=461374190714883&vendorItemId=461374190747650&sourceType=search&rank=16&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
"Tamsaa 棉手套 50g, 白色, 100雙",$398,https://www.tw.coupang.com/products/Tamsaa-%E6%A3%89%E6%89%8B%E5%A5%97-50g-450189944930307?itemId=450189944913924&vendorItemId=450189944930305&sourceType=search&rank=17&searchId=dceb0aed082745ad8796a1e92809c42a&q=%E6%89%8B%E5%A5%97
