product_name,product_price,product_url
"Florello手機包皮革肩背包迷你斜背包, 黃色",$279,https://www.tw.coupang.com/products/Florello%E6%89%8B%E6%A9%9F%E5%8C%85%E7%9A%AE%E9%9D%A9%E8%82%A9%E8%83%8C%E5%8C%85%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85-21007199014375?itemId=21018192490781&vendorItemId=21085341213193&sourceType=search&rank=&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"BUBBLYDAY 葉子小熊鑰匙圈迷你斜背包手機包, 象牙白",$457,https://www.tw.coupang.com/products/BUBBLYDAY-%E8%91%89%E5%AD%90%E5%B0%8F%E7%86%8A%E9%91%B0%E5%8C%99%E5%9C%88%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85%E6%89%8B%E6%A9%9F%E5%8C%85-21007686921578?itemId=21020545499158&vendorItemId=21087621940293&sourceType=search&rank=1&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Suseuda角色手機包 迷你斜背包, 藍松鼠 (8802)",$204,https://www.tw.coupang.com/products/Suseuda%E8%A7%92%E8%89%B2%E6%89%8B%E6%A9%9F%E5%8C%85-%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85-21002305968515?itemId=21003974619542&vendorItemId=21085905078762&sourceType=search&rank=2&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"LULU 女士 Cons Cross 防水迷你手機包, 黑色",$366,https://www.tw.coupang.com/products/LULU-%E5%A5%B3%E5%A3%AB-Cons-Cross-%E9%98%B2%E6%B0%B4%E8%BF%B7%E4%BD%A0%E6%89%8B%E6%A9%9F%E5%8C%85-21006106200520?itemId=21011477344821&vendorItemId=21084373761662&sourceType=search&rank=3&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"MARCO POLO 素色迷你斜背手機包 MP3492, 米黃色",$348,https://www.tw.coupang.com/products/MARCO-POLO-%E7%B4%A0%E8%89%B2%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E6%89%8B%E6%A9%9F%E5%8C%85-MP3492-21006245226292?itemId=21012629663444&vendorItemId=21079897320492&sourceType=search&rank=4&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Sunday Life 簡約純色多功能斜背口金包皮夾/手機包 C268-2S-G, 綠色, 1個",$359,https://www.tw.coupang.com/products/Sunday-Life-%E7%B0%A1%E7%B4%84%E7%B4%94%E8%89%B2%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%96%9C%E8%83%8C%E5%8F%A3%E9%87%91%E5%8C%85%E7%9A%AE%E5%A4%BE%2F%E6%89%8B%E6%A9%9F%E5%8C%85-C268-2S-G-465757901111305?itemId=465757901111307&vendorItemId=465757901127686&sourceType=search&rank=5&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
童款可愛大耳狗閃亮手機包,$735,https://www.tw.coupang.com/products/%E7%AB%A5%E6%AC%BE%E5%8F%AF%E6%84%9B%E5%A4%A7%E8%80%B3%E7%8B%97%E9%96%83%E4%BA%AE%E6%89%8B%E6%A9%9F%E5%8C%85-21007719060617?itemId=21020711019758&vendorItemId=21087782050037&sourceType=search&rank=6&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"LUCIRODA 側背腰凳專用手機迷你尿布包 LUX101, Pure Ivory",$465,https://www.tw.coupang.com/products/LUCIRODA-%E5%81%B4%E8%83%8C%E8%85%B0%E5%87%B3%E5%B0%88%E7%94%A8%E6%89%8B%E6%A9%9F%E8%BF%B7%E4%BD%A0%E5%B0%BF%E5%B8%83%E5%8C%85-LUX101-21007856553833?itemId=21021428007626&vendorItemId=21088484091203&sourceType=search&rank=7&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
冰雪奇緣2 側背手機包,$192,https://www.tw.coupang.com/products/%E5%86%B0%E9%9B%AA%E5%A5%87%E7%B7%A32-%E5%81%B4%E8%83%8C%E6%89%8B%E6%A9%9F%E5%8C%85-21001421472613?itemId=21002460007582&vendorItemId=21070453518821&sourceType=search&rank=8&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"BUBBLYDAY 葉子小熊鑰匙圈迷你斜背包手機包, 棕色",$442,https://www.tw.coupang.com/products/BUBBLYDAY-%E8%91%89%E5%AD%90%E5%B0%8F%E7%86%8A%E9%91%B0%E5%8C%99%E5%9C%88%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85%E6%89%8B%E6%A9%9F%E5%8C%85-21007686921578?itemId=21020545499160&vendorItemId=21087621940317&sourceType=search&rank=9&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"BUBBLYDAY 拼色斜背手機包, 象牙白",$375,https://www.tw.coupang.com/products/BUBBLYDAY-%E6%8B%BC%E8%89%B2%E6%96%9C%E8%83%8C%E6%89%8B%E6%A9%9F%E5%8C%85-21005659545675?itemId=21009285080626&vendorItemId=21076570577475&sourceType=search&rank=10&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
三麗鷗泡沫手機袋,$439,https://www.tw.coupang.com/products/%E4%B8%89%E9%BA%97%E9%B7%97%E6%B3%A1%E6%B2%AB%E6%89%8B%E6%A9%9F%E8%A2%8B-21007613192408?itemId=21020167980488&vendorItemId=21087439990533&sourceType=search&rank=11&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"LUCIRODA 側背腰凳專用手機迷你尿布包 LUX101, 宇宙黑",$465,https://www.tw.coupang.com/products/LUCIRODA-%E5%81%B4%E8%83%8C%E8%85%B0%E5%87%B3%E5%B0%88%E7%94%A8%E6%89%8B%E6%A9%9F%E8%BF%B7%E4%BD%A0%E5%B0%BF%E5%B8%83%E5%8C%85-LUX101-21007856553833?itemId=21021428007629&vendorItemId=21088484091223&sourceType=search&rank=12&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"SORIDAL 女款2B迷你簡約多功能手機包斜背包+毛絨鑰匙圈組, 黑色(斜挎包)",$675,https://www.tw.coupang.com/products/SORIDAL-%E5%A5%B3%E6%AC%BE2B%E8%BF%B7%E4%BD%A0%E7%B0%A1%E7%B4%84%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%89%8B%E6%A9%9F%E5%8C%85%E6%96%9C%E8%83%8C%E5%8C%85%2B%E6%AF%9B%E7%B5%A8%E9%91%B0%E5%8C%99%E5%9C%88%E7%B5%84-21008164143077?itemId=21023287993757&vendorItemId=21090320240892&sourceType=search&rank=13&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"MARCO POLO 素色迷你斜背手機包 MP3492, 淺米色",$348,https://www.tw.coupang.com/products/MARCO-POLO-%E7%B4%A0%E8%89%B2%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E6%89%8B%E6%A9%9F%E5%8C%85-MP3492-21006245226292?itemId=21012629663447&vendorItemId=21079897320509&sourceType=search&rank=14&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Kakao Friends手機包Rolling迷你斜背包, 黑色的","$1,128",https://www.tw.coupang.com/products/Kakao-Friends%E6%89%8B%E6%A9%9F%E5%8C%85Rolling%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85-21006046669939?itemId=21011070376812&vendorItemId=21078349863462&sourceType=search&rank=15&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
兒童泰迪熊手機包,$172,https://www.tw.coupang.com/products/%E5%85%92%E7%AB%A5%E6%B3%B0%E8%BF%AA%E7%86%8A%E6%89%8B%E6%A9%9F%E5%8C%85-21008277440385?itemId=21023861220982&vendorItemId=21090884431160&sourceType=search&rank=16&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Sunday Life 簡約純色多功能斜背口金包皮夾 手機包, 黃色, 1個",$359,https://www.tw.coupang.com/products/Sunday-Life-%E7%B0%A1%E7%B4%84%E7%B4%94%E8%89%B2%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%96%9C%E8%83%8C%E5%8F%A3%E9%87%91%E5%8C%85%E7%9A%AE%E5%A4%BE-%E6%89%8B%E6%A9%9F%E5%8C%85-465757938876421?itemId=465757938892806&vendorItemId=465757938876419&sourceType=search&rank=17&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Tteoobl 特比樂 IPX8防水可觸屏 運動外送騎行斜背包 T-33C, 深墨黑",$465,https://www.tw.coupang.com/products/Tteoobl-%E7%89%B9%E6%AF%94%E6%A8%82-IPX8%E9%98%B2%E6%B0%B4%E5%8F%AF%E8%A7%B8%E5%B1%8F-%E9%81%8B%E5%8B%95%E5%A4%96%E9%80%81%E9%A8%8E%E8%A1%8C%E6%96%9C%E8%83%8C%E5%8C%85-T-33C-430968443715586?itemId=430968443731968&vendorItemId=430968443699200&sourceType=search&rank=18&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Moodive皮革迷你斜背包手機包, 黑色",$400,https://www.tw.coupang.com/products/Moodive%E7%9A%AE%E9%9D%A9%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85%E6%89%8B%E6%A9%9F%E5%8C%85-21007563721659?itemId=21019932481258&vendorItemId=21087031987150&sourceType=search&rank=19&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"LULU 女士 Cons Cross 防水迷你手機包, 薄荷綠",$384,https://www.tw.coupang.com/products/LULU-%E5%A5%B3%E5%A3%AB-Cons-Cross-%E9%98%B2%E6%B0%B4%E8%BF%B7%E4%BD%A0%E6%89%8B%E6%A9%9F%E5%8C%85-21006106200520?itemId=21011477344820&vendorItemId=21084373761652&sourceType=search&rank=20&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"MARCO POLO 迷你斜背手機包 MP3481, 淺米色",$294,https://www.tw.coupang.com/products/MARCO-POLO-%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E6%89%8B%E6%A9%9F%E5%8C%85-MP3481-21005801541871?itemId=21009951407672&vendorItemId=21077234592378&sourceType=search&rank=21&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
Hello CARBOT 衝鋒戰士 手機斜背包 衝鋒戰士款 PL005,$260,https://www.tw.coupang.com/products/Hello-CARBOT-%E8%A1%9D%E9%8B%92%E6%88%B0%E5%A3%AB-%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85-%E8%A1%9D%E9%8B%92%E6%88%B0%E5%A3%AB%E6%AC%BE-PL005-21000088294757?itemId=21000276427206&vendorItemId=21003670692765&sourceType=search&rank=22&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"LUCIRODA 質感手機側背包+背帶, 炭灰色(小包包)+黑色(帶子)",$645,https://www.tw.coupang.com/products/LUCIRODA-%E8%B3%AA%E6%84%9F%E6%89%8B%E6%A9%9F%E5%81%B4%E8%83%8C%E5%8C%85%2B%E8%83%8C%E5%B8%B6-21004399275171?itemId=21005223421566&vendorItemId=21072532517124&sourceType=search&rank=23&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
美人魚女童款手機斜背包,$291,https://www.tw.coupang.com/products/%E7%BE%8E%E4%BA%BA%E9%AD%9A%E5%A5%B3%E7%AB%A5%E6%AC%BE%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85-21007325565138?itemId=21018796873779&vendorItemId=21085927767263&sourceType=search&rank=24&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
pancoat 兒童用手機斜背包Pop Eye PP098,$440,https://www.tw.coupang.com/products/pancoat-%E5%85%92%E7%AB%A5%E7%94%A8%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85Pop-Eye-PP098-21007209485460?itemId=21018241087976&vendorItemId=21085388039512&sourceType=search&rank=25&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Banisports 休閒手機斜背包 834N, 紫色的",$270,https://www.tw.coupang.com/products/Banisports-%E4%BC%91%E9%96%92%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85-834N-21005808700496?itemId=21009985605708&vendorItemId=21077268682653&sourceType=search&rank=26&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
Sanrio 三麗鷗 My Melody 臉交叉包 SC0555,$406,https://www.tw.coupang.com/products/Sanrio-%E4%B8%89%E9%BA%97%E9%B7%97-My-Melody-%E8%87%89%E4%BA%A4%E5%8F%89%E5%8C%85-SC0555-21007978168029?itemId=21022124784153&vendorItemId=21089517849335&sourceType=search&rank=27&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Luluhom 迷你斜背包手機包, 灰色",$255,https://www.tw.coupang.com/products/Luluhom-%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85%E6%89%8B%E6%A9%9F%E5%8C%85-21007063392119?itemId=21017520092780&vendorItemId=21086420834305&sourceType=search&rank=28&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"HARAROI 兒童款基本粉彩小學手機斜背包, Ivory",$152,https://www.tw.coupang.com/products/HARAROI-%E5%85%92%E7%AB%A5%E6%AC%BE%E5%9F%BA%E6%9C%AC%E7%B2%89%E5%BD%A9%E5%B0%8F%E5%AD%B8%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85-21007352967774?itemId=21023424858297&vendorItemId=21090525175392&sourceType=search&rank=29&searchId=d30f2f70e0854b70bc4d5e961b8e846e&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
UNITED COLORS OF BENETTON. KIDS 女童款閃亮手機包 QCBGP5411PKOS,$706,https://www.tw.coupang.com/products/UNITED-COLORS-OF-BENETTON.-KIDS-%E5%A5%B3%E7%AB%A5%E6%AC%BE%E9%96%83%E4%BA%AE%E6%89%8B%E6%A9%9F%E5%8C%85-QCBGP5411PKOS-21007800159618?itemId=21021123150658&vendorItemId=21088184934881&sourceType=search&rank=&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"ZOOLO珍珠亮點斜背手機包斜背包迷你包, 黑色",$568,https://www.tw.coupang.com/products/ZOOLO%E7%8F%8D%E7%8F%A0%E4%BA%AE%E9%BB%9E%E6%96%9C%E8%83%8C%E6%89%8B%E6%A9%9F%E5%8C%85%E6%96%9C%E8%83%8C%E5%8C%85%E8%BF%B7%E4%BD%A0%E5%8C%85-21007188310707?itemId=21018143541057&vendorItemId=21085293959329&sourceType=search&rank=1&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"BUBBLYDAY 迷你多功能印花手機斜背包, 黑色氣球",$161,https://www.tw.coupang.com/products/BUBBLYDAY-%E8%BF%B7%E4%BD%A0%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%8D%B0%E8%8A%B1%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85-21006453889496?itemId=21014020784863&vendorItemId=21081269296880&sourceType=search&rank=2&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"LULU 女士 Cons Cross 防水迷你手機包, 藍色",$384,https://www.tw.coupang.com/products/LULU-%E5%A5%B3%E5%A3%AB-Cons-Cross-%E9%98%B2%E6%B0%B4%E8%BF%B7%E4%BD%A0%E6%89%8B%E6%A9%9F%E5%8C%85-21006106200520?itemId=21011477344815&vendorItemId=21084373761645&sourceType=search&rank=3&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
燈芯絨手機包,$143,https://www.tw.coupang.com/products/%E7%87%88%E8%8A%AF%E7%B5%A8%E6%89%8B%E6%A9%9F%E5%8C%85-21008277542444?itemId=21023861629108&vendorItemId=21090884830593&sourceType=search&rank=4&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"LULU 女士 Cons Cross 防水迷你手機包, 紫色",$384,https://www.tw.coupang.com/products/LULU-%E5%A5%B3%E5%A3%AB-Cons-Cross-%E9%98%B2%E6%B0%B4%E8%BF%B7%E4%BD%A0%E6%89%8B%E6%A9%9F%E5%8C%85-21006106200520?itemId=21011477344818&vendorItemId=21084373761640&sourceType=search&rank=5&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"手機迷你斜背包, 海軍藍",$465,https://www.tw.coupang.com/products/%E6%89%8B%E6%A9%9F%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85-21008339544679?itemId=21024082971686&vendorItemId=21091102528645&sourceType=search&rank=6&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
三麗鷗美樂蒂手機包,$308,https://www.tw.coupang.com/products/%E4%B8%89%E9%BA%97%E9%B7%97%E7%BE%8E%E6%A8%82%E8%92%82%E6%89%8B%E6%A9%9F%E5%8C%85-21007699089226?itemId=21020608541331&vendorItemId=21087683091042&sourceType=search&rank=7&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
三麗鷗兒童庫洛米手機收納包,$311,https://www.tw.coupang.com/products/%E4%B8%89%E9%BA%97%E9%B7%97%E5%85%92%E7%AB%A5%E5%BA%AB%E6%B4%9B%E7%B1%B3%E6%89%8B%E6%A9%9F%E6%94%B6%E7%B4%8D%E5%8C%85-21007691850377?itemId=21020571303832&vendorItemId=21087646748267&sourceType=search&rank=8&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
寶可夢兒童用手機斜背包,$292,https://www.tw.coupang.com/products/%E5%AF%B6%E5%8F%AF%E5%A4%A2%E5%85%92%E7%AB%A5%E7%94%A8%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85-21007290263377?itemId=21018631440328&vendorItemId=21085766729415&sourceType=search&rank=9&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Luluhom 迷你斜背包手機包, 粉色",$255,https://www.tw.coupang.com/products/Luluhom-%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E5%8C%85%E6%89%8B%E6%A9%9F%E5%8C%85-21007063392119?itemId=21017520092775&vendorItemId=21086419884205&sourceType=search&rank=10&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"LUCIRODA 質感手機側背包+背帶, 黑色(小包包)+黑色(帶子)",$645,https://www.tw.coupang.com/products/LUCIRODA-%E8%B3%AA%E6%84%9F%E6%89%8B%E6%A9%9F%E5%81%B4%E8%83%8C%E5%8C%85%2B%E8%83%8C%E5%B8%B6-21004399275171?itemId=21005223421561&vendorItemId=21072532517088&sourceType=search&rank=11&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"MARCO POLO 花紋印花迷你斜背手機包 MP3486, 馬球海軍",$329,https://www.tw.coupang.com/products/MARCO-POLO-%E8%8A%B1%E7%B4%8B%E5%8D%B0%E8%8A%B1%E8%BF%B7%E4%BD%A0%E6%96%9C%E8%83%8C%E6%89%8B%E6%A9%9F%E5%8C%85-MP3486-21006052998191?itemId=21011099366317&vendorItemId=21078378722970&sourceType=search&rank=12&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
"Bonalraon觸控螢幕超輕手機斜背包, 02米色",$351,https://www.tw.coupang.com/products/Bonalraon%E8%A7%B8%E6%8E%A7%E8%9E%A2%E5%B9%95%E8%B6%85%E8%BC%95%E6%89%8B%E6%A9%9F%E6%96%9C%E8%83%8C%E5%8C%85-21007447733585?itemId=21019381616536&vendorItemId=21086494142881&sourceType=search&rank=13&searchId=d892ed87bf1549f599449df77873d91d&q=%22%E6%89%8B%E6%A9%9F%E5%8C%85%2C%E6%96%9C%E8%83%8C%E5%8C%85%22
