product_name,product_price,product_url
"飛樂 philo 急速電動打氣機II, TP20 II, 1個","$1,122",https://www.tw.coupang.com/products/%E9%A3%9B%E6%A8%82-philo-%E6%80%A5%E9%80%9F%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E6%A9%9FII-471897879855106?itemId=471897879822340&vendorItemId=471897875644429&sourceType=search&rank=&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
"禾統 充抽兩用無線充氣機 110g, 黑色, 1個",$468,https://www.tw.coupang.com/products/%E7%A6%BE%E7%B5%B1-%E5%85%85%E6%8A%BD%E5%85%A9%E7%94%A8%E7%84%A1%E7%B7%9A%E5%85%85%E6%B0%A3%E6%A9%9F-110g-468661147992073?itemId=468661148024840&vendorItemId=468661147992068&sourceType=search&rank=1&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
"Bosch 博世 EasyPump 3.6V 多功能電動打氣機, 1個","$1,777",https://www.tw.coupang.com/products/Bosch-%E5%8D%9A%E4%B8%96-EasyPump-3.6V-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E6%A9%9F-380198033784834?itemId=380198033784835&vendorItemId=380198033784833&sourceType=search&rank=2&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
"汽車胎壓自動充氣機, 1個",$620,https://www.tw.coupang.com/products/%E6%B1%BD%E8%BB%8A%E8%83%8E%E5%A3%93%E8%87%AA%E5%8B%95%E5%85%85%E6%B0%A3%E6%A9%9F-21001938074107?itemId=21003289973667&vendorItemId=21071276939718&sourceType=search&rank=3&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
"comet 運動自行車輪胎打氣筒 L號, 銀色, 1個",$246,https://www.tw.coupang.com/products/comet-%E9%81%8B%E5%8B%95%E8%87%AA%E8%A1%8C%E8%BB%8A%E8%BC%AA%E8%83%8E%E6%89%93%E6%B0%A3%E7%AD%92-L%E8%99%9F-21005320304828?itemId=21007736226024&vendorItemId=21075026375179&sourceType=search&rank=4&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
"攜帶型車用打氣機 DC 12V, 1個",$473,https://www.tw.coupang.com/products/%E6%94%9C%E5%B8%B6%E5%9E%8B%E8%BB%8A%E7%94%A8%E6%89%93%E6%B0%A3%E6%A9%9F-DC-12V-21000107041057?itemId=21000323632043&vendorItemId=21003792382075&sourceType=search&rank=5&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
"EXCELITE Air Nori 車用輪胎打氣機, 1套",$844,https://www.tw.coupang.com/products/EXCELITE-Air-Nori-%E8%BB%8A%E7%94%A8%E8%BC%AA%E8%83%8E%E6%89%93%E6%B0%A3%E6%A9%9F-21001187934798?itemId=21002168776740&vendorItemId=21070166906294&sourceType=search&rank=6&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
"大砲超快速防震打氣機 35L, 1個",$879,https://www.tw.coupang.com/products/%E5%A4%A7%E7%A0%B2%E8%B6%85%E5%BF%AB%E9%80%9F%E9%98%B2%E9%9C%87%E6%89%93%E6%B0%A3%E6%A9%9F-35L-21000091480326?itemId=21000284645756&vendorItemId=21005282650444&sourceType=search&rank=7&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
"高壓迷你 雙向打氣筒 142g, 1盒",$341,https://www.tw.coupang.com/products/%E9%AB%98%E5%A3%93%E8%BF%B7%E4%BD%A0-%E9%9B%99%E5%90%91%E6%89%93%E6%B0%A3%E7%AD%92-142g-473994285236234?itemId=473994289446912&vendorItemId=473994285236232&sourceType=search&rank=8&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
"Joyparty 數字銀箔氣球+打氣筒組, 4, 1套",$117,https://www.tw.coupang.com/products/Joyparty-%E6%95%B8%E5%AD%97%E9%8A%80%E7%AE%94%E6%B0%A3%E7%90%83%2B%E6%89%93%E6%B0%A3%E7%AD%92%E7%B5%84-21000021703087?itemId=21000084765280&vendorItemId=21003144171635&sourceType=search&rank=9&searchId=76367ff8ac934ba7bc5d181126c2995e&q=%E6%89%93%E6%B0%A3%E6%A9%9F
