product_name,product_price,product_url
"Just Lighter Feara蠟燭長款打火機白+黑22cm, 1組",$118,https://www.tw.coupang.com/products/Just-Lighter-Feara%E8%A0%9F%E7%87%AD%E9%95%B7%E6%AC%BE%E6%89%93%E7%81%AB%E6%A9%9F%E7%99%BD%2B%E9%BB%9122cm-21007205055745?itemId=21018220109705&vendorItemId=21085367848605&sourceType=search&rank=&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"可旋轉打火機 Pivot Arc Lighter 132g, HMS-2145, 1個","$1,320",https://www.tw.coupang.com/products/%E5%8F%AF%E6%97%8B%E8%BD%89%E6%89%93%E7%81%AB%E6%A9%9F-Pivot-Arc-Lighter-132g-470812884664321?itemId=470812884664322&vendorItemId=470812884664320&sourceType=search&rank=1&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"智能環電打火機, 彩虹, 1個",$252,https://www.tw.coupang.com/products/%E6%99%BA%E8%83%BD%E7%92%B0%E9%9B%BB%E6%89%93%E7%81%AB%E6%A9%9F-21002322570489?itemId=21004011656839&vendorItemId=21080658653152&sourceType=search&rank=2&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"Ihands 火花電子打火機, 隨機出貨, 3個",$208,https://www.tw.coupang.com/products/Ihands-%E7%81%AB%E8%8A%B1%E9%9B%BB%E5%AD%90%E6%89%93%E7%81%AB%E6%A9%9F-21007460767399?itemId=21019445760568&vendorItemId=21086556665101&sourceType=search&rank=3&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"sunkey 鯊魚打火機 SSM-2S, 2個",$164,https://www.tw.coupang.com/products/sunkey-%E9%AF%8A%E9%AD%9A%E6%89%93%E7%81%AB%E6%A9%9F-SSM-2S-21007837801313?itemId=21021328663363&vendorItemId=21088387289084&sourceType=search&rank=4&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"IMOGEN WAX 充電智慧電子點火器, 墨綠色, 1個",$239,https://www.tw.coupang.com/products/IMOGEN-WAX-%E5%85%85%E9%9B%BB%E6%99%BA%E6%85%A7%E9%9B%BB%E5%AD%90%E9%BB%9E%E7%81%AB%E5%99%A8-472928151912448?itemId=472928151879680&vendorItemId=472928147718150&sourceType=search&rank=5&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"True Utility 多功能防風電弧打火機 TRU-ACC-1001-G 8.4 x 4.95 x 1.65cm, 1個","$1,387",https://www.tw.coupang.com/products/True-Utility-%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%98%B2%E9%A2%A8%E9%9B%BB%E5%BC%A7%E6%89%93%E7%81%AB%E6%A9%9F-TRU-ACC-1001-G-8.4-x-4.95-x-1.65cm-478021001641987?itemId=478021001625603&vendorItemId=478021001658368&sourceType=search&rank=6&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"Survival Fire Striker 打火棒 細 紅色, 1個",$526,https://www.tw.coupang.com/products/Survival-Fire-Striker-%E6%89%93%E7%81%AB%E6%A3%92-%E7%B4%B0-%E7%B4%85%E8%89%B2-473287138197517?itemId=473287138197518&vendorItemId=473287138181130&sourceType=search&rank=7&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"needco 燃氣點火器長打火機 K1, 隨機出貨, 4個",$192,https://www.tw.coupang.com/products/needco-%E7%87%83%E6%B0%A3%E9%BB%9E%E7%81%AB%E5%99%A8%E9%95%B7%E6%89%93%E7%81%AB%E6%A9%9F-K1-21006847669082?itemId=21016301913073&vendorItemId=21083494241757&sourceType=search&rank=8&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"WoodWick Hushwick Ellipse三部曲蠟燭 453.6g+蠟燭打火機+購物袋組, 453.6克, 白茶和茉莉花, 1組",$711,https://www.tw.coupang.com/products/WoodWick-Hushwick-Ellipse%E4%B8%89%E9%83%A8%E6%9B%B2%E8%A0%9F%E7%87%AD-453.6g%2B%E8%A0%9F%E7%87%AD%E6%89%93%E7%81%AB%E6%A9%9F%2B%E8%B3%BC%E7%89%A9%E8%A2%8B%E7%B5%84-21007966990253?itemId=21022050171160&vendorItemId=21089097455570&sourceType=search&rank=9&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
"IMOGEN WAX 蓋帽智慧電子點火器 21 x 2 x 1cm 49g, 藍色, 1個",$239,https://www.tw.coupang.com/products/IMOGEN-WAX-%E8%93%8B%E5%B8%BD%E6%99%BA%E6%85%A7%E9%9B%BB%E5%AD%90%E9%BB%9E%E7%81%AB%E5%99%A8-21-x-2-x-1cm-49g-472928198000640?itemId=472928198049792&vendorItemId=472928193839110&sourceType=search&rank=10&searchId=9f5a281b37344250abed65f3f170af3e&q=%E6%89%93%E7%81%AB%E6%A9%9F
