product_name,product_price,product_url
"Koken 3/8SQ螺帽扭力扳手 菊花形螺絲套筒 13mm 3127, 1個",$927,https://www.tw.coupang.com/products/Koken-3%2F8SQ%E8%9E%BA%E5%B8%BD%E6%89%AD%E5%8A%9B%E6%89%B3%E6%89%8B-%E8%8F%8A%E8%8A%B1%E5%BD%A2%E8%9E%BA%E7%B5%B2%E5%A5%97%E7%AD%92-13mm-3127-21007295623218?itemId=21018656579538&vendorItemId=21085791296842&sourceType=search&rank=&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"Koken 1/2SQ螺帽扭力扳手套筒 菊花形 24mm 4127, 1個","$1,207",https://www.tw.coupang.com/products/Koken-1%2F2SQ%E8%9E%BA%E5%B8%BD%E6%89%AD%E5%8A%9B%E6%89%B3%E6%89%8B%E5%A5%97%E7%AD%92-%E8%8F%8A%E8%8A%B1%E5%BD%A2-24mm-4127-21007295623211?itemId=21018656579490&vendorItemId=21085791296831&sourceType=search&rank=1&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"Performance Tool 四角凸套筒 W30934 4件組, 1個",$297,https://www.tw.coupang.com/products/Performance-Tool-%E5%9B%9B%E8%A7%92%E5%87%B8%E5%A5%97%E7%AD%92-W30934-4%E4%BB%B6%E7%B5%84-21000126202330?itemId=21000372792781&vendorItemId=21003903639376&sourceType=search&rank=2&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"CRESCENT Hex Drive SAE 衝擊套筒 黑色 CIMS5N 1.3cm, 1個",$216,https://www.tw.coupang.com/products/CRESCENT-Hex-Drive-SAE-%E8%A1%9D%E6%93%8A%E5%A5%97%E7%AD%92-%E9%BB%91%E8%89%B2-CIMS5N-1.3cm-21000124195190?itemId=21000367643289&vendorItemId=21003892827168&sourceType=search&rank=3&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"CRESCENT 鍍鉻6角扳手套筒組 CSAS9N 10入, 1個",$386,https://www.tw.coupang.com/products/CRESCENT-%E9%8D%8D%E9%89%BB6%E8%A7%92%E6%89%B3%E6%89%8B%E5%A5%97%E7%AD%92%E7%B5%84-CSAS9N-10%E5%85%A5-21000119584518?itemId=21000356378578&vendorItemId=21003867585922&sourceType=search&rank=4&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"PANRICO 百利世 六角軸無磁深孔套筒 10 x 110mm, 1個",$125,https://www.tw.coupang.com/products/PANRICO-%E7%99%BE%E5%88%A9%E4%B8%96-%E5%85%AD%E8%A7%92%E8%BB%B8%E7%84%A1%E7%A3%81%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-10-x-110mm-470477612974084?itemId=470477613006852&vendorItemId=470477612974083&sourceType=search&rank=5&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"CRESCENT Drive 12 點標準 SAE 插座組 8 個 CSAS4N 1cm, 1個",$502,https://www.tw.coupang.com/products/CRESCENT-Drive-12-%E9%BB%9E%E6%A8%99%E6%BA%96-SAE-%E6%8F%92%E5%BA%A7%E7%B5%84-8-%E5%80%8B-CSAS4N-1cm-21000119584503?itemId=21000356378560&vendorItemId=21003867585844&sourceType=search&rank=6&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"PANRICO 百利世 六角無磁深孔套筒 110 x 13mm, 1個",$118,https://www.tw.coupang.com/products/PANRICO-%E7%99%BE%E5%88%A9%E4%B8%96-%E5%85%AD%E8%A7%92%E7%84%A1%E7%A3%81%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-110-x-13mm-470477629751306?itemId=470477629800455&vendorItemId=470477629767685&sourceType=search&rank=7&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"PANRICO 百利世 深孔套筒 快脫 10 x 80mm, 1個",$140,https://www.tw.coupang.com/products/PANRICO-%E7%99%BE%E5%88%A9%E4%B8%96-%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-%E5%BF%AB%E8%84%AB-10-x-80mm-470477629784070?itemId=470477629751305&vendorItemId=470477629800450&sourceType=search&rank=8&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"Panrico 百利世 無磁深孔套筒 17 x 110mm, 1個",$125,https://www.tw.coupang.com/products/Panrico-%E7%99%BE%E5%88%A9%E4%B8%96-%E7%84%A1%E7%A3%81%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-17-x-110mm-470477608779779?itemId=470477608828930&vendorItemId=470477604634641&sourceType=search&rank=9&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"PANRICO 百利世 六角無磁深孔套筒 12 x 110mm, 1個",$118,https://www.tw.coupang.com/products/PANRICO-%E7%99%BE%E5%88%A9%E4%B8%96-%E5%85%AD%E8%A7%92%E7%84%A1%E7%A3%81%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-12-x-110mm-470477621379076?itemId=470477621379077&vendorItemId=470477621411841&sourceType=search&rank=10&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"Panrico 百利世 無磁深孔套筒 8 x 110mm, 1個",$119,https://www.tw.coupang.com/products/Panrico-%E7%99%BE%E5%88%A9%E4%B8%96-%E7%84%A1%E7%A3%81%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-8-x-110mm-470477625557009?itemId=470477625573390&vendorItemId=470477625557005&sourceType=search&rank=11&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"KING TONY 金統立 3/8 x 16角短白套筒 KT333532S, 1個",$123,https://www.tw.coupang.com/products/KING-TONY-%E9%87%91%E7%B5%B1%E7%AB%8B-3%2F8-x-16%E8%A7%92%E7%9F%AD%E7%99%BD%E5%A5%97%E7%AD%92-KT333532S-471157438398466?itemId=471157438398467&vendorItemId=471157438365698&sourceType=search&rank=12&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"DR.公制六角長套筒 KT423522M 1/2吋 黃黑色, 1個",$180,https://www.tw.coupang.com/products/DR.%E5%85%AC%E5%88%B6%E5%85%AD%E8%A7%92%E9%95%B7%E5%A5%97%E7%AD%92-KT423522M-1%2F2%E5%90%8B-%E9%BB%83%E9%BB%91%E8%89%B2-471161758515206?itemId=471161758531587&vendorItemId=471161758498817&sourceType=search&rank=13&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"Panrico 百利世 深孔套筒 快脫 14 x 80mm, 1個",$138,https://www.tw.coupang.com/products/Panrico-%E7%99%BE%E5%88%A9%E4%B8%96-%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-%E5%BF%AB%E8%84%AB-14-x-80mm-470477587824646?itemId=470477587808262&vendorItemId=470477587808259&sourceType=search&rank=14&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"Panrico 百利世 深孔套筒 快脫 17 x 80mm, 1個",$238,https://www.tw.coupang.com/products/Panrico-%E7%99%BE%E5%88%A9%E4%B8%96-%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-%E5%BF%AB%E8%84%AB-17-x-80mm-470477608779789?itemId=470477608779790&vendorItemId=470477608796168&sourceType=search&rank=15&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"Panrico 百利世 無磁深孔套筒 六角軸 21 x 110mm, 1個",$150,https://www.tw.coupang.com/products/Panrico-%E7%99%BE%E5%88%A9%E4%B8%96-%E7%84%A1%E7%A3%81%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-%E5%85%AD%E8%A7%92%E8%BB%B8-21-x-110mm-470477587824647?itemId=470477587841034&vendorItemId=470477587808260&sourceType=search&rank=16&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"Panrico 百利世 深孔套筒 快脫 13 x 80mm, 1個",$132,https://www.tw.coupang.com/products/Panrico-%E7%99%BE%E5%88%A9%E4%B8%96-%E6%B7%B1%E5%AD%94%E5%A5%97%E7%AD%92-%E5%BF%AB%E8%84%AB-13-x-80mm-470477604601857?itemId=470477604634625&vendorItemId=470477600423950&sourceType=search&rank=17&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"KING TONY 金統立 KT333528S 專業級工具 3/8 x 7/86角短白套筒, 本品(無追加電池), 1個",$100,https://www.tw.coupang.com/products/KING-TONY-%E9%87%91%E7%B5%B1%E7%AB%8B-KT333528S-%E5%B0%88%E6%A5%AD%E7%B4%9A%E5%B7%A5%E5%85%B7-3%2F8-x-7%2F86%E8%A7%92%E7%9F%AD%E7%99%BD%E5%A5%97%E7%AD%92-471157404811269?itemId=471157404827649&vendorItemId=471157404811264&sourceType=search&rank=18&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
"KING TONY 金統立 1/4吋 DR六角星型套筒E6 KT237506M, 1個",$66,https://www.tw.coupang.com/products/KING-TONY-%E9%87%91%E7%B5%B1%E7%AB%8B-1%2F4%E5%90%8B-DR%E5%85%AD%E8%A7%92%E6%98%9F%E5%9E%8B%E5%A5%97%E7%AD%92E6-KT237506M-471139159605250?itemId=471139159572481&vendorItemId=471139155378182&sourceType=search&rank=19&searchId=29de90918bce4851b08c5184cc9b9059&q=%E6%89%AD%E5%8A%9B%E5%A5%97%E7%AD%92
