product_name,product_price,product_url
"不鏽鋼桿麵棍, 1支",$227,https://www.tw.coupang.com/products/%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%A1%BF%E9%BA%B5%E6%A3%8D-265690367868930?itemId=265692314042370&vendorItemId=265690367868928&sourceType=search&rank=&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
"上龍 桿麵棍, 6個",$180,https://www.tw.coupang.com/products/%E4%B8%8A%E9%BE%8D-%E6%A1%BF%E9%BA%B5%E6%A3%8D-276586402119682?itemId=276585441640451&vendorItemId=276585441640448&sourceType=search&rank=1&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
"鋁製桿麵棍 DL-6391, 1支",$399,https://www.tw.coupang.com/products/%E9%8B%81%E8%A3%BD%E6%A1%BF%E9%BA%B5%E6%A3%8D-DL-6391-468525135101967?itemId=468525135118354&vendorItemId=468525135101961&sourceType=search&rank=2&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
"SEVENFREE 不鏽鋼桿麵棍, 1個",$196,https://www.tw.coupang.com/products/SEVENFREE-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%A1%BF%E9%BA%B5%E6%A3%8D-21004534861747?itemId=21005481705648&vendorItemId=21072781415946&sourceType=search&rank=3&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
"SaNNeNg 三能 長桿橡膠木桿麵棍 SN8033, 1個",$120,https://www.tw.coupang.com/products/SaNNeNg-%E4%B8%89%E8%83%BD-%E9%95%B7%E6%A1%BF%E6%A9%A1%E8%86%A0%E6%9C%A8%E6%A1%BF%E9%BA%B5%E6%A3%8D-SN8033-452690572165126?itemId=452690572148744&vendorItemId=452690572148740&sourceType=search&rank=4&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
"ROYALLIN 蘿林嚴選 硅膠莫蘭迪色烘培揉麵墊 + 桿麵棍 綠色 500g, 1個",$387,https://www.tw.coupang.com/products/ROYALLIN-%E8%98%BF%E6%9E%97%E5%9A%B4%E9%81%B8-%E7%A1%85%E8%86%A0%E8%8E%AB%E8%98%AD%E8%BF%AA%E8%89%B2%E7%83%98%E5%9F%B9%E6%8F%89%E9%BA%B5%E5%A2%8A-%2B-%E6%A1%BF%E9%BA%B5%E6%A3%8D-%E7%B6%A0%E8%89%B2-500g-471109828804615?itemId=471109828821002&vendorItemId=471109828837388&sourceType=search&rank=5&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
"Bloom at home 木質桿麵棍, 1組",$161,https://www.tw.coupang.com/products/Bloom-at-home-%E6%9C%A8%E8%B3%AA%E6%A1%BF%E9%BA%B5%E6%A3%8D-21000046666673?itemId=21000165476989&vendorItemId=21003391374145&sourceType=search&rank=6&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
"烘培專用矽膠桿麵棍, 1個",$420,https://www.tw.coupang.com/products/%E7%83%98%E5%9F%B9%E5%B0%88%E7%94%A8%E7%9F%BD%E8%86%A0%E6%A1%BF%E9%BA%B5%E6%A3%8D-21000006417704?itemId=21000028586843&vendorItemId=21003042521822&sourceType=search&rank=7&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
"德國Zenker 櫸木桿麵棍 5247881, 1個",$265,https://www.tw.coupang.com/products/%E5%BE%B7%E5%9C%8BZenker-%E6%AB%B8%E6%9C%A8%E6%A1%BF%E9%BA%B5%E6%A3%8D-5247881-466482999836682?itemId=466482999787528&vendorItemId=466482999787525&sourceType=search&rank=8&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
"可調厚度不鏽鋼桿麵棍, 1組",$392,https://www.tw.coupang.com/products/%E5%8F%AF%E8%AA%BF%E5%8E%9A%E5%BA%A6%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%A1%BF%E9%BA%B5%E6%A3%8D-21006203775489?itemId=21012325938861&vendorItemId=21079595967219&sourceType=search&rank=9&searchId=d065d746b7ae4916b902e20f847dd56c&q=%E6%A1%BF%E9%BA%B5%E6%A3%8D
