product_name,product_price,product_url
"DATE CROWN KHALAS KURMA 椰棗果乾, 250g, 1盒",$52,https://www.tw.coupang.com/products/DATE-CROWN-KHALAS-KURMA-%E6%A4%B0%E6%A3%97%E6%9E%9C%E4%B9%BE-181923250946049?itemId=181923771023360&vendorItemId=181922693070848&sourceType=search&rank=&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"德國 Seeberger 天然去籽椰棗, 200g, 1包",$235,https://www.tw.coupang.com/products/%E5%BE%B7%E5%9C%8B-Seeberger-%E5%A4%A9%E7%84%B6%E5%8E%BB%E7%B1%BD%E6%A4%B0%E6%A3%97-155925574795287?itemId=155925985869845&vendorItemId=155925574795279&sourceType=search&rank=1&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"Date Crown 椰棗乾, 1kg, 2個",$368,https://www.tw.coupang.com/products/Date-Crown-%E6%A4%B0%E6%A3%97%E4%B9%BE-21000002257525?itemId=21017971988027&vendorItemId=21089470613649&sourceType=search&rank=2&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"Date Crown Pard椰棗, 1個, 1kg",$220,https://www.tw.coupang.com/products/Date-Crown-Pard%E6%A4%B0%E6%A3%97-21001248590791?itemId=21012046425154&vendorItemId=21090122698089&sourceType=search&rank=3&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"VPLAN 突尼西亞產無籽椰棗乾, 1kg, 1個",$352,https://www.tw.coupang.com/products/VPLAN-%E7%AA%81%E5%B0%BC%E8%A5%BF%E4%BA%9E%E7%94%A2%E7%84%A1%E7%B1%BD%E6%A4%B0%E6%A3%97%E4%B9%BE-21007672224014?itemId=21020469948492&vendorItemId=21087549353036&sourceType=search&rank=4&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"旺來旺 大紅棗, 600g, 1包",$122,https://www.tw.coupang.com/products/%E6%97%BA%E4%BE%86%E6%97%BA-%E5%A4%A7%E7%B4%85%E6%A3%97-122904368889857?itemId=122904368889858&vendorItemId=164569364283392&sourceType=search&rank=5&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"德國 Seeberger 天然去籽椰棗, 200g, 2包",$469,https://www.tw.coupang.com/products/%E5%BE%B7%E5%9C%8B-Seeberger-%E5%A4%A9%E7%84%B6%E5%8E%BB%E7%B1%BD%E6%A4%B0%E6%A3%97-155925574795287?itemId=199670961750067&vendorItemId=199672220057637&sourceType=search&rank=6&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"豐富的棕櫚堅果椰棗, 900g, 1個",$360,https://www.tw.coupang.com/products/%E8%B1%90%E5%AF%8C%E7%9A%84%E6%A3%95%E6%AB%9A%E5%A0%85%E6%9E%9C%E6%A4%B0%E6%A3%97-21001111176947?itemId=21020056116290&vendorItemId=21087152208208&sourceType=search&rank=7&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"元氣家 手工椰棗核桃, 200g, 1包",$242,https://www.tw.coupang.com/products/%E5%85%83%E6%B0%A3%E5%AE%B6-%E6%89%8B%E5%B7%A5%E6%A4%B0%E6%A3%97%E6%A0%B8%E6%A1%83-199670999498802?itemId=158370858237957&vendorItemId=158370451406853&sourceType=search&rank=8&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"Koinur椰棗Lulu, 1kg, 1個",$266,https://www.tw.coupang.com/products/Koinur%E6%A4%B0%E6%A3%97Lulu-21007345083977?itemId=21018888042959&vendorItemId=21086016229783&sourceType=search&rank=9&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"Date Crown 椰棗乾, 1kg, 3個",$534,https://www.tw.coupang.com/products/Date-Crown-%E6%A4%B0%E6%A3%97%E4%B9%BE-21000002257525?itemId=21000010307403&vendorItemId=21089470615153&sourceType=search&rank=10&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"NAKHEEL ALYA 沙烏地阿拉伯Safawi椰棗, 250g, 1個",$185,https://www.tw.coupang.com/products/NAKHEEL-ALYA-%E6%B2%99%E7%83%8F%E5%9C%B0%E9%98%BF%E6%8B%89%E4%BC%AFSafawi%E6%A4%B0%E6%A3%97-21008180570823?itemId=21023386272741&vendorItemId=21090416496750&sourceType=search&rank=11&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"元氣家 手工原味椰棗綜合果, 200g, 1包",$247,https://www.tw.coupang.com/products/%E5%85%83%E6%B0%A3%E5%AE%B6-%E6%89%8B%E5%B7%A5%E5%8E%9F%E5%91%B3%E6%A4%B0%E6%A3%97%E7%B6%9C%E5%90%88%E6%9E%9C-158370862432267?itemId=158370036137995&vendorItemId=158370455601157&sourceType=search&rank=12&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"O'natural 歐納丘 天然去籽黑棗乾, 210g, 2罐",$295,https://www.tw.coupang.com/products/O'natural-%E6%AD%90%E7%B4%8D%E4%B8%98-%E5%A4%A9%E7%84%B6%E5%8E%BB%E7%B1%BD%E9%BB%91%E6%A3%97%E4%B9%BE-149011155615758?itemId=199341998292992&vendorItemId=199343252406272&sourceType=search&rank=13&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"NAKHEEL ALYA 沙烏地阿拉伯Khudri椰棗, 1個, 250g",$189,https://www.tw.coupang.com/products/NAKHEEL-ALYA-%E6%B2%99%E7%83%8F%E5%9C%B0%E9%98%BF%E6%8B%89%E4%BC%AFKhudri%E6%A4%B0%E6%A3%97-21008204237785?itemId=21023527822188&vendorItemId=21090554145411&sourceType=search&rank=14&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"VPLAN 突尼西亞產無籽椰棗乾, 1 公斤, 2個",$700,https://www.tw.coupang.com/products/VPLAN-%E7%AA%81%E5%B0%BC%E8%A5%BF%E4%BA%9E%E7%94%A2%E7%84%A1%E7%B1%BD%E6%A4%B0%E6%A3%97%E4%B9%BE-21007672224014?itemId=21020535660064&vendorItemId=21087612471343&sourceType=search&rank=15&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"Date Crown 椰棗乾, 1kg, 5個",$867,https://www.tw.coupang.com/products/Date-Crown-%E6%A4%B0%E6%A3%97%E4%B9%BE-21000002257525?itemId=21019504042065&vendorItemId=21089470617109&sourceType=search&rank=16&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"統一生機 蜜棗乾, 250g, 1包",$121,https://www.tw.coupang.com/products/%E7%B5%B1%E4%B8%80%E7%94%9F%E6%A9%9F-%E8%9C%9C%E6%A3%97%E4%B9%BE-214960034529290?itemId=165991526907910&vendorItemId=165991988314113&sourceType=search&rank=17&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"元氣家 手工椰棗核桃, 200g, 2包",$512,https://www.tw.coupang.com/products/%E5%85%83%E6%B0%A3%E5%AE%B6-%E6%89%8B%E5%B7%A5%E6%A4%B0%E6%A3%97%E6%A0%B8%E6%A1%83-199670999498802?itemId=199672257806380&vendorItemId=199671658037286&sourceType=search&rank=18&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"統一生機 無花果乾, 200g, 1包",$130,https://www.tw.coupang.com/products/%E7%B5%B1%E4%B8%80%E7%94%9F%E6%A9%9F-%E7%84%A1%E8%8A%B1%E6%9E%9C%E4%B9%BE-201474776727577?itemId=165991526907907&vendorItemId=165991522713600&sourceType=search&rank=19&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"NAKHEEL ALYA 沙烏地阿拉伯Khudri椰棗, 2個, 250g",$372,https://www.tw.coupang.com/products/NAKHEEL-ALYA-%E6%B2%99%E7%83%8F%E5%9C%B0%E9%98%BF%E6%8B%89%E4%BC%AFKhudri%E6%A4%B0%E6%A3%97-21008204237785?itemId=21023527887349&vendorItemId=21090554210295&sourceType=search&rank=20&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"Date Crown 椰棗乾, 1kg, 4個",$700,https://www.tw.coupang.com/products/Date-Crown-%E6%A4%B0%E6%A3%97%E4%B9%BE-21000002257525?itemId=21021070794588&vendorItemId=21089470615444&sourceType=search&rank=21&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"長思 水晶蜜棗, 235g, 2包",$150,https://www.tw.coupang.com/products/%E9%95%B7%E6%80%9D-%E6%B0%B4%E6%99%B6%E8%9C%9C%E6%A3%97-217067764547613?itemId=318533091147785&vendorItemId=318533091147783&sourceType=search&rank=22&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"Date Crown Pard椰棗, 2個, 1kg",$404,https://www.tw.coupang.com/products/Date-Crown-Pard%E6%A4%B0%E6%A3%97-21001248590791?itemId=21021515862399&vendorItemId=21090123481888&sourceType=search&rank=23&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
"DATECROWN 帕德棗椰樹, 1個, 250g",$85,https://www.tw.coupang.com/products/DATECROWN-%E5%B8%95%E5%BE%B7%E6%A3%97%E6%A4%B0%E6%A8%B9-21008379852519?itemId=21024215091249&vendorItemId=21091232444775&sourceType=search&rank=24&searchId=e1d79312b9e241c0bcf2e6176916336c&q=%E6%A4%B0%E6%A3%97
