product_name,product_price,product_url
"MARKET B 可移動雙開門置物櫃, 紅色","$1,812",https://www.tw.coupang.com/products/MARKET-B-%E5%8F%AF%E7%A7%BB%E5%8B%95%E9%9B%99%E9%96%8B%E9%96%80%E7%BD%AE%E7%89%A9%E6%AB%83-21000001137754?itemId=21000004898265&vendorItemId=21003006040153&sourceType=search&rank=&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"cimelax 組合式抽屜收納箱 4層 S號, 1個, 喜怒無常的淡灰色",$735,https://www.tw.coupang.com/products/cimelax-%E7%B5%84%E5%90%88%E5%BC%8F%E6%8A%BD%E5%B1%9C%E6%94%B6%E7%B4%8D%E7%AE%B1-4%E5%B1%A4-S%E8%99%9F-21001924451640?itemId=21003267288558&vendorItemId=21071254322308&sourceType=search&rank=1&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"MARKET B MKB 邊桌抽屜櫃 1 隔間 425630, 白色, 白色, 1個","$1,490",https://www.tw.coupang.com/products/MARKET-B-MKB-%E9%82%8A%E6%A1%8C%E6%8A%BD%E5%B1%9C%E6%AB%83-1-%E9%9A%94%E9%96%93-425630-21000003970625?itemId=21000019421739&vendorItemId=21003028459263&sourceType=search&rank=2&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"CASAMARU 超薄收納推車, 灰色",$395,https://www.tw.coupang.com/products/CASAMARU-%E8%B6%85%E8%96%84%E6%94%B6%E7%B4%8D%E6%8E%A8%E8%BB%8A-21000002492202?itemId=21000011478646&vendorItemId=21003017332959&sourceType=search&rank=3&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"cimelax 組合式抽屜收納箱 L號, 柔白色, 1個",$410,https://www.tw.coupang.com/products/cimelax-%E7%B5%84%E5%90%88%E5%BC%8F%E6%8A%BD%E5%B1%9C%E6%94%B6%E7%B4%8D%E7%AE%B1-L%E8%99%9F-21001924449907?itemId=21003267285789&vendorItemId=21071254319630&sourceType=search&rank=4&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"cimelax 組合式抽屜收納箱 S號, 白色, 1組",$393,https://www.tw.coupang.com/products/cimelax-%E7%B5%84%E5%90%88%E5%BC%8F%E6%8A%BD%E5%B1%9C%E6%94%B6%E7%B4%8D%E7%AE%B1-S%E8%99%9F-21001924450581?itemId=21003267287041&vendorItemId=21071254320793&sourceType=search&rank=5&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"cimelax Raford 兩層式抽屜收納箱, 柔和白色, 1層",$637,https://www.tw.coupang.com/products/cimelax-Raford-%E5%85%A9%E5%B1%A4%E5%BC%8F%E6%8A%BD%E5%B1%9C%E6%94%B6%E7%B4%8D%E7%AE%B1-21001924451717?itemId=21003267288661&vendorItemId=21071254322521&sourceType=search&rank=6&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"零食收納架 移動收納櫃 四層, 馬卡龍色",$246,https://www.tw.coupang.com/products/%E9%9B%B6%E9%A3%9F%E6%94%B6%E7%B4%8D%E6%9E%B6-%E7%A7%BB%E5%8B%95%E6%94%B6%E7%B4%8D%E6%AB%83-%E5%9B%9B%E5%B1%A4-473988782325776?itemId=473988782309389&vendorItemId=473988782325772&sourceType=search&rank=7&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"MARKET B MKB 邊桌抽屜櫃 1 隔間 425630, 黑色, 黑色, 1個","$1,490",https://www.tw.coupang.com/products/MARKET-B-MKB-%E9%82%8A%E6%A1%8C%E6%8A%BD%E5%B1%9C%E6%AB%83-1-%E9%9A%94%E9%96%93-425630-21000003970625?itemId=21000019421737&vendorItemId=21003028459259&sourceType=search&rank=8&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"cimelax 組合式抽屜收納箱 L號, 淡灰色, 1個",$410,https://www.tw.coupang.com/products/cimelax-%E7%B5%84%E5%90%88%E5%BC%8F%E6%8A%BD%E5%B1%9C%E6%94%B6%E7%B4%8D%E7%AE%B1-L%E8%99%9F-21001924449907?itemId=21003267285791&vendorItemId=21071254319691&sourceType=search&rank=9&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"THE LOOK 55cm折疊式多功能收納櫃/四層櫃 附輪, 1個","$1,311",https://www.tw.coupang.com/products/THE-LOOK-55cm%E6%8A%98%E7%96%8A%E5%BC%8F%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%94%B6%E7%B4%8D%E6%AB%83%2F%E5%9B%9B%E5%B1%A4%E6%AB%83-%E9%99%84%E8%BC%AA-469018095845377?itemId=469018095878144&vendorItemId=469018091651074&sourceType=search&rank=10&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"cimelax 2層組合式抽屜收納箱 S號, 柔和白色, 1個",$510,https://www.tw.coupang.com/products/cimelax-2%E5%B1%A4%E7%B5%84%E5%90%88%E5%BC%8F%E6%8A%BD%E5%B1%9C%E6%94%B6%E7%B4%8D%E7%AE%B1-S%E8%99%9F-21001924452643?itemId=21003267290222&vendorItemId=21071254324096&sourceType=search&rank=11&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"cimelax Raford 兩層式抽屜收納箱, 喜怒無常的淡灰色, 1層",$637,https://www.tw.coupang.com/products/cimelax-Raford-%E5%85%A9%E5%B1%A4%E5%BC%8F%E6%8A%BD%E5%B1%9C%E6%94%B6%E7%B4%8D%E7%AE%B1-21001924451717?itemId=21003267288660&vendorItemId=21071254322490&sourceType=search&rank=12&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"wizhome 四層移動式收納架, 白色",$414,https://www.tw.coupang.com/products/wizhome-%E5%9B%9B%E5%B1%A4%E7%A7%BB%E5%8B%95%E5%BC%8F%E6%94%B6%E7%B4%8D%E6%9E%B6-234541545390080?itemId=234540782043139&vendorItemId=234539926372352&sourceType=search&rank=13&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
"cimelax 組合式抽屜收納箱 4層 S號, 平靜自然綠色",$735,https://www.tw.coupang.com/products/cimelax-%E7%B5%84%E5%90%88%E5%BC%8F%E6%8A%BD%E5%B1%9C%E6%94%B6%E7%B4%8D%E7%AE%B1-4%E5%B1%A4-S%E8%99%9F-21007759423853?itemId=21003267288560&vendorItemId=21071254322368&sourceType=search&rank=14&searchId=931dc9fd854742f1a65c3091684f0480&q=%E6%B4%BB%E5%8B%95%E6%AB%83
