product_name,product_price,product_url
"PALMER'S 帕瑪氏 2W瞬效淡斑霜 夜霜, 75g, 1罐",$568,https://www.tw.coupang.com/products/PALMER'S-%E5%B8%95%E7%91%AA%E6%B0%8F-2W%E7%9E%AC%E6%95%88%E6%B7%A1%E6%96%91%E9%9C%9C-%E5%A4%9C%E9%9C%9C-276194805121036?itemId=276193848836105&vendorItemId=276192796033030&sourceType=search&rank=&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"PALMER'S 帕瑪氏 2W瞬效淡斑霜 全膚質, 75g, 1罐",$580,https://www.tw.coupang.com/products/PALMER'S-%E5%B8%95%E7%91%AA%E6%B0%8F-2W%E7%9E%AC%E6%95%88%E6%B7%A1%E6%96%91%E9%9C%9C-%E5%85%A8%E8%86%9A%E8%B3%AA-276193853030401?itemId=276193853030402&vendorItemId=276193853030400&sourceType=search&rank=1&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"DHC 極光淡斑精華霜 台灣公司貨, 50g, 1罐",$862,https://www.tw.coupang.com/products/DHC-%E6%A5%B5%E5%85%89%E6%B7%A1%E6%96%91%E7%B2%BE%E8%8F%AF%E9%9C%9C-%E5%8F%B0%E7%81%A3%E5%85%AC%E5%8F%B8%E8%B2%A8-270392153309186?itemId=270390160998403&vendorItemId=270391213801472&sourceType=search&rank=2&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"celimax 亮白毛孔淡斑霜, 35ml, 1個",$728,https://www.tw.coupang.com/products/celimax-%E4%BA%AE%E7%99%BD%E6%AF%9B%E5%AD%94%E6%B7%A1%E6%96%91%E9%9C%9C-21008341856205?itemId=21024091662923&vendorItemId=21091111094286&sourceType=search&rank=3&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"RAVIEL 泛醇斑點護理霜, 2個, 15ml",$214,https://www.tw.coupang.com/products/RAVIEL-%E6%B3%9B%E9%86%87%E6%96%91%E9%BB%9E%E8%AD%B7%E7%90%86%E9%9C%9C-21007016938867?itemId=21017265875856&vendorItemId=21084437094046&sourceType=search&rank=4&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"NIVEA 妮維雅 淡斑亮白青春精華凝乳, 320ml, 1條",$191,https://www.tw.coupang.com/products/NIVEA-%E5%A6%AE%E7%B6%AD%E9%9B%85-%E6%B7%A1%E6%96%91%E4%BA%AE%E7%99%BD%E9%9D%92%E6%98%A5%E7%B2%BE%E8%8F%AF%E5%87%9D%E4%B9%B3-257993694199825?itemId=257994679894032&vendorItemId=257993694199811&sourceType=search&rank=5&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"Dr.G RED Blemish男士鎮靜淡斑保濕乳液, 150ml, 1瓶",$391,https://www.tw.coupang.com/products/Dr.G-RED-Blemish%E7%94%B7%E5%A3%AB%E9%8E%AE%E9%9D%9C%E6%B7%A1%E6%96%91%E4%BF%9D%E6%BF%95%E4%B9%B3%E6%B6%B2-21001103663915?itemId=21002064504517&vendorItemId=21070063724224&sourceType=search&rank=6&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"PALMER'S 帕瑪氏 2W瞬效淡斑霜 全膚質, 75g, 2罐","$1,160",https://www.tw.coupang.com/products/PALMER'S-%E5%B8%95%E7%91%AA%E6%B0%8F-2W%E7%9E%AC%E6%95%88%E6%B7%A1%E6%96%91%E9%9C%9C-%E5%85%A8%E8%86%9A%E8%B3%AA-276193853030401?itemId=323648468516865&vendorItemId=323648468516864&sourceType=search&rank=7&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"Neogence 霓淨思 熊果素美白淡斑面膜, 6片, 2盒",$156,https://www.tw.coupang.com/products/Neogence-%E9%9C%93%E6%B7%A8%E6%80%9D-%E7%86%8A%E6%9E%9C%E7%B4%A0%E7%BE%8E%E7%99%BD%E6%B7%A1%E6%96%91%E9%9D%A2%E8%86%9C-263890852102148?itemId=273222750666755&vendorItemId=273220749967362&sourceType=search&rank=8&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"papa recipe 淡斑精華液, 150ml, 1瓶",$439,https://www.tw.coupang.com/products/papa-recipe-%E6%B7%A1%E6%96%91%E7%B2%BE%E8%8F%AF%E6%B6%B2-336022252519428?itemId=336022252535815&vendorItemId=336022252519426&sourceType=search&rank=9&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"CURESYS 淡斑霜, 30ml, 1入",$523,https://www.tw.coupang.com/products/CURESYS-%E6%B7%A1%E6%96%91%E9%9C%9C-21006069880930?itemId=21011201257153&vendorItemId=21078478963914&sourceType=search&rank=10&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"PALMER'S 帕瑪氏 2W瞬效淡斑霜 夜霜, 75g, 2罐","$1,136",https://www.tw.coupang.com/products/PALMER'S-%E5%B8%95%E7%91%AA%E6%B0%8F-2W%E7%9E%AC%E6%95%88%E6%B7%A1%E6%96%91%E9%9C%9C-%E5%A4%9C%E9%9C%9C-276194805121036?itemId=285903884894211&vendorItemId=285904853762048&sourceType=search&rank=11&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"MOMUS 傳明酸 密集美白淡斑精華, 30ml, 1瓶",$405,https://www.tw.coupang.com/products/MOMUS-%E5%82%B3%E6%98%8E%E9%85%B8-%E5%AF%86%E9%9B%86%E7%BE%8E%E7%99%BD%E6%B7%A1%E6%96%91%E7%B2%BE%E8%8F%AF-154703681765376?itemId=154704084451328&vendorItemId=154704474505216&sourceType=search&rank=12&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"PALMER'S 帕瑪氏 2W瞬效淡斑霜 全膚質, 75g, 3罐","$1,740",https://www.tw.coupang.com/products/PALMER'S-%E5%B8%95%E7%91%AA%E6%B0%8F-2W%E7%9E%AC%E6%95%88%E6%B7%A1%E6%96%91%E9%9C%9C-%E5%85%A8%E8%86%9A%E8%B3%AA-276193853030401?itemId=385318645612544&vendorItemId=385318641401857&sourceType=search&rank=13&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"HADALABO 肌研 白潤高效集中淡斑化妝水 潤澤型, 170ml, 3瓶",$647,https://www.tw.coupang.com/products/HADALABO-%E8%82%8C%E7%A0%94-%E7%99%BD%E6%BD%A4%E9%AB%98%E6%95%88%E9%9B%86%E4%B8%AD%E6%B7%A1%E6%96%91%E5%8C%96%E5%A6%9D%E6%B0%B4-%E6%BD%A4%E6%BE%A4%E5%9E%8B-268953431556100?itemId=465380594089998&vendorItemId=465380594122763&sourceType=search&rank=14&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"LEADERS 麗得姿 鎮定生物淡斑霜, 15ml, 1個",$338,https://www.tw.coupang.com/products/LEADERS-%E9%BA%97%E5%BE%97%E5%A7%BF-%E9%8E%AE%E5%AE%9A%E7%94%9F%E7%89%A9%E6%B7%A1%E6%96%91%E9%9C%9C-21008252666994?itemId=21023821524026&vendorItemId=21091045002222&sourceType=search&rank=15&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"FATION 梅拉賽羅淡斑霜, 50ml, 1個",$737,https://www.tw.coupang.com/products/FATION-%E6%A2%85%E6%8B%89%E8%B3%BD%E7%BE%85%E6%B7%A1%E6%96%91%E9%9C%9C-21008134831929?itemId=21023106442596&vendorItemId=21090139736310&sourceType=search&rank=16&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"Dr.vium Glutacica淡斑霜, 1個, 60ml",$465,https://www.tw.coupang.com/products/Dr.vium-Glutacica%E6%B7%A1%E6%96%91%E9%9C%9C-21007584750362?itemId=21020029213870&vendorItemId=21087622309698&sourceType=search&rank=17&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"AHC 淨光無瑕淡斑精華, 30ml, 1瓶",$520,https://www.tw.coupang.com/products/AHC-%E6%B7%A8%E5%85%89%E7%84%A1%E7%91%95%E6%B7%A1%E6%96%91%E7%B2%BE%E8%8F%AF-278763564646412?itemId=278764621643787&vendorItemId=278764621643784&sourceType=search&rank=18&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"Coréana 發酵亮白斑點精華, 20ml, 1入",$135,https://www.tw.coupang.com/products/Cor%C3%A9ana-%E7%99%BC%E9%85%B5%E4%BA%AE%E7%99%BD%E6%96%91%E9%BB%9E%E7%B2%BE%E8%8F%AF-21000226260101?itemId=21000143994446&vendorItemId=21003314590157&sourceType=search&rank=19&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"LEADERS 麗得姿 鎮定生物淡斑霜, 15ml, 2個",$536,https://www.tw.coupang.com/products/LEADERS-%E9%BA%97%E5%BE%97%E5%A7%BF-%E9%8E%AE%E5%AE%9A%E7%94%9F%E7%89%A9%E6%B7%A1%E6%96%91%E9%9C%9C-21008252666994?itemId=21023761522404&vendorItemId=21091051950335&sourceType=search&rank=20&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"AHC H Mela Root淡斑提亮面霜, 50ml, 1罐",$440,https://www.tw.coupang.com/products/AHC-H-Mela-Root%E6%B7%A1%E6%96%91%E6%8F%90%E4%BA%AE%E9%9D%A2%E9%9C%9C-21007844576070?itemId=21021364400458&vendorItemId=21075361193301&sourceType=search&rank=21&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"Botanicsens 淡斑亮白霜, 65ml, 1組",$774,https://www.tw.coupang.com/products/Botanicsens-%E6%B7%A1%E6%96%91%E4%BA%AE%E7%99%BD%E9%9C%9C-21005469341523?itemId=21008398972718&vendorItemId=21075686646581&sourceType=search&rank=22&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"DERMAFIRM 積雪草AC淡斑霜, 1個, 15g",$496,https://www.tw.coupang.com/products/DERMAFIRM-%E7%A9%8D%E9%9B%AA%E8%8D%89AC%E6%B7%A1%E6%96%91%E9%9C%9C-21007544328967?itemId=21019839861597&vendorItemId=21087019970217&sourceType=search&rank=23&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"Coréana 發酵亮白斑點精華, 20ml, 2入",$270,https://www.tw.coupang.com/products/Cor%C3%A9ana-%E7%99%BC%E9%85%B5%E4%BA%AE%E7%99%BD%E6%96%91%E9%BB%9E%E7%B2%BE%E8%8F%AF-21000226260101?itemId=21000716827922&vendorItemId=21004814732440&sourceType=search&rank=24&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"PALMER'S 帕瑪氏 2W瞬效淡斑霜 全膚質, 75g, 4罐","$2,320",https://www.tw.coupang.com/products/PALMER'S-%E5%B8%95%E7%91%AA%E6%B0%8F-2W%E7%9E%AC%E6%95%88%E6%B7%A1%E6%96%91%E9%9C%9C-%E5%85%A8%E8%86%9A%E8%B3%AA-276193853030401?itemId=385318138134541&vendorItemId=385318138118152&sourceType=search&rank=25&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"曼秀雷敦 液體隱形痘痘貼, 18g, 1支",$232,https://www.tw.coupang.com/products/%E6%9B%BC%E7%A7%80%E9%9B%B7%E6%95%A6-%E6%B6%B2%E9%AB%94%E9%9A%B1%E5%BD%A2%E7%97%98%E7%97%98%E8%B2%BC-21005320134283?itemId=21007735470505&vendorItemId=21075025622586&sourceType=search&rank=26&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"DHC 極光淡斑精華霜 台灣公司貨, 50g, 3罐","$2,586",https://www.tw.coupang.com/products/DHC-%E6%A5%B5%E5%85%89%E6%B7%A1%E6%96%91%E7%B2%BE%E8%8F%AF%E9%9C%9C-%E5%8F%B0%E7%81%A3%E5%85%AC%E5%8F%B8%E8%B2%A8-270392153309186?itemId=282713638518796&vendorItemId=282714699710465&sourceType=search&rank=27&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"PALMER'S 帕瑪氏 2W瞬效淡斑霜 夜霜, 75g, 3罐","$1,704",https://www.tw.coupang.com/products/PALMER'S-%E5%B8%95%E7%91%AA%E6%B0%8F-2W%E7%9E%AC%E6%95%88%E6%B7%A1%E6%96%91%E9%9C%9C-%E5%A4%9C%E9%9C%9C-276194805121036?itemId=383158147055619&vendorItemId=383158147072000&sourceType=search&rank=28&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"LEADERS 麗得姿 肌膚舒緩淡斑護理霜, 50ml, 2個","$1,000",https://www.tw.coupang.com/products/LEADERS-%E9%BA%97%E5%BE%97%E5%A7%BF-%E8%82%8C%E8%86%9A%E8%88%92%E7%B7%A9%E6%B7%A1%E6%96%91%E8%AD%B7%E7%90%86%E9%9C%9C-21008134843959?itemId=21023106558763&vendorItemId=21090139851399&sourceType=search&rank=29&searchId=9af12cc179c343139a14d2eaae73e324&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"PALMER'S 帕瑪氏 2W瞬效淡斑潔顏慕絲, 150ml, 1瓶",$246,https://www.tw.coupang.com/products/PALMER'S-%E5%B8%95%E7%91%AA%E6%B0%8F-2W%E7%9E%AC%E6%95%88%E6%B7%A1%E6%96%91%E6%BD%94%E9%A1%8F%E6%85%95%E7%B5%B2-276207614509067?itemId=276208667312135&vendorItemId=276209623597065&sourceType=search&rank=&searchId=0a4238387e654daa95f4ce5ed872b6c4&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"LEADERS 麗得姿 鎮定生物淡斑霜, 15ml, 3個",$804,https://www.tw.coupang.com/products/LEADERS-%E9%BA%97%E5%BE%97%E5%A7%BF-%E9%8E%AE%E5%AE%9A%E7%94%9F%E7%89%A9%E6%B7%A1%E6%96%91%E9%9C%9C-21008252666994?itemId=21023761522402&vendorItemId=21091051950333&sourceType=search&rank=1&searchId=0a4238387e654daa95f4ce5ed872b6c4&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"LEADERS 麗得姿 鎮定生物淡斑霜, 15ml, 4個","$1,072",https://www.tw.coupang.com/products/LEADERS-%E9%BA%97%E5%BE%97%E5%A7%BF-%E9%8E%AE%E5%AE%9A%E7%94%9F%E7%89%A9%E6%B7%A1%E6%96%91%E9%9C%9C-21008252666994?itemId=21024031553102&vendorItemId=21091051950382&sourceType=search&rank=2&searchId=0a4238387e654daa95f4ce5ed872b6c4&q=%E6%B7%A1%E6%96%91%E9%9C%9C
"DHC 極光淡斑精華霜 台灣公司貨, 50g, 2罐","$1,724",https://www.tw.coupang.com/products/DHC-%E6%A5%B5%E5%85%89%E6%B7%A1%E6%96%91%E7%B2%BE%E8%8F%AF%E9%9C%9C-%E5%8F%B0%E7%81%A3%E5%85%AC%E5%8F%B8%E8%B2%A8-270392153309186?itemId=282714699710469&vendorItemId=282713638518791&sourceType=search&rank=3&searchId=0a4238387e654daa95f4ce5ed872b6c4&q=%E6%B7%A1%E6%96%91%E9%9C%9C
