product_name,product_price,product_url
"Kinyo 電子式溫溼度計 TC-14, 單色, 1個",$105,https://www.tw.coupang.com/products/Kinyo-%E9%9B%BB%E5%AD%90%E5%BC%8F%E6%BA%AB%E6%BA%BC%E5%BA%A6%E8%A8%88-TC-14-150831865249796?itemId=150832234332172&vendorItemId=150831483535365&sourceType=search&rank=&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
"CAS 數位溫濕度計 T023, 白色, 1入",$264,https://www.tw.coupang.com/products/CAS-%E6%95%B8%E4%BD%8D%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-T023-158379246845972?itemId=158378840014870&vendorItemId=158378416357386&sourceType=search&rank=1&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
"Lab N Tools 迷你袖珍數字溫濕度計, 1個, 混色",$48,https://www.tw.coupang.com/products/Lab-N-Tools-%E8%BF%B7%E4%BD%A0%E8%A2%96%E7%8F%8D%E6%95%B8%E5%AD%97%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-21007123665378?itemId=21017842810016&vendorItemId=21085006369863&sourceType=search&rank=2&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
"LAB N TOOLS 數字台式溫濕度計 HTC-1, 黑色的, 1個",$53,https://www.tw.coupang.com/products/LAB-N-TOOLS-%E6%95%B8%E5%AD%97%E5%8F%B0%E5%BC%8F%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-HTC-1-21006458121960?itemId=21017252580747&vendorItemId=21084423975129&sourceType=search&rank=3&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
"溫濕度電子鬧鐘 不透明款 有背光燈 CAHW0004WTB, 1個",$136,https://www.tw.coupang.com/products/%E6%BA%AB%E6%BF%95%E5%BA%A6%E9%9B%BB%E5%AD%90%E9%AC%A7%E9%90%98-%E4%B8%8D%E9%80%8F%E6%98%8E%E6%AC%BE-%E6%9C%89%E8%83%8C%E5%85%89%E7%87%88-CAHW0004WTB-469035313496069?itemId=469035313496070&vendorItemId=469035313479686&sourceType=search&rank=4&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
"CAS 電子溫濕度計, 白色, 1入",$226,https://www.tw.coupang.com/products/CAS-%E9%9B%BB%E5%AD%90%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-21000072986941?itemId=21000243287302&vendorItemId=21071474316987&sourceType=search&rank=5&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
"方型超大面板溫濕度計, 1個",$105,https://www.tw.coupang.com/products/%E6%96%B9%E5%9E%8B%E8%B6%85%E5%A4%A7%E9%9D%A2%E6%9D%BF%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-468554054828037?itemId=468554054877192&vendorItemId=468554054877188&sourceType=search&rank=6&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
"TANITA 塔尼達 指針式溫濕度計 TT-515 130 x 130mm 藍色 130g, 1個",$380,https://www.tw.coupang.com/products/TANITA-%E5%A1%94%E5%B0%BC%E9%81%94-%E6%8C%87%E9%87%9D%E5%BC%8F%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-TT-515-130-x-130mm-%E8%97%8D%E8%89%B2-130g-474007392419848?itemId=474007392436232&vendorItemId=474007392436230&sourceType=search&rank=7&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
"超薄簡約溫濕度電子鐘 CAHW0005WT M(8.1 x 7.1 x 0.9cm), 1盒",$126,https://www.tw.coupang.com/products/%E8%B6%85%E8%96%84%E7%B0%A1%E7%B4%84%E6%BA%AB%E6%BF%95%E5%BA%A6%E9%9B%BB%E5%AD%90%E9%90%98-CAHW0005WT-M(8.1-x-7.1-x-0.9cm)-469035401592834?itemId=469035401576451&vendorItemId=469035397398538&sourceType=search&rank=8&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
"Kinyo 多合一時間溫濕度計, TC-19, 1個",$171,https://www.tw.coupang.com/products/Kinyo-%E5%A4%9A%E5%90%88%E4%B8%80%E6%99%82%E9%96%93%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88-467854323335175?itemId=467854323302403&vendorItemId=467854323286019&sourceType=search&rank=9&searchId=d43bd94064fd4877981e42c8078e8d18&q=%E6%BA%AB%E6%BF%95%E5%BA%A6%E8%A8%88
