product_name,product_price,product_url
"掬水軒 營養口糧, 140g, 30包",$390,https://www.tw.coupang.com/products/%E6%8E%AC%E6%B0%B4%E8%BB%92-%E7%87%9F%E9%A4%8A%E5%8F%A3%E7%B3%A7-268996351852550?itemId=268994372124679&vendorItemId=268996351852548&sourceType=search&rank=&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
"台灣四秀 竹山冬筍餅, 120g, 3包",$67,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%9B%9B%E7%A7%80-%E7%AB%B9%E5%B1%B1%E5%86%AC%E7%AD%8D%E9%A4%85-159576783552531?itemId=371877360926729&vendorItemId=371877360910343&sourceType=search&rank=1&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
"掬水軒 ㄋㄟㄋㄟ補給站, 174g, 3盒",$105,https://www.tw.coupang.com/products/%E6%8E%AC%E6%B0%B4%E8%BB%92-%E3%84%8B%E3%84%9F%E3%84%8B%E3%84%9F%E8%A3%9C%E7%B5%A6%E7%AB%99-458512412934152?itemId=468995606036487&vendorItemId=468995606003713&sourceType=search&rank=2&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
"喜年來 紅麴薄餅, 120g, 3盒",$114,https://www.tw.coupang.com/products/%E5%96%9C%E5%B9%B4%E4%BE%86-%E7%B4%85%E9%BA%B4%E8%96%84%E9%A4%85-163435983650818?itemId=367548449112074&vendorItemId=367548449112072&sourceType=search&rank=3&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
"喜年來 蔬菜餅乾 植物五辛素, 80g, 3盒",$90,https://www.tw.coupang.com/products/%E5%96%9C%E5%B9%B4%E4%BE%86-%E8%94%AC%E8%8F%9C%E9%A4%85%E4%B9%BE-%E6%A4%8D%E7%89%A9%E4%BA%94%E8%BE%9B%E7%B4%A0-230816747585537?itemId=384603172847620&vendorItemId=384603172880386&sourceType=search&rank=4&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
"HAITAI 海太 營養餅乾, 197g, 2盒",$95,https://www.tw.coupang.com/products/HAITAI-%E6%B5%B7%E5%A4%AA-%E7%87%9F%E9%A4%8A%E9%A4%85%E4%B9%BE-152305198383121?itemId=382055988838415&vendorItemId=382055988838412&sourceType=search&rank=5&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
"北田 蒟蒻糙米捲 牛奶, 160g, 3袋",$123,https://www.tw.coupang.com/products/%E5%8C%97%E7%94%B0-%E8%92%9F%E8%92%BB%E7%B3%99%E7%B1%B3%E6%8D%B2-%E7%89%9B%E5%A5%B6-151928260509704?itemId=371877222514693&vendorItemId=371877222514690&sourceType=search&rank=6&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
"福義軒 湘辣蘇打餅, 306g, 2袋",$170,https://www.tw.coupang.com/products/%E7%A6%8F%E7%BE%A9%E8%BB%92-%E6%B9%98%E8%BE%A3%E8%98%87%E6%89%93%E9%A4%85-164163674406915?itemId=281262480654338&vendorItemId=281262480654336&sourceType=search&rank=7&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
"福義軒 紅麴薄餅 奶素, 25g, 3包",$27,https://www.tw.coupang.com/products/%E7%A6%8F%E7%BE%A9%E8%BB%92-%E7%B4%85%E9%BA%B4%E8%96%84%E9%A4%85-%E5%A5%B6%E7%B4%A0-277691508932609?itemId=390744917360649&vendorItemId=390744917344256&sourceType=search&rank=8&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
"自然原素 漢方蜂梨潤喉糖, 180g, 1罐",$89,https://www.tw.coupang.com/products/%E8%87%AA%E7%84%B6%E5%8E%9F%E7%B4%A0-%E6%BC%A2%E6%96%B9%E8%9C%82%E6%A2%A8%E6%BD%A4%E5%96%89%E7%B3%96-463919005024258?itemId=463919005007875&vendorItemId=463919004975105&sourceType=search&rank=9&searchId=9f4f1a623165454d9302f75e18c1c8eb&q=%E6%BC%A2%E6%AD%A3%E8%BB%92
