product_name,product_price,product_url
"潔霜 S浴廁專用清潔劑, 650g, 3瓶",$63,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S%E6%B5%B4%E5%BB%81%E5%B0%88%E7%94%A8%E6%B8%85%E6%BD%94%E5%8A%91-258809935151109?itemId=260985956827138&vendorItemId=260984056791062&sourceType=search&rank=&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 S 浴廁劑 亮潔檸檬, 1050g, 4瓶",$141,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%B5%B4%E5%BB%81%E5%8A%91-%E4%BA%AE%E6%BD%94%E6%AA%B8%E6%AA%AC-258810841104385?itemId=260985218646020&vendorItemId=260986112016385&sourceType=search&rank=1&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 1桶",$103,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E6%BD%94%E6%B7%A8%E6%9D%8F%E9%A6%99-258808945262596?itemId=258808945262598&vendorItemId=154480075063296&sourceType=search&rank=2&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 S 浴廁強效清潔劑 清新薄荷, 1050g, 2瓶",$75,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%B5%B4%E5%BB%81%E5%BC%B7%E6%95%88%E6%B8%85%E6%BD%94%E5%8A%91-%E6%B8%85%E6%96%B0%E8%96%84%E8%8D%B7-258808945262595?itemId=263884157976585&vendorItemId=263884157976583&sourceType=search&rank=3&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 免刷洗馬桶清潔劑 百花清香, 500ml, 3瓶",$108,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E5%85%8D%E5%88%B7%E6%B4%97%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-%E7%99%BE%E8%8A%B1%E6%B8%85%E9%A6%99-257315349430275?itemId=258099449380934&vendorItemId=258100435075082&sourceType=search&rank=4&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 S 濃縮超強效浴廁清潔劑 淨白青蘋, 1050g, 3瓶",$183,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%BF%83%E7%B8%AE%E8%B6%85%E5%BC%B7%E6%95%88%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E6%B7%A8%E7%99%BD%E9%9D%92%E8%98%8B-258810815938562?itemId=260986007158831&vendorItemId=260986007158815&sourceType=search&rank=5&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 免刷洗馬桶清潔劑 青檸, 500ml, 4瓶",$130,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E5%85%8D%E5%88%B7%E6%B4%97%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-%E9%9D%92%E6%AA%B8-257313495531526?itemId=258099470352393&vendorItemId=258099470352384&sourceType=search&rank=6&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 芳香浴廁清潔劑 綠茶馨香, 750g, 3瓶",$91,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E8%8A%B3%E9%A6%99%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E7%B6%A0%E8%8C%B6%E9%A6%A8%E9%A6%99-257314498002961?itemId=258099449380907&vendorItemId=258100430880812&sourceType=search&rank=7&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 芳香浴廁清潔劑 薰衣草花園, 750g, 5瓶",$165,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E8%8A%B3%E9%A6%99%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E8%96%B0%E8%A1%A3%E8%8D%89%E8%8A%B1%E5%9C%92-257314498002956?itemId=258099520684063&vendorItemId=258101382971437&sourceType=search&rank=8&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 2桶",$254,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E6%BD%94%E6%B7%A8%E6%9D%8F%E9%A6%99-258808945262596?itemId=263099986690055&vendorItemId=263100997550082&sourceType=search&rank=9&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 S 浴廁劑 亮潔檸檬, 1050g, 2瓶",$75,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%B5%B4%E5%BB%81%E5%8A%91-%E4%BA%AE%E6%BD%94%E6%AA%B8%E6%AA%AC-258810841104385?itemId=260986044907525&vendorItemId=260984149065730&sourceType=search&rank=10&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 S浴廁專用清潔劑, 650g, 4瓶",$93,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S%E6%B5%B4%E5%BB%81%E5%B0%88%E7%94%A8%E6%B8%85%E6%BD%94%E5%8A%91-258809935151109?itemId=260985059262494&vendorItemId=260985952632850&sourceType=search&rank=11&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 芳香浴廁清潔劑 清新皂香, 750g, 3瓶",$91,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E8%8A%B3%E9%A6%99%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E6%B8%85%E6%96%B0%E7%9A%82%E9%A6%99-257315395567618?itemId=258099445186576&vendorItemId=258101311668227&sourceType=search&rank=12&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 芳香浴廁清潔劑 薰衣草花園, 750g, 3瓶",$99,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E8%8A%B3%E9%A6%99%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E8%96%B0%E8%A1%A3%E8%8D%89%E8%8A%B1%E5%9C%92-257314498002956?itemId=258101315862546&vendorItemId=258101311668280&sourceType=search&rank=13&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 地板清潔劑 薰衣草, 2kg, 2桶",$139,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E5%9C%B0%E6%9D%BF%E6%B8%85%E6%BD%94%E5%8A%91-%E8%96%B0%E8%A1%A3%E8%8D%89-257310890868742?itemId=258099386466318&vendorItemId=258099386466306&sourceType=search&rank=14&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 廚房強力清潔劑 加侖桶, 3860cc, 1桶",$93,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E5%BB%9A%E6%88%BF%E5%BC%B7%E5%8A%9B%E6%B8%85%E6%BD%94%E5%8A%91-%E5%8A%A0%E4%BE%96%E6%A1%B6-280113463656448?itemId=270337795145732&vendorItemId=270336742342660&sourceType=search&rank=15&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 S 浴廁強效清潔劑 潔淨杏香, 1050g, 12瓶",$465,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%B5%B4%E5%BB%81%E5%BC%B7%E6%95%88%E6%B8%85%E6%BD%94%E5%8A%91-%E6%BD%94%E6%B7%A8%E6%9D%8F%E9%A6%99-257707860787204?itemId=286618187415558&vendorItemId=286620213280771&sourceType=search&rank=16&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 強效免刷洗濃縮浴廁清潔劑 潔淨檸檬, 750g, 2瓶",$118,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E5%BC%B7%E6%95%88%E5%85%8D%E5%88%B7%E6%B4%97%E6%BF%83%E7%B8%AE%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E6%BD%94%E6%B7%A8%E6%AA%B8%E6%AA%AC-230107511767043?itemId=271138399666176&vendorItemId=271139448274944&sourceType=search&rank=17&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
"潔霜 S 浴室強效清潔劑 噴槍, 750ml, 2瓶",$150,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%B5%B4%E5%AE%A4%E5%BC%B7%E6%95%88%E6%B8%85%E6%BD%94%E5%8A%91-%E5%99%B4%E6%A7%8D-154480070868996?itemId=277691408269318&vendorItemId=277692461072385&sourceType=search&rank=18&searchId=98f840d77d2441dbbc1cf489567df342&q=%E6%BD%94%E9%9C%9C
