product_name,product_price,product_url
"EVERLIGHT 億光 超節能 高亮度LED燈泡 11.8W, 白光 6500K, 1個",$93,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-%E8%B6%85%E7%AF%80%E8%83%BD-%E9%AB%98%E4%BA%AE%E5%BA%A6LED%E7%87%88%E6%B3%A1-11.8W-453693598023685?itemId=453693602201607&vendorItemId=453693602234370&sourceType=search&rank=&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"ADATA 威剛 LED 14W球泡燈 1890lm, 白光, 4個",$380,https://www.tw.coupang.com/products/ADATA-%E5%A8%81%E5%89%9B-LED-14W%E7%90%83%E6%B3%A1%E7%87%88-1890lm-214875674460183?itemId=321787803959296&vendorItemId=321787799748615&sourceType=search&rank=1&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"威剛 13W 大廣角高效LED燈泡, 自然光, 2個",$150,https://www.tw.coupang.com/products/%E5%A8%81%E5%89%9B-13W-%E5%A4%A7%E5%BB%A3%E8%A7%92%E9%AB%98%E6%95%88LED%E7%87%88%E6%B3%A1-474092155158528?itemId=474092155142144&vendorItemId=474092150947844&sourceType=search&rank=2&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"PHILIPS LED stick 燈泡 E27 9W 6500K, 白光, 1個",$116,https://www.tw.coupang.com/products/PHILIPS-LED-stick-%E7%87%88%E6%B3%A1-E27-9W-6500K-468931772891142?itemId=468931772874759&vendorItemId=468931772923908&sourceType=search&rank=3&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"聲億科技 13W 超廣角LED燈泡, 自然光, 1個",$83,https://www.tw.coupang.com/products/%E8%81%B2%E5%84%84%E7%A7%91%E6%8A%80-13W-%E8%B6%85%E5%BB%A3%E8%A7%92LED%E7%87%88%E6%B3%A1-470850868297733?itemId=470850868297734&vendorItemId=470850868314115&sourceType=search&rank=4&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"EVERLIGHT 億光 超節能 高亮度 LED照明燈泡 11.8W, 自然光, 1個",$93,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-%E8%B6%85%E7%AF%80%E8%83%BD-%E9%AB%98%E4%BA%AE%E5%BA%A6-LED%E7%85%A7%E6%98%8E%E7%87%88%E6%B3%A1-11.8W-453693598023685?itemId=453693598007299&vendorItemId=453693598040067&sourceType=search&rank=5&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"ADATA 威剛 LED高效能球泡燈 8W, 白光, 4個",$262,https://www.tw.coupang.com/products/ADATA-%E5%A8%81%E5%89%9B-LED%E9%AB%98%E6%95%88%E8%83%BD%E7%90%83%E6%B3%A1%E7%87%88-8W-169659617722390?itemId=318224482664452&vendorItemId=318223526379526&sourceType=search&rank=6&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"ADATA 威剛 LED 14W球泡燈 1890lm, 白光, 2個",$190,https://www.tw.coupang.com/products/ADATA-%E5%A8%81%E5%89%9B-LED-14W%E7%90%83%E6%B3%A1%E7%87%88-1890lm-214875674460183?itemId=331563287953414&vendorItemId=331563287920643&sourceType=search&rank=7&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"KAOS LED 高亮度燈泡 省電燈泡 15W, 白光, 1個",$80,https://www.tw.coupang.com/products/KAOS-LED-%E9%AB%98%E4%BA%AE%E5%BA%A6%E7%87%88%E6%B3%A1-%E7%9C%81%E9%9B%BB%E7%87%88%E6%B3%A1-15W-464290779693060?itemId=464290779709444&vendorItemId=464290779725825&sourceType=search&rank=8&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"美國TCP 13W 高CP值節能燈泡 6500K 10入, 白光, 1組",$732,https://www.tw.coupang.com/products/%E7%BE%8E%E5%9C%8BTCP-13W-%E9%AB%98CP%E5%80%BC%E7%AF%80%E8%83%BD%E7%87%88%E6%B3%A1-6500K-10%E5%85%A5-471515514503170?itemId=471515514470404&vendorItemId=471515514519552&sourceType=search&rank=9&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
"TATUNG 大同 16W LED節能燈泡, 白光, 1個",$89,https://www.tw.coupang.com/products/TATUNG-%E5%A4%A7%E5%90%8C-16W-LED%E7%AF%80%E8%83%BD%E7%87%88%E6%B3%A1-463222951886853?itemId=463222951854085&vendorItemId=463222951837699&sourceType=search&rank=10&searchId=0facebb11e654defb859f8d516261768&q=%E7%87%88%E6%B3%A1
