product_name,product_price,product_url
BANGE 多功能型男後背包 1.1kg,"$1,190",https://www.tw.coupang.com/products/BANGE-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%9E%8B%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85-1.1kg-471109858197513?itemId=471109858213896&vendorItemId=471109858197508&sourceType=search&rank=&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
半島良品 英倫風小學生減壓護脊書包,$556,https://www.tw.coupang.com/products/%E5%8D%8A%E5%B3%B6%E8%89%AF%E5%93%81-%E8%8B%B1%E5%80%AB%E9%A2%A8%E5%B0%8F%E5%AD%B8%E7%94%9F%E6%B8%9B%E5%A3%93%E8%AD%B7%E8%84%8A%E6%9B%B8%E5%8C%85-476959557533705?itemId=476959557500940&vendorItemId=476959557484557&sourceType=search&rank=1&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
KiKimmy 多功能減壓護脊兒童輕量書包 MP-110E,$791,https://www.tw.coupang.com/products/KiKimmy-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B8%9B%E5%A3%93%E8%AD%B7%E8%84%8A%E5%85%92%E7%AB%A5%E8%BC%95%E9%87%8F%E6%9B%B8%E5%8C%85-MP-110E-455196995960832?itemId=455196995960833&vendorItemId=455196991766531&sourceType=search&rank=2&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
"OSPREY 男款Volt 45大型後背包 45L, 靜音太空藍","$5,581",https://www.tw.coupang.com/products/OSPREY-%E7%94%B7%E6%AC%BEVolt-45%E5%A4%A7%E5%9E%8B%E5%BE%8C%E8%83%8C%E5%8C%85-45L-21008144796991?itemId=21023154703319&vendorItemId=21090187526620&sourceType=search&rank=3&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
ADDEDIT 男款素色後背包,"$1,064",https://www.tw.coupang.com/products/ADDEDIT-%E7%94%B7%E6%AC%BE%E7%B4%A0%E8%89%B2%E5%BE%8C%E8%83%8C%E5%8C%85-21006687816141?itemId=21015444644534&vendorItemId=21070694776994&sourceType=search&rank=4&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
變形英雄男童超輕減壓護脊書包 2~6年級適用,$505,https://www.tw.coupang.com/products/%E8%AE%8A%E5%BD%A2%E8%8B%B1%E9%9B%84%E7%94%B7%E7%AB%A5%E8%B6%85%E8%BC%95%E6%B8%9B%E5%A3%93%E8%AD%B7%E8%84%8A%E6%9B%B8%E5%8C%85-2~6%E5%B9%B4%E7%B4%9A%E9%81%A9%E7%94%A8-473319660830721?itemId=473319660830722&vendorItemId=473319660781571&sourceType=search&rank=5&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
角落小夥伴 英倫成長大童書包 G110PK,"$1,121",https://www.tw.coupang.com/products/%E8%A7%92%E8%90%BD%E5%B0%8F%E5%A4%A5%E4%BC%B4-%E8%8B%B1%E5%80%AB%E6%88%90%E9%95%B7%E5%A4%A7%E7%AB%A5%E6%9B%B8%E5%8C%85-G110PK-470444016648192?itemId=470444016615426&vendorItemId=470444012437512&sourceType=search&rank=6&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
"NK ELMNTL BKPK HBR 黑後背包, 1個","$1,130",https://www.tw.coupang.com/products/NK-ELMNTL-BKPK-HBR-%E9%BB%91%E5%BE%8C%E8%83%8C%E5%8C%85-475908330700811?itemId=475908330733578&vendorItemId=475908330684422&sourceType=search&rank=7&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
BEATRIX NEW YORK 英倫風兒童防潑水護脊書包,"$1,337",https://www.tw.coupang.com/products/BEATRIX-NEW-YORK-%E8%8B%B1%E5%80%AB%E9%A2%A8%E5%85%92%E7%AB%A5%E9%98%B2%E6%BD%91%E6%B0%B4%E8%AD%B7%E8%84%8A%E6%9B%B8%E5%8C%85-465738930274312?itemId=465738930274313&vendorItemId=465738930257927&sourceType=search&rank=8&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
beatrix NEW YORK 英倫風兒童防潑水護脊書包 120~150cm 6歲以上,"$1,332",https://www.tw.coupang.com/products/beatrix-NEW-YORK-%E8%8B%B1%E5%80%AB%E9%A2%A8%E5%85%92%E7%AB%A5%E9%98%B2%E6%BD%91%E6%B0%B4%E8%AD%B7%E8%84%8A%E6%9B%B8%E5%8C%85-120~150cm-6%E6%AD%B2%E4%BB%A5%E4%B8%8A-465738942889995?itemId=465738942873612&vendorItemId=465738942873609&sourceType=search&rank=9&searchId=2a7b11c5504a4395864d6fcb11c1aa28&q=%E7%94%B7%E5%BE%8C%E8%83%8C%E5%8C%85%20%E8%8B%B1%E5%80%AB
