product_name,product_price,product_url
"第一石鹼 馬桶清潔劑, 500ml, 4瓶",$108,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-331989366325248?itemId=331989366308864&vendorItemId=331989366292480&sourceType=search&rank=&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"第一石鹼 馬桶清潔劑, 日本版, 500ml, 24瓶",$648,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-154041044680706?itemId=376577900658688&vendorItemId=376577896415232&sourceType=search&rank=1&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"Kao 花王 Magiclean 魔術靈 馬桶殺菌瞬潔清潔劑, 500ml, 6瓶",$250,https://www.tw.coupang.com/products/Kao-%E8%8A%B1%E7%8E%8B-Magiclean-%E9%AD%94%E8%A1%93%E9%9D%88-%E9%A6%AC%E6%A1%B6%E6%AE%BA%E8%8F%8C%E7%9E%AC%E6%BD%94%E6%B8%85%E6%BD%94%E5%8A%91-259163917615106?itemId=263100112519185&vendorItemId=263100112519174&sourceType=search&rank=2&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"Mitsuei 美淨易 馬桶清潔劑, 500ml, 4瓶",$106,https://www.tw.coupang.com/products/Mitsuei-%E7%BE%8E%E6%B7%A8%E6%98%93-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-347260994912256?itemId=382417655283713&vendorItemId=382417655250944&sourceType=search&rank=3&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"第一石鹼 馬桶清潔劑, 500ml, 12瓶",$324,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-331989366325248?itemId=359991517085696&vendorItemId=359991512907778&sourceType=search&rank=4&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"Kao 花王 Magiclean 魔術靈 馬桶清潔劑 噴槍瓶裝 強力消臭清潔 高密著泡泡 草本消臭, 500ml, 2瓶",$148,https://www.tw.coupang.com/products/Kao-%E8%8A%B1%E7%8E%8B-Magiclean-%E9%AD%94%E8%A1%93%E9%9D%88-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-%E5%99%B4%E6%A7%8D%E7%93%B6%E8%A3%9D-%E5%BC%B7%E5%8A%9B%E6%B6%88%E8%87%AD%E6%B8%85%E6%BD%94-%E9%AB%98%E5%AF%86%E8%91%97%E6%B3%A1%E6%B3%A1-%E8%8D%89%E6%9C%AC%E6%B6%88%E8%87%AD-263512202919940?itemId=390741293481987&vendorItemId=390741293481984&sourceType=search&rank=5&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"第一石鹼 馬桶清潔劑, 日本版, 500ml, 72瓶","$1,944",https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-154041044680706?itemId=425897194668034&vendorItemId=425897194618880&sourceType=search&rank=6&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"潔霜 免刷洗馬桶清潔劑 百花清香, 500ml, 3瓶",$108,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E5%85%8D%E5%88%B7%E6%B4%97%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-%E7%99%BE%E8%8A%B1%E6%B8%85%E9%A6%99-257315349430275?itemId=258099449380934&vendorItemId=258100435075082&sourceType=search&rank=7&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"Kao 花王 Magiclean 魔術靈 馬桶殺菌瞬潔清潔劑, 500ml, 4瓶",$180,https://www.tw.coupang.com/products/Kao-%E8%8A%B1%E7%8E%8B-Magiclean-%E9%AD%94%E8%A1%93%E9%9D%88-%E9%A6%AC%E6%A1%B6%E6%AE%BA%E8%8F%8C%E7%9E%AC%E6%BD%94%E6%B8%85%E6%BD%94%E5%8A%91-259163917615106?itemId=263102004166664&vendorItemId=263102004166659&sourceType=search&rank=8&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"第一石鹼 馬桶清潔劑, 500ml, 8瓶",$216,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-331989366325248?itemId=344669607133185&vendorItemId=344669602955265&sourceType=search&rank=9&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"Kao 花王 Magiclean 魔術靈 馬桶殺菌瞬潔清潔劑 檸檬香, 500ml, 2瓶",$99,https://www.tw.coupang.com/products/Kao-%E8%8A%B1%E7%8E%8B-Magiclean-%E9%AD%94%E8%A1%93%E9%9D%88-%E9%A6%AC%E6%A1%B6%E6%AE%BA%E8%8F%8C%E7%9E%AC%E6%BD%94%E6%B8%85%E6%BD%94%E5%8A%91-%E6%AA%B8%E6%AA%AC%E9%A6%99-258390416670728?itemId=260200690827265&vendorItemId=260201684910092&sourceType=search&rank=10&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"潔霜 免刷洗馬桶清潔劑 青檸, 500ml, 4瓶",$130,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-%E5%85%8D%E5%88%B7%E6%B4%97%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-%E9%9D%92%E6%AA%B8-257313495531526?itemId=258099470352393&vendorItemId=258099470352384&sourceType=search&rank=11&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"Kao 花王 Magiclean 魔術靈 高密泡馬桶清潔劑 柑橘消臭 噴槍式, 500ml, 2瓶",$134,https://www.tw.coupang.com/products/Kao-%E8%8A%B1%E7%8E%8B-Magiclean-%E9%AD%94%E8%A1%93%E9%9D%88-%E9%AB%98%E5%AF%86%E6%B3%A1%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-%E6%9F%91%E6%A9%98%E6%B6%88%E8%87%AD-%E5%99%B4%E6%A7%8D%E5%BC%8F-263513108873220?itemId=382056009809925&vendorItemId=382056009760772&sourceType=search&rank=12&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"妙管家 馬桶自動清潔劑 清新薄荷 5個入, 325g, 2組",$140,https://www.tw.coupang.com/products/%E5%A6%99%E7%AE%A1%E5%AE%B6-%E9%A6%AC%E6%A1%B6%E8%87%AA%E5%8B%95%E6%B8%85%E6%BD%94%E5%8A%91-%E6%B8%85%E6%96%B0%E8%96%84%E8%8D%B7-5%E5%80%8B%E5%85%A5-257737602613249?itemId=270680775950341&vendorItemId=270680775950336&sourceType=search&rank=13&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
"第一石鹼 馬桶清潔劑, 500ml, 16瓶",$432,https://www.tw.coupang.com/products/%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC-%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91-331989366325248?itemId=359991517069314&vendorItemId=359991512858628&sourceType=search&rank=14&searchId=62e9aafa20a848a2b371683bf4ffceb2&q=%E7%AC%AC%E4%B8%80%E7%9F%B3%E9%B9%BC%20%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%8A%91%20500mlx2%E5%85%A5
