product_name,product_price,product_url
Rulushu Running Up籃球鞋 BA151,$769,https://www.tw.coupang.com/products/Rulushu-Running-Up%E7%B1%83%E7%90%83%E9%9E%8B-BA151-21007623004811?itemId=21020214826258&vendorItemId=21087304686551&sourceType=search&rank=&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
魯路修兒童休閒時尚籃球鞋 BC115,$878,https://www.tw.coupang.com/products/%E9%AD%AF%E8%B7%AF%E4%BF%AE%E5%85%92%E7%AB%A5%E4%BC%91%E9%96%92%E6%99%82%E5%B0%9A%E7%B1%83%E7%90%83%E9%9E%8B-BC115-21007136518154?itemId=21017907965174&vendorItemId=21085070678687&sourceType=search&rank=1&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
Rulushu兒童款Saber籃球鞋 BA116,$731,https://www.tw.coupang.com/products/Rulushu%E5%85%92%E7%AB%A5%E6%AC%BESaber%E7%B1%83%E7%90%83%E9%9E%8B-BA116-21007536313922?itemId=21019800496068&vendorItemId=21086902853477&sourceType=search&rank=2&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
魯路修兒童火籃球鞋 RA174,$769,https://www.tw.coupang.com/products/%E9%AD%AF%E8%B7%AF%E4%BF%AE%E5%85%92%E7%AB%A5%E7%81%AB%E7%B1%83%E7%90%83%E9%9E%8B-RA174-21008312079675?itemId=21023985562834&vendorItemId=21091006631503&sourceType=search&rank=3&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
Under Armour 安德瑪 籃球鞋 UA SPAWN2,"$2,737",https://www.tw.coupang.com/products/Under-Armour-%E5%AE%89%E5%BE%B7%E7%91%AA-%E7%B1%83%E7%90%83%E9%9E%8B-UA-SPAWN2-21006746536326?itemId=21020214611032&vendorItemId=21087304480387&sourceType=search&rank=4&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
魯路修兒童力量籃球鞋 RA152,$816,https://www.tw.coupang.com/products/%E9%AD%AF%E8%B7%AF%E4%BF%AE%E5%85%92%E7%AB%A5%E5%8A%9B%E9%87%8F%E7%B1%83%E7%90%83%E9%9E%8B-RA152-21008297853843?itemId=21023912856141&vendorItemId=21090935204415&sourceType=search&rank=5&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
魯路修兒童 7-Up 籃球鞋 BC127,$618,https://www.tw.coupang.com/products/%E9%AD%AF%E8%B7%AF%E4%BF%AE%E5%85%92%E7%AB%A5-7-Up-%E7%B1%83%E7%90%83%E9%9E%8B-BC127-21007136517392?itemId=21017907961219&vendorItemId=21085070675717&sourceType=search&rank=6&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
Leon男款時尚高筒籃球鞋 JY264,"$1,392",https://www.tw.coupang.com/products/Leon%E7%94%B7%E6%AC%BE%E6%99%82%E5%B0%9A%E9%AB%98%E7%AD%92%E7%B1%83%E7%90%83%E9%9E%8B-JY264-21006687930828?itemId=21015445290565&vendorItemId=21082664906229&sourceType=search&rank=7&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
paperplanes 時尚綁帶運動鞋 PP1336,$757,https://www.tw.coupang.com/products/paperplanes-%E6%99%82%E5%B0%9A%E7%B6%81%E5%B8%B6%E9%81%8B%E5%8B%95%E9%9E%8B-PP1336-21000000867591?itemId=21000094246651&vendorItemId=21003652861695&sourceType=search&rank=8&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
Rulushu Jumping Star籃球鞋 BA149,$789,https://www.tw.coupang.com/products/Rulushu-Jumping-Star%E7%B1%83%E7%90%83%E9%9E%8B-BA149-21007589370503?itemId=21020051944817&vendorItemId=21087148156460&sourceType=search&rank=9&searchId=298189c441344562ad27d211c2d5e5cd&q=%E7%B1%83%E7%90%83%E9%9E%8B
