product_name,product_price,product_url
"High Tea 紅薑黃皇后茶, 2g, 12入, 1盒",$212,https://www.tw.coupang.com/products/High-Tea-%E7%B4%85%E8%96%91%E9%BB%83%E7%9A%87%E5%90%8E%E8%8C%B6-200011337941003?itemId=162465434255361&vendorItemId=162466302492672&sourceType=search&rank=&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"葡萄王 孅益薑黃複方膠囊, 0.55g, 30顆, 2盒",$297,https://www.tw.coupang.com/products/%E8%91%A1%E8%90%84%E7%8E%8B-%E5%AD%85%E7%9B%8A%E8%96%91%E9%BB%83%E8%A4%87%E6%96%B9%E8%86%A0%E5%9B%8A-459238425985024?itemId=475518877007874&vendorItemId=475518872829963&sourceType=search&rank=1&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"High Tea 伂橙 紅薑黃 博士茶, 2.2g, 12入, 2盒",$440,https://www.tw.coupang.com/products/High-Tea-%E4%BC%82%E6%A9%99-%E7%B4%85%E8%96%91%E9%BB%83-%E5%8D%9A%E5%A3%AB%E8%8C%B6-162465455226880?itemId=200011967070254&vendorItemId=200011367301151&sourceType=search&rank=2&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"High Tea 紅薑黃薰衣草茶包, 2g, 12包, 1盒",$227,https://www.tw.coupang.com/products/High-Tea-%E7%B4%85%E8%96%91%E9%BB%83%E8%96%B0%E8%A1%A3%E8%8D%89%E8%8C%B6%E5%8C%85-162465849524224?itemId=162465400700929&vendorItemId=162465845329920&sourceType=search&rank=3&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"High Tea 紅薑黃皇后茶, 2g, 12入, 2盒",$424,https://www.tw.coupang.com/products/High-Tea-%E7%B4%85%E8%96%91%E9%BB%83%E7%9A%87%E5%90%8E%E8%8C%B6-200011337941003?itemId=200010675208204&vendorItemId=200011937710082&sourceType=search&rank=4&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"葡萄王 孅益薑黃複方膠囊, 0.55g, 30顆, 6盒",$834,https://www.tw.coupang.com/products/%E8%91%A1%E8%90%84%E7%8E%8B-%E5%AD%85%E7%9B%8A%E8%96%91%E9%BB%83%E8%A4%87%E6%96%B9%E8%86%A0%E5%9B%8A-459238425985024?itemId=475518876991492&vendorItemId=475518872797198&sourceType=search&rank=5&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"DHC 濃縮薑黃 30日份 60粒 台灣公司貨, 25g, 1包",$249,https://www.tw.coupang.com/products/DHC-%E6%BF%83%E7%B8%AE%E8%96%91%E9%BB%83-30%E6%97%A5%E4%BB%BD-60%E7%B2%92-%E5%8F%B0%E7%81%A3%E5%85%AC%E5%8F%B8%E8%B2%A8-176846389870592?itemId=176845894959104&vendorItemId=176845366444032&sourceType=search&rank=6&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"High Tea 伂橙 紅薑黃 博士茶, 2.2g, 12入, 1盒",$220,https://www.tw.coupang.com/products/High-Tea-%E4%BC%82%E6%A9%99-%E7%B4%85%E8%96%91%E9%BB%83-%E5%8D%9A%E5%A3%AB%E8%8C%B6-162465455226880?itemId=162465899855873&vendorItemId=162465899855872&sourceType=search&rank=7&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"High Tea 紅薑黃蕎麥茶, 2.2g, 12包, 1盒",$179,https://www.tw.coupang.com/products/High-Tea-%E7%B4%85%E8%96%91%E9%BB%83%E8%95%8E%E9%BA%A5%E8%8C%B6-162465329397760?itemId=162465774026752&vendorItemId=162466197635072&sourceType=search&rank=8&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"HAC 永信藥品 薑黃素膠囊, 90顆, 1罐",$876,https://www.tw.coupang.com/products/HAC-%E6%B0%B8%E4%BF%A1%E8%97%A5%E5%93%81-%E8%96%91%E9%BB%83%E7%B4%A0%E8%86%A0%E5%9B%8A-149284301291550?itemId=149284666179592&vendorItemId=149284661985299&sourceType=search&rank=9&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"High Tea 紅薑黃薰衣草茶包, 2g, 12包, 2盒",$454,https://www.tw.coupang.com/products/High-Tea-%E7%B4%85%E8%96%91%E9%BB%83%E8%96%B0%E8%A1%A3%E8%8D%89%E8%8C%B6%E5%8C%85-162465849524224?itemId=200010704568347&vendorItemId=200011962875922&sourceType=search&rank=10&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"名品農產行 複方紫紅薑黃粉, 150g, 2罐","$1,850",https://www.tw.coupang.com/products/%E5%90%8D%E5%93%81%E8%BE%B2%E7%94%A2%E8%A1%8C-%E8%A4%87%E6%96%B9%E7%B4%AB%E7%B4%85%E8%96%91%E9%BB%83%E7%B2%89-161288764211201?itemId=399822615937026&vendorItemId=399822615969797&sourceType=search&rank=11&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"DHC 濃縮薑黃 30日份 60粒 台灣公司貨, 25g, 2包",$498,https://www.tw.coupang.com/products/DHC-%E6%BF%83%E7%B8%AE%E8%96%91%E9%BB%83-30%E6%97%A5%E4%BB%BD-60%E7%B2%92-%E5%8F%B0%E7%81%A3%E5%85%AC%E5%8F%B8%E8%B2%A8-176846389870592?itemId=277965338279953&vendorItemId=277963324997633&sourceType=search&rank=12&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
"High Tea 伂橙 紅薑黃 博士茶, 2.2g, 12入, 3盒",$660,https://www.tw.coupang.com/products/High-Tea-%E4%BC%82%E6%A9%99-%E7%B4%85%E8%96%91%E9%BB%83-%E5%8D%9A%E5%A3%AB%E8%8C%B6-162465455226880?itemId=419751255801869&vendorItemId=419751255834632&sourceType=search&rank=13&searchId=da8c4c7643dc4f63b2bdbd22c4e4a3fe&q=%E7%B4%85%E8%96%91%E9%BB%83
