product_name,product_price,product_url
"DaMa 大瑪南洋蔬食 螺獅粉 全素, 279g, 1包",$179,https://www.tw.coupang.com/products/DaMa-%E5%A4%A7%E7%91%AA%E5%8D%97%E6%B4%8B%E8%94%AC%E9%A3%9F-%E8%9E%BA%E7%8D%85%E7%B2%89-%E5%85%A8%E7%B4%A0-459248194535424?itemId=459248194502656&vendorItemId=459248190341128&sourceType=search&rank=&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"味丹 隨緣 素魷魚焿湯麵 100g, 10包",$134,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E9%9A%A8%E7%B7%A3-%E7%B4%A0%E9%AD%B7%E9%AD%9A%E7%84%BF%E6%B9%AF%E9%BA%B5-100g-264958994497546?itemId=272594041274374&vendorItemId=272593093378049&sourceType=search&rank=1&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"維力 素飄香 素紅燒牛肉風味麵 五合一 全素 85g, 10包",$128,https://www.tw.coupang.com/products/%E7%B6%AD%E5%8A%9B-%E7%B4%A0%E9%A3%84%E9%A6%99-%E7%B4%A0%E7%B4%85%E7%87%92%E7%89%9B%E8%82%89%E9%A2%A8%E5%91%B3%E9%BA%B5-%E4%BA%94%E5%90%88%E4%B8%80-%E5%85%A8%E7%B4%A0-85g-210546045468674?itemId=433501656530956&vendorItemId=433501656547338&sourceType=search&rank=2&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"味丹 隨緣 素肉骨茶湯麵 90g, 10包",$134,https://www.tw.coupang.com/products/%E5%91%B3%E4%B8%B9-%E9%9A%A8%E7%B7%A3-%E7%B4%A0%E8%82%89%E9%AA%A8%E8%8C%B6%E6%B9%AF%E9%BA%B5-90g-264958973526037?itemId=277965468303361&vendorItemId=277964503629839&sourceType=search&rank=3&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"譽方媽媽 小麥素肉塊, 180g, 1包",$118,https://www.tw.coupang.com/products/%E8%AD%BD%E6%96%B9%E5%AA%BD%E5%AA%BD-%E5%B0%8F%E9%BA%A5%E7%B4%A0%E8%82%89%E5%A1%8A-453062518865922?itemId=453062518849537&vendorItemId=453062518865920&sourceType=search&rank=4&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"維力 素飄香 素排骨雞風味麵 五合一 全素 90g, 10包",$111,https://www.tw.coupang.com/products/%E7%B6%AD%E5%8A%9B-%E7%B4%A0%E9%A3%84%E9%A6%99-%E7%B4%A0%E6%8E%92%E9%AA%A8%E9%9B%9E%E9%A2%A8%E5%91%B3%E9%BA%B5-%E4%BA%94%E5%90%88%E4%B8%80-%E5%85%A8%E7%B4%A0-90g-210546699763718?itemId=433501656514568&vendorItemId=433501656563717&sourceType=search&rank=5&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"KORMOSA 韓寶 韓素香紅燒湯麵 全素 110g, 4包",$102,https://www.tw.coupang.com/products/KORMOSA-%E9%9F%93%E5%AF%B6-%E9%9F%93%E7%B4%A0%E9%A6%99%E7%B4%85%E7%87%92%E6%B9%AF%E9%BA%B5-%E5%85%A8%E7%B4%A0-110g-210242109423627?itemId=210242759524352&vendorItemId=210241392164872&sourceType=search&rank=6&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"台塑餐飲 椒麻香菇醬 全素, 280g, 1罐",$120,https://www.tw.coupang.com/products/%E5%8F%B0%E5%A1%91%E9%A4%90%E9%A3%B2-%E6%A4%92%E9%BA%BB%E9%A6%99%E8%8F%87%E9%86%AC-%E5%85%A8%E7%B4%A0-149316719067147?itemId=149317083955200&vendorItemId=149328098213888&sourceType=search&rank=7&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"新東陽 麻婆豆腐 全素, 160g, 3罐",$117,https://www.tw.coupang.com/products/%E6%96%B0%E6%9D%B1%E9%99%BD-%E9%BA%BB%E5%A9%86%E8%B1%86%E8%85%90-%E5%85%A8%E7%B4%A0-277602413543431?itemId=400172290916355&vendorItemId=400172290867201&sourceType=search&rank=8&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"DaMa 大瑪南洋蔬食 螺獅粉 全素, 279g, 2包",$368,https://www.tw.coupang.com/products/DaMa-%E5%A4%A7%E7%91%AA%E5%8D%97%E6%B4%8B%E8%94%AC%E9%A3%9F-%E8%9E%BA%E7%8D%85%E7%B2%89-%E5%85%A8%E7%B4%A0-459248194535424?itemId=469358983708673&vendorItemId=469358979547144&sourceType=search&rank=9&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"崇德發 鮮蔬湯麵, 10包",$140,https://www.tw.coupang.com/products/%E5%B4%87%E5%BE%B7%E7%99%BC-%E9%AE%AE%E8%94%AC%E6%B9%AF%E9%BA%B5-455950703984642?itemId=468638033182722&vendorItemId=468638033199104&sourceType=search&rank=10&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"四乘六 素肉干 全素, 60g, 5包",$112,https://www.tw.coupang.com/products/%E5%9B%9B%E4%B9%98%E5%85%AD-%E7%B4%A0%E8%82%89%E5%B9%B2-%E5%85%A8%E7%B4%A0-464266301767694?itemId=474077835755527&vendorItemId=474077835771906&sourceType=search&rank=11&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"毓秀私房醬 杏鮑菇拌醬 全素, 250g, 1罐",$150,https://www.tw.coupang.com/products/%E6%AF%93%E7%A7%80%E7%A7%81%E6%88%BF%E9%86%AC-%E6%9D%8F%E9%AE%91%E8%8F%87%E6%8B%8C%E9%86%AC-%E5%85%A8%E7%B4%A0-157300526399488?itemId=157300924841985&vendorItemId=157300924841984&sourceType=search&rank=12&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
"三和 冬菜素絲麵, 10包",$110,https://www.tw.coupang.com/products/%E4%B8%89%E5%92%8C-%E5%86%AC%E8%8F%9C%E7%B4%A0%E7%B5%B2%E9%BA%B5-459248169320455?itemId=468998084870149&vendorItemId=468998084870146&sourceType=search&rank=13&searchId=ecd5a85c484d41bcb61c1ff18c206edb&q=%E7%B4%A0%E9%A3%9F
