product_name,product_price,product_url
"TRYGOODZ 翠菓子 航空綜合米菓 空軍一號, 504g, 3袋",$631,https://www.tw.coupang.com/products/TRYGOODZ-%E7%BF%A0%E8%8F%93%E5%AD%90-%E8%88%AA%E7%A9%BA%E7%B6%9C%E5%90%88%E7%B1%B3%E8%8F%93-%E7%A9%BA%E8%BB%8D%E4%B8%80%E8%99%9F-453761713553408?itemId=468637999628294&vendorItemId=468637999661059&sourceType=search&rank=&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
"翠菓子 MIDO商務艙航空米果, 15g, 25包",$214,https://www.tw.coupang.com/products/%E7%BF%A0%E8%8F%93%E5%AD%90-MIDO%E5%95%86%E5%8B%99%E8%89%99%E8%88%AA%E7%A9%BA%E7%B1%B3%E6%9E%9C-230530792521731?itemId=230529215447050&vendorItemId=230530045952011&sourceType=search&rank=1&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
"Chiao-E 巧益 頭等艙綜合豆果子, 144g, 1袋",$92,https://www.tw.coupang.com/products/Chiao-E-%E5%B7%A7%E7%9B%8A-%E9%A0%AD%E7%AD%89%E8%89%99%E7%B6%9C%E5%90%88%E8%B1%86%E6%9E%9C%E5%AD%90-465370540376064?itemId=465370540359683&vendorItemId=465370540343296&sourceType=search&rank=2&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
"TRYGOODZ 翠菓子 航空米果 20包, 280g, 1盒",$188,https://www.tw.coupang.com/products/TRYGOODZ-%E7%BF%A0%E8%8F%93%E5%AD%90-%E8%88%AA%E7%A9%BA%E7%B1%B3%E6%9E%9C-20%E5%8C%85-460307424018432?itemId=460307424034817&vendorItemId=460307424051200&sourceType=search&rank=3&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
"翠菓子 MIDO 頭等艙航空米果, 15g, 20包",$218,https://www.tw.coupang.com/products/%E7%BF%A0%E8%8F%93%E5%AD%90-MIDO-%E9%A0%AD%E7%AD%89%E8%89%99%E8%88%AA%E7%A9%BA%E7%B1%B3%E6%9E%9C-230530050146309?itemId=230530050146310&vendorItemId=230530792521732&sourceType=search&rank=4&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
"Chiao-E 巧益 頭等艙綜合豆果子, 144g, 3袋",$330,https://www.tw.coupang.com/products/Chiao-E-%E5%B7%A7%E7%9B%8A-%E9%A0%AD%E7%AD%89%E8%89%99%E7%B6%9C%E5%90%88%E8%B1%86%E6%9E%9C%E5%AD%90-465370540376064?itemId=474431222661131&vendorItemId=474431222661129&sourceType=search&rank=5&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
"TRYGOODZ 翠菓子 長榮嚴選 菓舖物語米菓 輕巧包, 14g, 18包",$185,https://www.tw.coupang.com/products/TRYGOODZ-%E7%BF%A0%E8%8F%93%E5%AD%90-%E9%95%B7%E6%A6%AE%E5%9A%B4%E9%81%B8-%E8%8F%93%E8%88%96%E7%89%A9%E8%AA%9E%E7%B1%B3%E8%8F%93-%E8%BC%95%E5%B7%A7%E5%8C%85-458098200248333?itemId=458098200215558&vendorItemId=458098200264712&sourceType=search&rank=6&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
"TRYGOODZ 翠菓子 航空綜合米菓 空軍一號, 504g, 1袋",$215,https://www.tw.coupang.com/products/TRYGOODZ-%E7%BF%A0%E8%8F%93%E5%AD%90-%E8%88%AA%E7%A9%BA%E7%B6%9C%E5%90%88%E7%B1%B3%E8%8F%93-%E7%A9%BA%E8%BB%8D%E4%B8%80%E8%99%9F-453761713553408?itemId=453761713553409&vendorItemId=453761709309954&sourceType=search&rank=7&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
"TRYGOODZ 翠菓子 HELLO KITTY 綜合米果 14包, 196g, 1袋",$123,https://www.tw.coupang.com/products/TRYGOODZ-%E7%BF%A0%E8%8F%93%E5%AD%90-HELLO-KITTY-%E7%B6%9C%E5%90%88%E7%B1%B3%E6%9E%9C-14%E5%8C%85-455239069040645?itemId=455239069057027&vendorItemId=455239069040643&sourceType=search&rank=8&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
"TRYGOODZ 翠菓子 MIDO航空版綜合米菓, 180g, 1包",$105,https://www.tw.coupang.com/products/TRYGOODZ-%E7%BF%A0%E8%8F%93%E5%AD%90-MIDO%E8%88%AA%E7%A9%BA%E7%89%88%E7%B6%9C%E5%90%88%E7%B1%B3%E8%8F%93-453761713537028?itemId=453761713504257&vendorItemId=453761713537025&sourceType=search&rank=9&searchId=206f335c73cc40d7943a4694d5a49e04&q=%E7%BF%A0%E6%9E%9C%E5%AD%90
