product_name,product_price,product_url
"BLOCKMART 簡約陶瓷花瓶, 白色, 1入",$203,https://www.tw.coupang.com/products/BLOCKMART-%E7%B0%A1%E7%B4%84%E9%99%B6%E7%93%B7%E8%8A%B1%E7%93%B6-169691767062528?itemId=169692253634560&vendorItemId=169692714991616&sourceType=search&rank=&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
Bormioli ROCCO 花瓶,$124,https://www.tw.coupang.com/products/Bormioli-ROCCO-%E8%8A%B1%E7%93%B6-265354286710786?itemId=265355201052674&vendorItemId=265354286710784&sourceType=search&rank=1&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
"Clarte 法國風情玻璃花瓶, 透明",$164,https://www.tw.coupang.com/products/Clarte-%E6%B3%95%E5%9C%8B%E9%A2%A8%E6%83%85%E7%8E%BB%E7%92%83%E8%8A%B1%E7%93%B6-21008234044350?itemId=21023701507464&vendorItemId=21090726558697&sourceType=search&rank=2&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
"KINTO SACCO玻璃造型花瓶03, 灰色",$609,https://www.tw.coupang.com/products/KINTO-SACCO%E7%8E%BB%E7%92%83%E9%80%A0%E5%9E%8B%E8%8A%B1%E7%93%B603-466838760669188?itemId=466838760669190&vendorItemId=466838756474884&sourceType=search&rank=3&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
"Baramang花束玻璃花瓶, 極光",$376,https://www.tw.coupang.com/products/Baramang%E8%8A%B1%E6%9D%9F%E7%8E%BB%E7%92%83%E8%8A%B1%E7%93%B6-21007342129998?itemId=21018873653011&vendorItemId=21086002320328&sourceType=search&rank=4&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
"Samho Glass Urban Deco極光玻璃花瓶, 透明",$187,https://www.tw.coupang.com/products/Samho-Glass-Urban-Deco%E6%A5%B5%E5%85%89%E7%8E%BB%E7%92%83%E8%8A%B1%E7%93%B6-21007709228799?itemId=21020660717857&vendorItemId=21087733470126&sourceType=search&rank=5&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
"EVER HOUSE 復古純粹和諧波浪玻璃花瓶, 白色",$188,https://www.tw.coupang.com/products/EVER-HOUSE-%E5%BE%A9%E5%8F%A4%E7%B4%94%E7%B2%B9%E5%92%8C%E8%AB%A7%E6%B3%A2%E6%B5%AA%E7%8E%BB%E7%92%83%E8%8A%B1%E7%93%B6-21008181110712?itemId=21023390176911&vendorItemId=21090418942526&sourceType=search&rank=6&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
"Lacevine 鐵框架花瓶組, 黑色",$175,https://www.tw.coupang.com/products/Lacevine-%E9%90%B5%E6%A1%86%E6%9E%B6%E8%8A%B1%E7%93%B6%E7%B5%84-258082558918660?itemId=258084421206044&vendorItemId=258083540418573&sourceType=search&rank=7&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
"SACCO陶瓷造型花瓶, 黑, 1個",$726,https://www.tw.coupang.com/products/SACCO%E9%99%B6%E7%93%B7%E9%80%A0%E5%9E%8B%E8%8A%B1%E7%93%B6-466838764847110?itemId=466838764896262&vendorItemId=466838764896260&sourceType=search&rank=8&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
"Mon Aube 居家裝飾 壓克力花瓶, 橘色",$419,https://www.tw.coupang.com/products/Mon-Aube-%E5%B1%85%E5%AE%B6%E8%A3%9D%E9%A3%BE-%E5%A3%93%E5%85%8B%E5%8A%9B%E8%8A%B1%E7%93%B6-265354274127879?itemId=265355188469770&vendorItemId=265354274127875&sourceType=search&rank=9&searchId=5f94e552f40f4278bf9a78bf44329b82&q=%E8%8A%B1%E7%93%B6
