product_name,product_price,product_url
"MONTBLANC 萬寶龍 Legend鬚後水 皮膚, 100ml, 1組",$971,https://www.tw.coupang.com/products/MONTBLANC-%E8%90%AC%E5%AF%B6%E9%BE%8D-Legend%E9%AC%9A%E5%BE%8C%E6%B0%B4-%E7%9A%AE%E8%86%9A-21007242818527?itemId=21018406990237&vendorItemId=21087998603972&sourceType=search&rank=&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
"MONTBLANC 萬寶龍 Legend鬚後膏乳液, 1個, 150ml",$584,https://www.tw.coupang.com/products/MONTBLANC-%E8%90%AC%E5%AF%B6%E9%BE%8D-Legend%E9%AC%9A%E5%BE%8C%E8%86%8F%E4%B9%B3%E6%B6%B2-21007761579106?itemId=21020931885739&vendorItemId=21087998603981&sourceType=search&rank=1&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
MONTBLANC 萬寶龍 Sartorial 硬質手機殼,"$1,207",https://www.tw.coupang.com/products/MONTBLANC-%E8%90%AC%E5%AF%B6%E9%BE%8D-Sartorial-%E7%A1%AC%E8%B3%AA%E6%89%8B%E6%A9%9F%E6%AE%BC-21001546731154?itemId=21002648063179&vendorItemId=21070638957789&sourceType=search&rank=2&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
"MONTBLANC 萬寶龍 Legend鬚後膏乳液, 3個, 150ml","$1,751",https://www.tw.coupang.com/products/MONTBLANC-%E8%90%AC%E5%AF%B6%E9%BE%8D-Legend%E9%AC%9A%E5%BE%8C%E8%86%8F%E4%B9%B3%E6%B6%B2-21007761579106?itemId=21020993482399&vendorItemId=21088057834380&sourceType=search&rank=3&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
"萬寶龍王國餐叉, 銀, 2個",$296,https://www.tw.coupang.com/products/%E8%90%AC%E5%AF%B6%E9%BE%8D%E7%8E%8B%E5%9C%8B%E9%A4%90%E5%8F%89-21006851519694?itemId=21016323517168&vendorItemId=21083515595279&sourceType=search&rank=4&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
"Bogen 萬寶龍 Brischa 緞麵茶匙叉套組黑色, 1套, 茶匙+茶叉",$396,https://www.tw.coupang.com/products/Bogen-%E8%90%AC%E5%AF%B6%E9%BE%8D-Brischa-%E7%B7%9E%E9%BA%B5%E8%8C%B6%E5%8C%99%E5%8F%89%E5%A5%97%E7%B5%84%E9%BB%91%E8%89%B2-21007077165152?itemId=21017594118984&vendorItemId=21084760508938&sourceType=search&rank=5&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
"七龍珠Z SOLID EDGE WORKS THE出陣5 B超級孫悟飯 BP89470 15歲以上, 1盒",$450,https://www.tw.coupang.com/products/%E4%B8%83%E9%BE%8D%E7%8F%A0Z-SOLID-EDGE-WORKS-THE%E5%87%BA%E9%99%A35-B%E8%B6%85%E7%B4%9A%E5%AD%AB%E6%82%9F%E9%A3%AF-BP89470-15%E6%AD%B2%E4%BB%A5%E4%B8%8A-468559545221131?itemId=468559545171976&vendorItemId=468559545204743&sourceType=search&rank=6&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
"Bogen 萬寶龍艾菲爾Chatine Mudler, 粉色的, 2個",$311,https://www.tw.coupang.com/products/Bogen-%E8%90%AC%E5%AF%B6%E9%BE%8D%E8%89%BE%E8%8F%B2%E7%88%BEChatine-Mudler-21004829802451?itemId=21005990815102&vendorItemId=21073288626547&sourceType=search&rank=7&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
MONTBLANC 萬寶龍 翻蓋式手機殼,"$8,684",https://www.tw.coupang.com/products/MONTBLANC-%E8%90%AC%E5%AF%B6%E9%BE%8D-%E7%BF%BB%E8%93%8B%E5%BC%8F%E6%89%8B%E6%A9%9F%E6%AE%BC-21000094295077?itemId=21000291845263&vendorItemId=21003717314566&sourceType=search&rank=8&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
"MONTBLANC 萬寶龍 Legend鬚後膏乳液, 2個, 150ml","$1,168",https://www.tw.coupang.com/products/MONTBLANC-%E8%90%AC%E5%AF%B6%E9%BE%8D-Legend%E9%AC%9A%E5%BE%8C%E8%86%8F%E4%B9%B3%E6%B6%B2-21007761579106?itemId=21020993482335&vendorItemId=21088057834357&sourceType=search&rank=9&searchId=1ed4a17ff476481ab471eb5617babb44&q=%E8%90%AC%E5%AF%B6%E9%BE%8D
