product_name,product_price,product_url
Timo 海馬系列 奈米級霧化 藍光酒精噴霧槍 貴族綠,$501,https://www.tw.coupang.com/products/Timo-%E6%B5%B7%E9%A6%AC%E7%B3%BB%E5%88%97-%E5%A5%88%E7%B1%B3%E7%B4%9A%E9%9C%A7%E5%8C%96-%E8%97%8D%E5%85%89%E9%85%92%E7%B2%BE%E5%99%B4%E9%9C%A7%E6%A7%8D-%E8%B2%B4%E6%97%8F%E7%B6%A0-464214820847618?itemId=464214820896770&vendorItemId=464214820847617&sourceType=search&rank=&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"Sumato 壓縮噴霧器 4L, 1個, 混色",$258,https://www.tw.coupang.com/products/Sumato-%E5%A3%93%E7%B8%AE%E5%99%B4%E9%9C%A7%E5%99%A8-4L-21001420139355?itemId=21021078701742&vendorItemId=21071520035654&sourceType=search&rank=1&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"BILLY'S HOUSE 高壓直噴噴霧槍, 1組",$411,https://www.tw.coupang.com/products/BILLY'S-HOUSE-%E9%AB%98%E5%A3%93%E7%9B%B4%E5%99%B4%E5%99%B4%E9%9C%A7%E6%A7%8D-21001218078910?itemId=21002208204913&vendorItemId=21077769328535&sourceType=search&rank=2&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"ADAMOUTDOOR USB 手持渦輪噴槍, ADFN-HTF330, 綠色","$1,032",https://www.tw.coupang.com/products/ADAMOUTDOOR-USB-%E6%89%8B%E6%8C%81%E6%B8%A6%E8%BC%AA%E5%99%B4%E6%A7%8D-466494056022026?itemId=466494056022027&vendorItemId=466494056022025&sourceType=search&rank=3&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"smato 氣壓式噴霧器 5L, 1個",$395,https://www.tw.coupang.com/products/smato-%E6%B0%A3%E5%A3%93%E5%BC%8F%E5%99%B4%E9%9C%A7%E5%99%A8-5L-259851380834311?itemId=259852270010372&vendorItemId=259850386751488&sourceType=search&rank=4&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"PEACE MOTOR SECRET 智能氣泡泡沫高壓供應噴霧2L WA062, 1個",$293,https://www.tw.coupang.com/products/PEACE-MOTOR-SECRET-%E6%99%BA%E8%83%BD%E6%B0%A3%E6%B3%A1%E6%B3%A1%E6%B2%AB%E9%AB%98%E5%A3%93%E4%BE%9B%E6%87%89%E5%99%B4%E9%9C%A72L-WA062-21006592758290?itemId=21014883576693&vendorItemId=21082122453995&sourceType=search&rank=5&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"Smato 氣壓式噴霧器 5L, 1入",$278,https://www.tw.coupang.com/products/Smato-%E6%B0%A3%E5%A3%93%E5%BC%8F%E5%99%B4%E9%9C%A7%E5%99%A8-5L-21001420139355?itemId=21002458079842&vendorItemId=21075866945013&sourceType=search&rank=6&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"強力高壓壓縮噴霧器 3L, 橘色, 1個",$173,https://www.tw.coupang.com/products/%E5%BC%B7%E5%8A%9B%E9%AB%98%E5%A3%93%E5%A3%93%E7%B8%AE%E5%99%B4%E9%9C%A7%E5%99%A8-3L-21007387441472?itemId=21019093118042&vendorItemId=21086213986974&sourceType=search&rank=7&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"百貨King TY-1000大噴槍 1個, 12 x 10.2 x 27.1cm, 1L, 3組",$117,https://www.tw.coupang.com/products/%E7%99%BE%E8%B2%A8King-TY-1000%E5%A4%A7%E5%99%B4%E6%A7%8D-1%E5%80%8B-471503363620868?itemId=471503363588102&vendorItemId=471503363588100&sourceType=search&rank=8&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"氣壓泡沫型噴霧器 2L, 1個",$306,https://www.tw.coupang.com/products/%E6%B0%A3%E5%A3%93%E6%B3%A1%E6%B2%AB%E5%9E%8B%E5%99%B4%E9%9C%A7%E5%99%A8-2L-468972600262659?itemId=468972600229889&vendorItemId=468972600279040&sourceType=search&rank=9&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"翠筠 氣壓噴霧器 1500c.c., 1個",$159,https://www.tw.coupang.com/products/%E7%BF%A0%E7%AD%A0-%E6%B0%A3%E5%A3%93%E5%99%B4%E9%9C%A7%E5%99%A8-1500c.c.-465646160691211?itemId=465646160674827&vendorItemId=465646160674823&sourceType=search&rank=10&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"氣壓式噴水壺 GS-1500 1.5L, 青色, 1個",$243,https://www.tw.coupang.com/products/%E6%B0%A3%E5%A3%93%E5%BC%8F%E5%99%B4%E6%B0%B4%E5%A3%BA-GS-1500-1.5L-466442466066449?itemId=466442466066450&vendorItemId=466442466066448&sourceType=search&rank=11&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"雪花槍壓縮噴霧器 2L, 1個, 單色",$252,https://www.tw.coupang.com/products/%E9%9B%AA%E8%8A%B1%E6%A7%8D%E5%A3%93%E7%B8%AE%E5%99%B4%E9%9C%A7%E5%99%A8-2L-21008290127364?itemId=21023907777049&vendorItemId=21090930203191&sourceType=search&rank=12&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"手動氣壓式噴霧噴水澆花壺 450g, 橘色 + 黑色, 1個",$167,https://www.tw.coupang.com/products/%E6%89%8B%E5%8B%95%E6%B0%A3%E5%A3%93%E5%BC%8F%E5%99%B4%E9%9C%A7%E5%99%B4%E6%B0%B4%E6%BE%86%E8%8A%B1%E5%A3%BA-450g-469377514176521?itemId=469377514160137&vendorItemId=469377514192906&sourceType=search&rank=13&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"Hanil SP 手持式風暴壓縮噴霧器 1L HP-20191, 單品, 1個, 藍色",$264,https://www.tw.coupang.com/products/Hanil-SP-%E6%89%8B%E6%8C%81%E5%BC%8F%E9%A2%A8%E6%9A%B4%E5%A3%93%E7%B8%AE%E5%99%B4%E9%9C%A7%E5%99%A8-1L-HP-20191-21005351659107?itemId=21007874593603&vendorItemId=21090638093187&sourceType=search&rank=14&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"強力自動壓縮噴霧器2L, 天藍色, 1個",$202,https://www.tw.coupang.com/products/%E5%BC%B7%E5%8A%9B%E8%87%AA%E5%8B%95%E5%A3%93%E7%B8%AE%E5%99%B4%E9%9C%A7%E5%99%A82L-21007387441478?itemId=21019093118062&vendorItemId=21086213986972&sourceType=search&rank=15&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
"氣壓式噴壺 2L 270g, 1個",$138,https://www.tw.coupang.com/products/%E6%B0%A3%E5%A3%93%E5%BC%8F%E5%99%B4%E5%A3%BA-2L-270g-475893063467012?itemId=475893063417858&vendorItemId=475893059239946&sourceType=search&rank=16&searchId=d3733618addb4dcd84f32313749d1b87&q=%E8%97%8D%E5%85%89%E6%99%BA%E8%83%BDusb%E5%85%85%E9%9B%BB%E5%BC%8F%E5%99%B4%E9%9C%A7%E6%A7%8D
