product_name,product_price,product_url
"Kinyo 車用點煙擴充座 + USB充電孔 CRU-15 93 x 50 x 33mm 60g, 1個",$128,https://www.tw.coupang.com/products/Kinyo-%E8%BB%8A%E7%94%A8%E9%BB%9E%E7%85%99%E6%93%B4%E5%85%85%E5%BA%A7-%2B-USB%E5%85%85%E9%9B%BB%E5%AD%94-CRU-15-93-x-50-x-33mm-60g-463834435239936?itemId=463834435223552&vendorItemId=463834431045646&sourceType=search&rank=&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"infotec 英富達 QC3.0車用帶線雙點煙孔擴充快充器, CC-105, 黑色",$246,https://www.tw.coupang.com/products/infotec-%E8%8B%B1%E5%AF%8C%E9%81%94-QC3.0%E8%BB%8A%E7%94%A8%E5%B8%B6%E7%B7%9A%E9%9B%99%E9%BB%9E%E7%85%99%E5%AD%94%E6%93%B4%E5%85%85%E5%BF%AB%E5%85%85%E5%99%A8-467815689568261?itemId=467815689601030&vendorItemId=467815689551875&sourceType=search&rank=1&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"Kinyo 車用USB點煙器擴充座 CRU-8717 68 x 43 x 31mm 77g, 1個",$172,https://www.tw.coupang.com/products/Kinyo-%E8%BB%8A%E7%94%A8USB%E9%BB%9E%E7%85%99%E5%99%A8%E6%93%B4%E5%85%85%E5%BA%A7-CRU-8717-68-x-43-x-31mm-77g-463834443661314?itemId=463834443644931&vendorItemId=463834439450629&sourceType=search&rank=2&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",$182,https://www.tw.coupang.com/products/Kinyo-%E8%BB%8A%E7%94%A8USB%E9%BB%9E%E8%8F%B8%E5%99%A8%E6%93%B4%E5%85%85%E5%BA%A7-CRU-8505-90-x-50-x-30mm-86g-463834460422152?itemId=463834460405770&vendorItemId=463834460438536&sourceType=search&rank=3&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"peripower 極速擴充式12V + 雙QC3.0車用快充 70 x 66 x 46mm 75g, PS-U11",$420,https://www.tw.coupang.com/products/peripower-%E6%A5%B5%E9%80%9F%E6%93%B4%E5%85%85%E5%BC%8F12V-%2B-%E9%9B%99QC3.0%E8%BB%8A%E7%94%A8%E5%BF%AB%E5%85%85-70-x-66-x-46mm-75g-465645682491399?itemId=465645682507783&vendorItemId=465645682507777&sourceType=search&rank=4&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"infotec 英富達 雙QC3.0+PD車用點菸器擴充座 CC104, 1個",$330,https://www.tw.coupang.com/products/infotec-%E8%8B%B1%E5%AF%8C%E9%81%94-%E9%9B%99QC3.0%2BPD%E8%BB%8A%E7%94%A8%E9%BB%9E%E8%8F%B8%E5%99%A8%E6%93%B4%E5%85%85%E5%BA%A7-CC104-467815676985346?itemId=467815677018115&vendorItemId=467815676968961&sourceType=search&rank=5&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"UniSync USB3.1/Type-C轉RJ45/3埠USB Hub高速擴充轉接器, 白色",$290,https://www.tw.coupang.com/products/UniSync-USB3.1%2FType-C%E8%BD%89RJ45%2F3%E5%9F%A0USB-Hub%E9%AB%98%E9%80%9F%E6%93%B4%E5%85%85%E8%BD%89%E6%8E%A5%E5%99%A8-423324433760256?itemId=423324433727489&vendorItemId=423324433743872&sourceType=search&rank=6&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"Kinyo 金屬雙孔USB車用充電器 60 x 30 x 30mm 38g, CU-55, 黑色 + 銀色",$178,https://www.tw.coupang.com/products/Kinyo-%E9%87%91%E5%B1%AC%E9%9B%99%E5%AD%94USB%E8%BB%8A%E7%94%A8%E5%85%85%E9%9B%BB%E5%99%A8-60-x-30-x-30mm-38g-463834447855625?itemId=463834447822856&vendorItemId=463834447839240&sourceType=search&rank=7&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"RONEVER PD雙孔車用充電器 60W 27 x 27 x 65mm 31g, PE023, 黑色",$332,https://www.tw.coupang.com/products/RONEVER-PD%E9%9B%99%E5%AD%94%E8%BB%8A%E7%94%A8%E5%85%85%E9%9B%BB%E5%99%A8-60W-27-x-27-x-65mm-31g-466116405051398?itemId=466116405051399&vendorItemId=466116405067776&sourceType=search&rank=8&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"ADAMOUTDOOR 3座擴充PD/QC USB壁插 ADPW-CE23QP2WC, 84.4mm, 綠色, 1個",$308,https://www.tw.coupang.com/products/ADAMOUTDOOR-3%E5%BA%A7%E6%93%B4%E5%85%85PD%2FQC-USB%E5%A3%81%E6%8F%92-ADPW-CE23QP2WC-466494039244810?itemId=466494039195659&vendorItemId=466494039228425&sourceType=search&rank=9&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"RONEVER 38W雙孔急速車充 32 x 25 x 63mm 20g, PE021",$279,https://www.tw.coupang.com/products/RONEVER-38W%E9%9B%99%E5%AD%94%E6%80%A5%E9%80%9F%E8%BB%8A%E5%85%85-32-x-25-x-63mm-20g-466116375707659?itemId=466116375674894&vendorItemId=466116375707657&sourceType=search&rank=10&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"Kinyo 6合1多功能擴充座 附收納袋, 10cm, 綠色, 1個",$969,https://www.tw.coupang.com/products/Kinyo-6%E5%90%881%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%93%B4%E5%85%85%E5%BA%A7-%E9%99%84%E6%94%B6%E7%B4%8D%E8%A2%8B-470775437967363?itemId=470775437918210&vendorItemId=470775437950977&sourceType=search&rank=11&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
"Kinyo 五合一多功能擴充座 KCR-415 97 x 28.5 x 11.2mm 38.2g, 1個",$612,https://www.tw.coupang.com/products/Kinyo-%E4%BA%94%E5%90%88%E4%B8%80%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%93%B4%E5%85%85%E5%BA%A7-KCR-415-97-x-28.5-x-11.2mm-38.2g-463113937682440?itemId=463113937715206&vendorItemId=463113937731587&sourceType=search&rank=12&searchId=c52f84bdb01347769f403de1d59a003d&q=%E8%BB%8A%E5%85%85%E6%93%B4%E5%85%85
