product_name,product_price,product_url
"迷你便攜渦輪洗衣機 USB 220g 2個, 1盒",$285,https://www.tw.coupang.com/products/%E8%BF%B7%E4%BD%A0%E4%BE%BF%E6%94%9C%E6%B8%A6%E8%BC%AA%E6%B4%97%E8%A1%A3%E6%A9%9F-USB-220g-2%E5%80%8B-468972772196354?itemId=468972772245506&vendorItemId=468972768034828&sourceType=search&rank=&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
"OZ TOY Happy洗衣機 迷你家電, 藍色",$113,https://www.tw.coupang.com/products/OZ-TOY-Happy%E6%B4%97%E8%A1%A3%E6%A9%9F-%E8%BF%B7%E4%BD%A0%E5%AE%B6%E9%9B%BB-21006513452231?itemId=21014397398013&vendorItemId=21081641551486&sourceType=search&rank=1&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
"codo 手持式洗衣機, HPW-Grey Codo, 鈦金灰, 1個",$565,https://www.tw.coupang.com/products/codo-%E6%89%8B%E6%8C%81%E5%BC%8F%E6%B4%97%E8%A1%A3%E6%A9%9F-470373086740480?itemId=470373086724097&vendorItemId=470373086724096&sourceType=search&rank=2&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
"OZ TOY Happy洗衣機 迷你家電, 粉色的",$113,https://www.tw.coupang.com/products/OZ-TOY-Happy%E6%B4%97%E8%A1%A3%E6%A9%9F-%E8%BF%B7%E4%BD%A0%E5%AE%B6%E9%9B%BB-21006513452231?itemId=21014397398017&vendorItemId=21081641551502&sourceType=search&rank=3&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
"Smart Bearing 智慧魔力 大容量小型折疊紫光殺菌洗衣機, 粉白色, 1個","$1,706",https://www.tw.coupang.com/products/Smart-Bearing-%E6%99%BA%E6%85%A7%E9%AD%94%E5%8A%9B-%E5%A4%A7%E5%AE%B9%E9%87%8F%E5%B0%8F%E5%9E%8B%E6%8A%98%E7%96%8A%E7%B4%AB%E5%85%89%E6%AE%BA%E8%8F%8C%E6%B4%97%E8%A1%A3%E6%A9%9F-468905164210182?itemId=468905160048652&vendorItemId=468905160032264&sourceType=search&rank=4&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
"LET'S TOY 迷你廚房洗衣機玩具組, 混色",$276,https://www.tw.coupang.com/products/LET'S-TOY-%E8%BF%B7%E4%BD%A0%E5%BB%9A%E6%88%BF%E6%B4%97%E8%A1%A3%E6%A9%9F%E7%8E%A9%E5%85%B7%E7%B5%84-21001490683157?itemId=21002559061298&vendorItemId=21070551562123&sourceType=search&rank=5&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
"ZHEGAO 哲高 LIN07 1990 洗衣機迷你塊, 662016LI",$425,https://www.tw.coupang.com/products/ZHEGAO-%E5%93%B2%E9%AB%98-LIN07-1990-%E6%B4%97%E8%A1%A3%E6%A9%9F%E8%BF%B7%E4%BD%A0%E5%A1%8A-21008230704251?itemId=21023687924348&vendorItemId=21090713085676&sourceType=search&rank=6&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
"Smart Bearing 智慧魔力 大容量小型折疊紫光殺菌洗衣機, 藍色","$1,706",https://www.tw.coupang.com/products/Smart-Bearing-%E6%99%BA%E6%85%A7%E9%AD%94%E5%8A%9B-%E5%A4%A7%E5%AE%B9%E9%87%8F%E5%B0%8F%E5%9E%8B%E6%8A%98%E7%96%8A%E7%B4%AB%E5%85%89%E6%AE%BA%E8%8F%8C%E6%B4%97%E8%A1%A3%E6%A9%9F-468905164242948?itemId=468905164259331&vendorItemId=468905164242946&sourceType=search&rank=7&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
"迷你滾筒洗衣機縫隙清潔刷2件+清潔劑套裝, 1組",$299,https://www.tw.coupang.com/products/%E8%BF%B7%E4%BD%A0%E6%BB%BE%E7%AD%92%E6%B4%97%E8%A1%A3%E6%A9%9F%E7%B8%AB%E9%9A%99%E6%B8%85%E6%BD%94%E5%88%B72%E4%BB%B6%2B%E6%B8%85%E6%BD%94%E5%8A%91%E5%A5%97%E8%A3%9D-21007728408645?itemId=21020760553689&vendorItemId=21090784325915&sourceType=search&rank=8&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
"LIQ 迷你洗衣膠囊 清新棉花香, 60入, 2包","$1,226",https://www.tw.coupang.com/products/LIQ-%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E8%86%A0%E5%9B%8A-%E6%B8%85%E6%96%B0%E6%A3%89%E8%8A%B1%E9%A6%99-195420420554756?itemId=428067604348929&vendorItemId=428067600171023&sourceType=search&rank=9&searchId=e4a9339e1fc94c03b42d20d8d15198a0&q=%E8%BF%B7%E4%BD%A0%E6%B4%97%E8%A1%A3%E6%A9%9F
