product_name,product_price,product_url
Mercita男款夏季涼感透氣彈性活動性半寬褲,$197,https://www.tw.coupang.com/products/Mercita%E7%94%B7%E6%AC%BE%E5%A4%8F%E5%AD%A3%E6%B6%BC%E6%84%9F%E9%80%8F%E6%B0%A3%E5%BD%88%E6%80%A7%E6%B4%BB%E5%8B%95%E6%80%A7%E5%8D%8A%E5%AF%AC%E8%A4%B2-21007442539161?itemId=21019356417099&vendorItemId=21086469511288&sourceType=search&rank=&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
Mercita男款夏季涼感透氣活動性寬鬆版型短袖+半寬褲子套裝,$523,https://www.tw.coupang.com/products/Mercita%E7%94%B7%E6%AC%BE%E5%A4%8F%E5%AD%A3%E6%B6%BC%E6%84%9F%E9%80%8F%E6%B0%A3%E6%B4%BB%E5%8B%95%E6%80%A7%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B%E7%9F%AD%E8%A2%96%2B%E5%8D%8A%E5%AF%AC%E8%A4%B2%E5%AD%90%E5%A5%97%E8%A3%9D-21007442539471?itemId=21019356418304&vendorItemId=21086469512999&sourceType=search&rank=1&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
My Season 女式舞會亞麻涼爽透氣寬裙褲,$284,https://www.tw.coupang.com/products/My-Season-%E5%A5%B3%E5%BC%8F%E8%88%9E%E6%9C%83%E4%BA%9E%E9%BA%BB%E6%B6%BC%E7%88%BD%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A3%99%E8%A4%B2-21005410368019?itemId=21008135237629&vendorItemId=21075595050071&sourceType=search&rank=2&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
BBAE BBAE 女款鬆緊帶透氣棉質長寬褲,$723,https://www.tw.coupang.com/products/BBAE-BBAE-%E5%A5%B3%E6%AC%BE%E9%AC%86%E7%B7%8A%E5%B8%B6%E9%80%8F%E6%B0%A3%E6%A3%89%E8%B3%AA%E9%95%B7%E5%AF%AC%E8%A4%B2-21006366680838?itemId=21013465583218&vendorItemId=21080719904035&sourceType=search&rank=3&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
Mercita男士夏季涼感透氣活動性寬鬆版型短袖+半寬褲子套裝,$664,https://www.tw.coupang.com/products/Mercita%E7%94%B7%E5%A3%AB%E5%A4%8F%E5%AD%A3%E6%B6%BC%E6%84%9F%E9%80%8F%E6%B0%A3%E6%B4%BB%E5%8B%95%E6%80%A7%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B%E7%9F%AD%E8%A2%96%2B%E5%8D%8A%E5%AF%AC%E8%A4%B2%E5%AD%90%E5%A5%97%E8%A3%9D-21007427936099?itemId=21019285187598&vendorItemId=21086400066699&sourceType=search&rank=4&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
FANCY LIFE 冰絲透氣短褲,$159,https://www.tw.coupang.com/products/FANCY-LIFE-%E5%86%B0%E7%B5%B2%E9%80%8F%E6%B0%A3%E7%9F%AD%E8%A4%B2-476964364206093?itemId=476964368351232&vendorItemId=476964364189703&sourceType=search&rank=5&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
WT Closet大尺碼ESCAPE寬鬆褲子套裝,$667,https://www.tw.coupang.com/products/WT-Closet%E5%A4%A7%E5%B0%BA%E7%A2%BCESCAPE%E5%AF%AC%E9%AC%86%E8%A4%B2%E5%AD%90%E5%A5%97%E8%A3%9D-21005469348170?itemId=21008398994031&vendorItemId=21075686667167&sourceType=search&rank=6&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
Mercita男款尼龍透氣高爾夫核心半寬鬆褲,$314,https://www.tw.coupang.com/products/Mercita%E7%94%B7%E6%AC%BE%E5%B0%BC%E9%BE%8D%E9%80%8F%E6%B0%A3%E9%AB%98%E7%88%BE%E5%A4%AB%E6%A0%B8%E5%BF%83%E5%8D%8A%E5%AF%AC%E9%AC%86%E8%A4%B2-21007442539672?itemId=21019285188223&vendorItemId=21086400067352&sourceType=search&rank=7&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
男款格紋鬆緊寬褲,$516,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BE%E6%A0%BC%E7%B4%8B%E9%AC%86%E7%B7%8A%E5%AF%AC%E8%A4%B2-21007858694903?itemId=21021439486735&vendorItemId=21088494132994&sourceType=search&rank=8&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
Mercita男士夏季涼感透氣活動性寬鬆版型短袖+半寬褲+短褲套裝,$675,https://www.tw.coupang.com/products/Mercita%E7%94%B7%E5%A3%AB%E5%A4%8F%E5%AD%A3%E6%B6%BC%E6%84%9F%E9%80%8F%E6%B0%A3%E6%B4%BB%E5%8B%95%E6%80%A7%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B%E7%9F%AD%E8%A2%96%2B%E5%8D%8A%E5%AF%AC%E8%A4%B2%2B%E7%9F%AD%E8%A4%B2%E5%A5%97%E8%A3%9D-21007442539026?itemId=21019356416664&vendorItemId=21086469510778&sourceType=search&rank=9&searchId=e3af5b751483419a86c9a6d6b87499ee&q=%E9%80%8F%E6%B0%A3%E5%AF%AC%E8%A4%B2
