product_name,product_price,product_url
"HAN SUNG 午餐肉罐頭, 6罐, 340g",$236,https://www.tw.coupang.com/products/HAN-SUNG-%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD-21001339409983?itemId=21000055533423&vendorItemId=21087367033181&sourceType=search&rank=&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"LOTTE 樂天 午餐肉, 24罐, 340g","$1,528",https://www.tw.coupang.com/products/LOTTE-%E6%A8%82%E5%A4%A9-%E5%8D%88%E9%A4%90%E8%82%89-430602402627584?itemId=430602402627585&vendorItemId=430602402611200&sourceType=search&rank=1&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"Dongwon 東遠 原味午餐肉罐頭, 120g, 3罐",$129,https://www.tw.coupang.com/products/Dongwon-%E6%9D%B1%E9%81%A0-%E5%8E%9F%E5%91%B3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD-21000001017437?itemId=21017452394198&vendorItemId=21003000990155&sourceType=search&rank=2&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"THEBORN 白種元午餐肉罐頭, 200g, 2罐",$214,https://www.tw.coupang.com/products/THEBORN-%E7%99%BD%E7%A8%AE%E5%85%83%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD-21006055188410?itemId=21018798261485&vendorItemId=21085929104424&sourceType=search&rank=3&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"SAJO 韓國產豬肉安心午餐肉罐頭, 200g, 8罐",$413,https://www.tw.coupang.com/products/SAJO-%E9%9F%93%E5%9C%8B%E7%94%A2%E8%B1%AC%E8%82%89%E5%AE%89%E5%BF%83%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD-21000242489617?itemId=21005189277974&vendorItemId=21085068507895&sourceType=search&rank=4&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"HAN SUNG 午餐肉罐頭, 2罐, 340g",$97,https://www.tw.coupang.com/products/HAN-SUNG-%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD-21001339409983?itemId=21019272744087&vendorItemId=21003001562472&sourceType=search&rank=5&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"LOTTE 樂天 Ham 午餐肉, 340g, 2罐",$134,https://www.tw.coupang.com/products/LOTTE-%E6%A8%82%E5%A4%A9-Ham-%E5%8D%88%E9%A4%90%E8%82%89-169641863266304?itemId=358971261026311&vendorItemId=358971261026305&sourceType=search&rank=6&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"Dongwon 東遠 原味午餐肉罐頭, 200g, 6罐",$277,https://www.tw.coupang.com/products/Dongwon-%E6%9D%B1%E9%81%A0-%E5%8E%9F%E5%91%B3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD-21000001017437?itemId=21019458615595&vendorItemId=21086569124974&sourceType=search&rank=7&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"HARIM 雞胸午餐肉 原味, 200g, 3罐",$199,https://www.tw.coupang.com/products/HARIM-%E9%9B%9E%E8%83%B8%E5%8D%88%E9%A4%90%E8%82%89-%E5%8E%9F%E5%91%B3-21007365809380?itemId=21019318087843&vendorItemId=21086432256354&sourceType=search&rank=8&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"HAN SUNG 午餐肉罐頭, 6罐, 200g",$165,https://www.tw.coupang.com/products/HAN-SUNG-%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD-21001339409983?itemId=21022948770486&vendorItemId=21087418623856&sourceType=search&rank=9&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"TULIP 經典午餐肉罐頭, 200g, 6罐",$344,https://www.tw.coupang.com/products/TULIP-%E7%B6%93%E5%85%B8%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD-21001439031146?itemId=21019564612465&vendorItemId=21085895331826&sourceType=search&rank=10&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"LOTTE 樂天 Ham 午餐肉, 340g, 3罐",$206,https://www.tw.coupang.com/products/LOTTE-%E6%A8%82%E5%A4%A9-Ham-%E5%8D%88%E9%A4%90%E8%82%89-169641863266304?itemId=291794449285130&vendorItemId=291796504510473&sourceType=search&rank=11&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"Dongwon 東遠 原味午餐肉罐頭, 200g, 4罐",$193,https://www.tw.coupang.com/products/Dongwon-%E6%9D%B1%E9%81%A0-%E5%8E%9F%E5%91%B3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD-21000001017437?itemId=21018815248592&vendorItemId=21085945715669&sourceType=search&rank=12&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"HARIM 雞胸午餐肉 原味, 200g, 6罐",$336,https://www.tw.coupang.com/products/HARIM-%E9%9B%9E%E8%83%B8%E5%8D%88%E9%A4%90%E8%82%89-%E5%8E%9F%E5%91%B3-21007365809380?itemId=21019356820421&vendorItemId=21086469907380&sourceType=search&rank=13&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
"LOTTE 樂天 雞肉午餐肉 原味, 340g, 1罐",$99,https://www.tw.coupang.com/products/LOTTE-%E6%A8%82%E5%A4%A9-%E9%9B%9E%E8%82%89%E5%8D%88%E9%A4%90%E8%82%89-%E5%8E%9F%E5%91%B3-384894005870592?itemId=384894005919745&vendorItemId=384894005903361&sourceType=search&rank=14&searchId=b9dbe66efc54439cada5cde9a1282429&q=%E9%80%B2%E5%8F%A3%E5%8D%88%E9%A4%90%E8%82%89%E7%BD%90%E9%A0%AD
