product_name,product_price,product_url
"MARCO POLO 防水後背包 MP3254, 黑色",$614,https://www.tw.coupang.com/products/MARCO-POLO-%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85-MP3254-21006641107394?itemId=21015181326517&vendorItemId=21082402590981&sourceType=search&rank=&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
"刮痕生活防水後背包, 灰色的",$582,https://www.tw.coupang.com/products/%E5%88%AE%E7%97%95%E7%94%9F%E6%B4%BB%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85-21006077897340?itemId=21011251883719&vendorItemId=21078528958754&sourceType=search&rank=1&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
"LULU 女款超輕防水後背包, 黑色",$383,https://www.tw.coupang.com/products/LULU-%E5%A5%B3%E6%AC%BE%E8%B6%85%E8%BC%95%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85-21000289778023?itemId=21000917221239&vendorItemId=21005286972244&sourceType=search&rank=2&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
"WEYOUNG 防水保溫後背包, 海軍藍",$352,https://www.tw.coupang.com/products/WEYOUNG-%E9%98%B2%E6%B0%B4%E4%BF%9D%E6%BA%AB%E5%BE%8C%E8%83%8C%E5%8C%85-21005925221363?itemId=21011419655267&vendorItemId=21078695446201&sourceType=search&rank=3&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
"學生休閒輕便防水背包, 象牙白",$685,https://www.tw.coupang.com/products/%E5%AD%B8%E7%94%9F%E4%BC%91%E9%96%92%E8%BC%95%E4%BE%BF%E9%98%B2%E6%B0%B4%E8%83%8C%E5%8C%85-21008063305150?itemId=21022665224607&vendorItemId=21089703367899&sourceType=search&rank=4&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
"GLS 防水多用途防水斜背包, C.2 深卡其色",$200,https://www.tw.coupang.com/products/GLS-%E9%98%B2%E6%B0%B4%E5%A4%9A%E7%94%A8%E9%80%94%E9%98%B2%E6%B0%B4%E6%96%9C%E8%83%8C%E5%8C%85-21008270699539?itemId=21023835408669&vendorItemId=21090858967115&sourceType=search&rank=5&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
"翔駿親子 媽媽背包 USB款, 質感灰色款",$311,https://www.tw.coupang.com/products/%E7%BF%94%E9%A7%BF%E8%A6%AA%E5%AD%90-%E5%AA%BD%E5%AA%BD%E8%83%8C%E5%8C%85-USB%E6%AC%BE-230919306723328?itemId=230918476218369&vendorItemId=230918476218368&sourceType=search&rank=6&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
marco polo 旅行用防水波士頓後背包 MP3257,$408,https://www.tw.coupang.com/products/marco-polo-%E6%97%85%E8%A1%8C%E7%94%A8%E9%98%B2%E6%B0%B4%E6%B3%A2%E5%A3%AB%E9%A0%93%E5%BE%8C%E8%83%8C%E5%8C%85-MP3257-21007848983447?itemId=21021389253648&vendorItemId=21088627229608&sourceType=search&rank=7&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
"Tteoobl 特比樂 IPX8防水可觸屏 運動外送騎行斜背包 T-33C, 深墨黑",$465,https://www.tw.coupang.com/products/Tteoobl-%E7%89%B9%E6%AF%94%E6%A8%82-IPX8%E9%98%B2%E6%B0%B4%E5%8F%AF%E8%A7%B8%E5%B1%8F-%E9%81%8B%E5%8B%95%E5%A4%96%E9%80%81%E9%A8%8E%E8%A1%8C%E6%96%9C%E8%83%8C%E5%8C%85-T-33C-430968443715586?itemId=430968443731968&vendorItemId=430968443699200&sourceType=search&rank=8&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
"CCREANG 女款輕便日常休閒大容量生活防水後背包 2475, S(25 x 32 x 11 cm)",$540,https://www.tw.coupang.com/products/CCREANG-%E5%A5%B3%E6%AC%BE%E8%BC%95%E4%BE%BF%E6%97%A5%E5%B8%B8%E4%BC%91%E9%96%92%E5%A4%A7%E5%AE%B9%E9%87%8F%E7%94%9F%E6%B4%BB%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85-2475-21007853964144?itemId=21021414734362&vendorItemId=21088540015143&sourceType=search&rank=9&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
"WEYOUNG 防水保溫後背包, 灰色",$352,https://www.tw.coupang.com/products/WEYOUNG-%E9%98%B2%E6%B0%B4%E4%BF%9D%E6%BA%AB%E5%BE%8C%E8%83%8C%E5%8C%85-21005925221363?itemId=21011419655265&vendorItemId=21078695446196&sourceType=search&rank=10&searchId=4dcde79345ff46ee8ae9b74d3f762abf&q=%E9%98%B2%E6%B0%B4%E5%BE%8C%E8%83%8C%E5%8C%85
