product_name,product_price,product_url
BROTHER 黑白雷射印表機 HL-1110,"$2,479",https://www.tw.coupang.com/products/BROTHER-%E9%BB%91%E7%99%BD%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F-HL-1110-21000057041601?itemId=21000197005610&vendorItemId=21003469491912&sourceType=search&rank=&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"無線黑白雷射印表機, HL-1210W, 1盒","$2,720",https://www.tw.coupang.com/products/%E7%84%A1%E7%B7%9A%E9%BB%91%E7%99%BD%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F-466862940864515?itemId=466862940864516&vendorItemId=466862940864514&sourceType=search&rank=1&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"Canon 佳能 黑白激光打印機, LBP6033","$2,899",https://www.tw.coupang.com/products/Canon-%E4%BD%B3%E8%83%BD-%E9%BB%91%E7%99%BD%E6%BF%80%E5%85%89%E6%89%93%E5%8D%B0%E6%A9%9F-21000016114825?itemId=21000065799905&vendorItemId=21003104810508&sourceType=search&rank=2&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"無線黑白雷射多功能含傳真印表機 Black, M6600NW, 1台","$6,164",https://www.tw.coupang.com/products/%E7%84%A1%E7%B7%9A%E9%BB%91%E7%99%BD%E9%9B%B7%E5%B0%84%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%90%AB%E5%82%B3%E7%9C%9F%E5%8D%B0%E8%A1%A8%E6%A9%9F-Black-466862949220356?itemId=466862949236743&vendorItemId=466862949253123&sourceType=search&rank=3&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"無線黑白雷射多功能印表機 Black, M6500NW, 1台","$3,900",https://www.tw.coupang.com/products/%E7%84%A1%E7%B7%9A%E9%BB%91%E7%99%BD%E9%9B%B7%E5%B0%84%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%8D%B0%E8%A1%A8%E6%A9%9F-Black-466862945026056?itemId=466862945042438&vendorItemId=466862945058822&sourceType=search&rank=4&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"CANON PIXMA 多功能印表機, MG3670, 1台","$1,990",https://www.tw.coupang.com/products/CANON-PIXMA-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%8D%B0%E8%A1%A8%E6%A9%9F-466862953414659?itemId=466862953447431&vendorItemId=466862953431041&sourceType=search&rank=5&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"SAMSUNG 三星 顏色激光打印機, SL-C513","$4,540",https://www.tw.coupang.com/products/SAMSUNG-%E4%B8%89%E6%98%9F-%E9%A1%8F%E8%89%B2%E6%BF%80%E5%85%89%E6%89%93%E5%8D%B0%E6%A9%9F-21008266943443?itemId=21002178588729&vendorItemId=21005545216046&sourceType=search&rank=6&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"SAMSUNG 三星 黑白激光all -in -in -in -in 20 pppm, SL-M2080","$4,326",https://www.tw.coupang.com/products/SAMSUNG-%E4%B8%89%E6%98%9F-%E9%BB%91%E7%99%BD%E6%BF%80%E5%85%89all--in--in--in--in-20-pppm-21001131137585?itemId=21002099062423&vendorItemId=21070097934951&sourceType=search&rank=7&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"Canon 佳能 黑白激光, MF3010","$4,235",https://www.tw.coupang.com/products/Canon-%E4%BD%B3%E8%83%BD-%E9%BB%91%E7%99%BD%E6%BF%80%E5%85%89-21000016528622?itemId=21000067197013&vendorItemId=21003107450212&sourceType=search&rank=8&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"惠普激光打印機 M211D, M211D/9YF82A","$3,273",https://www.tw.coupang.com/products/%E6%83%A0%E6%99%AE%E6%BF%80%E5%85%89%E6%89%93%E5%8D%B0%E6%A9%9F-M211D-21006292165525?itemId=21021338110719&vendorItemId=21078579421860&sourceType=search&rank=9&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"SAMSUNG 三星 黑白雷射印表機+碳粉匣, SL-M2630","$4,328",https://www.tw.coupang.com/products/SAMSUNG-%E4%B8%89%E6%98%9F-%E9%BB%91%E7%99%BD%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F%2B%E7%A2%B3%E7%B2%89%E5%8C%A3-21001520290558?itemId=21002608537938&vendorItemId=21070599640296&sourceType=search&rank=10&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"KODAK 柯達 ERA Dock 相片印表機 相片印表機 + 墨水匣 90p 組合套裝 黃色, D600","$4,404",https://www.tw.coupang.com/products/KODAK-%E6%9F%AF%E9%81%94-ERA-Dock-%E7%9B%B8%E7%89%87%E5%8D%B0%E8%A1%A8%E6%A9%9F-%E7%9B%B8%E7%89%87%E5%8D%B0%E8%A1%A8%E6%A9%9F-%2B-%E5%A2%A8%E6%B0%B4%E5%8C%A3-90p-%E7%B5%84%E5%90%88%E5%A5%97%E8%A3%9D-%E9%BB%83%E8%89%B2-21007488076182?itemId=21019575113200&vendorItemId=21090830437431&sourceType=search&rank=11&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"黑白雷射自動雙面傳真複合機, MFC-L2805DW, 1台","$9,496",https://www.tw.coupang.com/products/%E9%BB%91%E7%99%BD%E9%9B%B7%E5%B0%84%E8%87%AA%E5%8B%95%E9%9B%99%E9%9D%A2%E5%82%B3%E7%9C%9F%E8%A4%87%E5%90%88%E6%A9%9F-466862945009666?itemId=466862945042436&vendorItemId=466862945009664&sourceType=search&rank=12&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
Canon 佳能 黑白激光打印機 LBP323X,"$11,092",https://www.tw.coupang.com/products/Canon-%E4%BD%B3%E8%83%BD-%E9%BB%91%E7%99%BD%E6%BF%80%E5%85%89%E6%89%93%E5%8D%B0%E6%A9%9F-LBP323X-21004362150642?itemId=21005131513553&vendorItemId=21072440923339&sourceType=search&rank=13&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"PIXMA 原廠大供墨印表機, G1730, 1個","$2,479",https://www.tw.coupang.com/products/PIXMA-%E5%8E%9F%E5%BB%A0%E5%A4%A7%E4%BE%9B%E5%A2%A8%E5%8D%B0%E8%A1%A8%E6%A9%9F-466862940848130?itemId=466862940848131&vendorItemId=466862940815365&sourceType=search&rank=14&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
Canon 佳能 黑白激光打印機 LBP325X,"$12,668",https://www.tw.coupang.com/products/Canon-%E4%BD%B3%E8%83%BD-%E9%BB%91%E7%99%BD%E6%BF%80%E5%85%89%E6%89%93%E5%8D%B0%E6%A9%9F-LBP325X-21004362150877?itemId=21005131513916&vendorItemId=21072440924011&sourceType=search&rank=15&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"三星電子彩色雷射印表機原廠碳粉 CLT-K515S/TND, 黑色(CLT-K515S), 1個","$1,188",https://www.tw.coupang.com/products/%E4%B8%89%E6%98%9F%E9%9B%BB%E5%AD%90%E5%BD%A9%E8%89%B2%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F%E5%8E%9F%E5%BB%A0%E7%A2%B3%E7%B2%89-CLT-K515S%2FTND-21008161502564?itemId=21023270196849&vendorItemId=21085790741876&sourceType=search&rank=16&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"Sincon 數字顯示雷射測距儀 SD-100A 100m, 1個","$2,043",https://www.tw.coupang.com/products/Sincon-%E6%95%B8%E5%AD%97%E9%A1%AF%E7%A4%BA%E9%9B%B7%E5%B0%84%E6%B8%AC%E8%B7%9D%E5%84%80-SD-100A-100m-21000153027155?itemId=21000441549766&vendorItemId=21004196410533&sourceType=search&rank=17&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
"Fullcolors 全彩 雷射專用雙面列印亮面相片紙, A4, 100張",$252,https://www.tw.coupang.com/products/Fullcolors-%E5%85%A8%E5%BD%A9-%E9%9B%B7%E5%B0%84%E5%B0%88%E7%94%A8%E9%9B%99%E9%9D%A2%E5%88%97%E5%8D%B0%E4%BA%AE%E9%9D%A2%E7%9B%B8%E7%89%87%E7%B4%99-167517423091724?itemId=167517897080844&vendorItemId=167517897080835&sourceType=search&rank=18&searchId=ce7c761a26164224afd3f5f0aa3f7872&q=%E9%9B%B7%E5%B0%84%E5%8D%B0%E8%A1%A8%E6%A9%9F
