product_name,product_price,product_url
"灶神星電子詞典, BK-200C","$6,668",https://www.tw.coupang.com/products/%E7%81%B6%E7%A5%9E%E6%98%9F%E9%9B%BB%E5%AD%90%E8%A9%9E%E5%85%B8-21007826027466?itemId=21021271131319&vendorItemId=21003008182114&sourceType=search&rank=&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
"商務英語電子郵件模式字典, 1 卷, 人在",$544,https://www.tw.coupang.com/products/%E5%95%86%E5%8B%99%E8%8B%B1%E8%AA%9E%E9%9B%BB%E5%AD%90%E9%83%B5%E4%BB%B6%E6%A8%A1%E5%BC%8F%E5%AD%97%E5%85%B8-21008017853417?itemId=21022395609439&vendorItemId=21089610245025&sourceType=search&rank=1&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
"BESTA 電子詞典, BT-1000W","$6,505",https://www.tw.coupang.com/products/BESTA-%E9%9B%BB%E5%AD%90%E8%A9%9E%E5%85%B8-21000040933205?itemId=21000149578444&vendorItemId=21003339936640&sourceType=search&rank=2&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
"BESTA 電子詞典, BK-500","$8,143",https://www.tw.coupang.com/products/BESTA-%E9%9B%BB%E5%AD%90%E8%A9%9E%E5%85%B8-21001271500680?itemId=21002276244761&vendorItemId=21070226450998&sourceType=search&rank=3&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
"BESTA 電子詞典 0, BK-200","$6,697",https://www.tw.coupang.com/products/BESTA-%E9%9B%BB%E5%AD%90%E8%A9%9E%E5%85%B8-0-21000001447039?itemId=21000006302683&vendorItemId=21003008182112&sourceType=search&rank=4&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
"沃卡因故事2, 所有年級, 電子書",$295,https://www.tw.coupang.com/products/%E6%B2%83%E5%8D%A1%E5%9B%A0%E6%95%85%E4%BA%8B2-21008356108563?itemId=21024144764479&vendorItemId=21091163607787&sourceType=search&rank=5&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
"世界上所有的知識小學生E知識辭典, 自由想像",$197,https://www.tw.coupang.com/products/%E4%B8%96%E7%95%8C%E4%B8%8A%E6%89%80%E6%9C%89%E7%9A%84%E7%9F%A5%E8%AD%98%E5%B0%8F%E5%AD%B8%E7%94%9FE%E7%9F%A5%E8%AD%98%E8%BE%AD%E5%85%B8-21000063482358?itemId=21000216212487&vendorItemId=21003521220111&sourceType=search&rank=6&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
"二十世紀黑人領袖字典平裝本, 電子書時間有限責任公司",$461,https://www.tw.coupang.com/products/%E4%BA%8C%E5%8D%81%E4%B8%96%E7%B4%80%E9%BB%91%E4%BA%BA%E9%A0%98%E8%A2%96%E5%AD%97%E5%85%B8%E5%B9%B3%E8%A3%9D%E6%9C%AC-21000066168463?itemId=21000222849962&vendorItemId=21003540538812&sourceType=search&rank=7&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
"懲教官字典平裝本, 電子書時間有限責任公司",$859,https://www.tw.coupang.com/products/%E6%87%B2%E6%95%99%E5%AE%98%E5%AD%97%E5%85%B8%E5%B9%B3%E8%A3%9D%E6%9C%AC-21000058875294?itemId=21000203933000&vendorItemId=21003483381361&sourceType=search&rank=8&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
"英語初級字典[電子資源精裝本, 槳壓機",$784,https://www.tw.coupang.com/products/%E8%8B%B1%E8%AA%9E%E5%88%9D%E7%B4%9A%E5%AD%97%E5%85%B8%5B%E9%9B%BB%E5%AD%90%E8%B3%87%E6%BA%90%E7%B2%BE%E8%A3%9D%E6%9C%AC-21000064141564?itemId=21000217576637&vendorItemId=21003525289996&sourceType=search&rank=9&searchId=172c1b2d038e44769cf7342a752f4277&q=%E9%9B%BB%E5%AD%90%E5%AD%97%E5%85%B8
