product_name,product_price,product_url
"Kinyo 雙圓1開4插 延長用電源線組 附USB插座 CGCU3149, 2.7m, 1條",$495,https://www.tw.coupang.com/products/Kinyo-%E9%9B%99%E5%9C%931%E9%96%8B4%E6%8F%92-%E5%BB%B6%E9%95%B7%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A%E7%B5%84-%E9%99%84USB%E6%8F%92%E5%BA%A7-CGCU3149-463113887350789?itemId=463113887350790&vendorItemId=463113887350787&sourceType=search&rank=&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
"Kinyo 延長用電源線組 3開3插 CG133-6 W65 x H30 x D170mm 335g, 1.8m, 1個",$287,https://www.tw.coupang.com/products/Kinyo-%E5%BB%B6%E9%95%B7%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A%E7%B5%84-3%E9%96%8B3%E6%8F%92-CG133-6-W65-x-H30-x-D170mm-335g-150858264182793?itemId=150857890906127&vendorItemId=153806914404354&sourceType=search&rank=1&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
"三洋 3孔4座4切插座延長用電源線組 SYPW-344BA, 2.7m, 1組",$410,https://www.tw.coupang.com/products/%E4%B8%89%E6%B4%8B-3%E5%AD%944%E5%BA%A74%E5%88%87%E6%8F%92%E5%BA%A7%E5%BB%B6%E9%95%B7%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A%E7%B5%84-SYPW-344BA-467846433849346?itemId=467846433849347&vendorItemId=467846429622284&sourceType=search&rank=2&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
"POLYWELL 一體式電源插座延長線 3切3座, 4m, PW15-T05-A029, 1個",$473,https://www.tw.coupang.com/products/POLYWELL-%E4%B8%80%E9%AB%94%E5%BC%8F%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E5%BB%B6%E9%95%B7%E7%B7%9A-3%E5%88%873%E5%BA%A7-471556077600772?itemId=471556077633538&vendorItemId=471556077600768&sourceType=search&rank=3&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
"POLYWELL 2P電源插座延長線 1切4座, 1.8m, PW15-T05-A016, 1條",$273,https://www.tw.coupang.com/products/POLYWELL-2P%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E5%BB%B6%E9%95%B7%E7%B7%9A-1%E5%88%874%E5%BA%A7-471556069212160?itemId=471556069212161&vendorItemId=471556069195776&sourceType=search&rank=4&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
"太順 2孔1開4插延長線插座 TS-214B, 1.8m, 碧藍色, 1個",$184,https://www.tw.coupang.com/products/%E5%A4%AA%E9%A0%86-2%E5%AD%941%E9%96%8B4%E6%8F%92%E5%BB%B6%E9%95%B7%E7%B7%9A%E6%8F%92%E5%BA%A7-TS-214B-476259444310025?itemId=476259444260874&vendorItemId=476259444260870&sourceType=search&rank=5&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
"三洋 轉接電源線3孔6座6切插座 SYPW-366CA, 3.6m, 1條",$580,https://www.tw.coupang.com/products/%E4%B8%89%E6%B4%8B-%E8%BD%89%E6%8E%A5%E9%9B%BB%E6%BA%90%E7%B7%9A3%E5%AD%946%E5%BA%A76%E5%88%87%E6%8F%92%E5%BA%A7-SYPW-366CA-467846471548934?itemId=467846471581700&vendorItemId=467846471565315&sourceType=search&rank=6&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
"POLYWELL 一體式電源插座延長線 3切3座 PW15-T05-A036, 6m, 1條",$375,https://www.tw.coupang.com/products/POLYWELL-%E4%B8%80%E9%AB%94%E5%BC%8F%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E5%BB%B6%E9%95%B7%E7%B7%9A-3%E5%88%873%E5%BA%A7-PW15-T05-A036-471556073390080?itemId=471556073422850&vendorItemId=471556073406465&sourceType=search&rank=7&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
"Kinyo 雙USB+2插節能分接插座 UR-0565, 1個",$299,https://www.tw.coupang.com/products/Kinyo-%E9%9B%99USB%2B2%E6%8F%92%E7%AF%80%E8%83%BD%E5%88%86%E6%8E%A5%E6%8F%92%E5%BA%A7-UR-0565-150857924460549?itemId=150857542746119&vendorItemId=150858293542913&sourceType=search&rank=8&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
"BC博銓 KTC-316 1開關6插座3孔延長用電源線組 258 x 50 x 26mm, 1.8m, 1組",$209,https://www.tw.coupang.com/products/BC%E5%8D%9A%E9%8A%93-KTC-316-1%E9%96%8B%E9%97%9C6%E6%8F%92%E5%BA%A73%E5%AD%94%E5%BB%B6%E9%95%B7%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A%E7%B5%84-258-x-50-x-26mm-470380435161098?itemId=470380435144715&vendorItemId=470380435144714&sourceType=search&rank=9&searchId=fb9267a10b504de58bcc86ffd16e6e7a&q=%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8
